,Year,University Name,University City,University State,Most Awarded Degree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
240,2015_16,California State University-Sacramento,Sacramento,CA,Bachelor's,NO,67.25,948.0,468.0,480.0,20.0,27323.0,29.0,5.73,28.94,20.81,17927.0,6872.0,18032.0,0.46
241,2015_16,University of California-Berkeley,Berkeley,CA,Bachelor's,NO,16.88,1397.0,675.0,705.0,32.0,27496.0,26.89,2.12,14.09,35.27,33989.0,13431.0,38139.0,0.92
242,2015_16,University of California-Davis,Davis,CA,Bachelor's,NO,37.95,1226.0,570.0,635.0,28.0,28239.0,28.32,2.22,18.72,32.15,33265.0,13951.0,38659.0,0.85
243,2015_16,University of California-Irvine,Irvine,CA,Bachelor's,NO,38.68,1175.0,540.0,620.0,27.0,25245.0,14.93,1.85,25.03,37.31,30796.0,13252.0,37960.0,0.88
244,2015_16,University of California-Los Angeles,Los Angeles,CA,Bachelor's,NO,17.28,1339.0,645.0,680.0,31.0,29581.0,27.14,2.99,20.63,29.37,32594.0,12763.0,37471.0,0.91
245,2015_16,University of California-Riverside,Riverside,CA,Bachelor's,NO,55.6,1119.0,545.0,550.0,26.0,18597.0,13.21,4.18,36.27,36.65,30946.0,13527.0,38235.0,0.73
246,2015_16,University of California-San Diego,La Jolla,CA,Bachelor's,NO,33.74,1344.0,630.0,705.0,31.0,26584.0,21.44,1.23,15.58,37.49,30842.0,13530.0,38238.0,0.87
248,2015_16,University of California-Santa Barbara,Santa Barbara,CA,Bachelor's,NO,32.64,1248.0,595.0,630.0,29.0,20606.0,34.54,2.19,25.7,19.2,34493.0,13968.0,38676.0,0.81
249,2015_16,University of California-Santa Cruz,Santa Cruz,CA,Bachelor's,NO,50.29,1201.0,570.0,605.0,28.0,16231.0,33.01,1.95,31.16,21.06,34125.0,13461.0,38169.0,0.78
250,2015_16,Sofia University,Palo Alto,CA,Bachelor's,NO,,,,,,10.0,40.0,0.0,0.0,0.0,,,,
252,2015_16,California Christian College,Fresno,CA,Bachelor's,NO,100.0,,,,,18.0,22.22,16.67,50.0,0.0,,8750.0,8750.0,
255,2015_16,California Institute of the Arts,Valencia,CA,Bachelor's,NO,24.93,,,,,942.0,41.61,6.58,14.76,15.5,62437.0,43986.0,43986.0,0.56
256,2015_16,California State University Maritime Academy,Vallejo,CA,Bachelor's,NO,66.17,,,,,1072.0,53.54,1.87,16.88,9.61,22023.0,6558.0,17718.0,0.58
272,2015_16,Chapman University,Orange,CA,Bachelor's,NO,47.58,1217.0,595.0,600.0,28.0,6281.0,58.4,1.4,14.36,10.35,61231.0,47260.0,47260.0,0.79
274,2015_16,Concordia University-Irvine,Irvine,CA,Bachelor's,NO,59.17,1029.0,500.0,515.0,23.0,1863.0,44.98,4.03,20.88,6.55,44294.0,31690.0,31690.0,0.61
275,2015_16,San Diego Christian College,Santee,CA,Bachelor's,NO,51.73,933.0,466.0,460.0,20.0,905.0,46.74,11.82,21.22,2.54,41689.0,28470.0,28470.0,0.3
281,2015_16,Claremont McKenna College,Claremont,CA,Bachelor's,NO,10.96,1408.0,710.0,725.0,31.0,1325.0,42.26,4.3,13.58,10.26,64215.0,49045.0,49045.0,0.92
285,2015_16,Cogswell University of Silicon Valley,San Jose,CA,Bachelor's,NO,60.74,,,,,630.0,41.75,4.6,17.94,16.19,28780.0,16640.0,16640.0,0.33
286,2015_16,Coleman University,San Diego,CA,Bachelor's,NO,73.56,,,,,346.0,45.09,9.54,17.63,14.74,31965.0,20725.0,20725.0,0.65
290,2015_16,Columbia College Hollywood,Tarzana,CA,Bachelor's,NO,83.58,,,,,326.0,47.24,15.64,18.1,3.99,32663.0,21105.0,21105.0,0.51
302,2015_16,Design Institute of San Diego,San Diego,CA,Bachelor's,NO,,,,,,148.0,58.11,6.76,16.89,9.46,30794.0,20410.0,20410.0,0.83
304,2015_16,Dominican University of California,San Rafael,CA,Bachelor's,NO,78.83,1054.0,520.0,525.0,23.0,1358.0,36.52,5.23,19.73,22.16,58609.0,42550.0,42550.0,0.64
324,2015_16,Fresno Pacific University,Fresno,CA,Bachelor's,NO,63.13,988.0,485.0,494.0,22.0,2342.0,35.4,5.25,42.95,3.8,35787.0,27954.0,27954.0,0.54
331,2015_16,Golden Gate University-San Francisco,San Francisco,CA,Bachelor's,NO,,,,,,451.0,24.83,8.43,17.96,14.63,,14640.0,14640.0,
337,2015_16,Harvey Mudd College,Claremont,CA,Bachelor's,NO,12.96,1484.0,715.0,765.0,34.0,812.0,38.3,2.22,12.81,20.44,66627.0,50649.0,50649.0,0.92
339,2015_16,Holy Names University,Oakland,CA,Bachelor's,NO,43.0,858.0,430.0,425.0,18.0,624.0,21.15,18.11,36.86,12.66,50430.0,35666.0,35666.0,0.4
341,2015_16,Humboldt State University,Arcata,CA,Bachelor's,NO,77.0,990.0,500.0,490.0,21.0,8227.0,44.91,3.4,32.81,3.44,22593.0,7195.0,18364.0,0.46
342,2015_16,Humphreys University-Stockton and Modesto Campuses,Stockton,CA,Bachelor's,NO,,,,,,438.0,23.52,13.7,43.15,14.38,21436.0,13212.0,13212.0,0.42
352,2015_16,John F. Kennedy University,Pleasant Hill,CA,Bachelor's,NO,,,,,,216.0,33.33,18.52,25.46,7.41,,,,
353,2015_16,American Jewish University,Los Angeles,CA,Bachelor's,NO,80.36,,,,,73.0,19.18,0.0,2.74,1.37,47081.0,30236.0,30236.0,0.68
355,2015_16,Life Pacific University,San Dimas,CA,Bachelor's,NO,63.84,901.0,480.0,435.0,18.0,520.0,48.46,5.19,30.58,4.04,24373.0,13320.0,13320.0,0.35
356,2015_16,Argosy University-The Art Institute of California-San Diego,San Diego,CA,Bachelor's,NO,,,,,,1382.0,30.46,8.54,36.98,4.2,33249.0,18744.0,18744.0,0.46
357,2015_16,University of La Verne,La Verne,CA,Bachelor's,NO,47.18,1034.0,515.0,520.0,22.0,5140.0,22.45,5.86,49.51,5.1,48744.0,38560.0,38560.0,0.64
358,2015_16,Laguna College of Art and Design,Laguna Beach,CA,Bachelor's,NO,37.27,,,,,571.0,49.56,1.75,18.56,16.11,43806.0,28100.0,28100.0,0.66
364,2015_16,Lincoln University,Oakland,CA,Bachelor's,NO,,,,,,149.0,16.78,10.74,0.0,10.07,,10215.0,10215.0,0.42
365,2015_16,Southern California Seminary,El Cajon,CA,Bachelor's,NO,,,,,,60.0,38.33,21.67,13.33,16.67,37808.0,14244.0,14244.0,0.86
366,2015_16,La Sierra University,Riverside,CA,Bachelor's,NO,44.62,929.0,465.0,470.0,19.0,2020.0,13.71,5.89,47.57,15.54,41754.0,30471.0,30471.0,0.5
367,2015_16,Loma Linda University,Loma Linda,CA,Bachelor's,NO,,,,,,1048.0,34.45,4.29,30.06,23.09,,,,
375,2015_16,The Master's University and Seminary,Santa Clarita,CA,Bachelor's,NO,94.69,1091.0,550.0,535.0,24.0,1126.0,64.92,3.55,9.95,5.77,43200.0,30920.0,30920.0,0.69
380,2015_16,Argosy University-The Art Institute of California-San Francisco,San Francisco,CA,Bachelor's,NO,,,,,,788.0,17.13,9.9,31.35,9.9,32890.0,18744.0,18744.0,0.3
381,2015_16,Loyola Marymount University,Los Angeles,CA,Bachelor's,NO,50.78,1222.0,595.0,610.0,28.0,6162.0,44.89,6.3,21.19,10.6,58531.0,42795.0,42795.0,0.79
392,2015_16,Marymount California University,Rancho Palos Verdes,CA,Bachelor's,NO,,,,,,1059.0,17.0,9.16,36.83,4.63,47335.0,34680.0,34680.0,0.39
394,2015_16,Menlo College,Atherton,CA,Bachelor's,NO,38.08,1018.0,492.0,517.0,22.0,784.0,28.95,6.25,22.19,9.82,53811.0,38750.0,38750.0,0.4
397,2015_16,Mills College,Oakland,CA,Bachelor's,NO,71.56,1183.0,600.0,560.0,27.0,852.0,47.65,7.16,23.94,8.8,58812.0,44258.0,44258.0,0.65
404,2015_16,Middlebury Institute of International Studies at Monterey,Monterey,CA,Bachelor's,NO,,,,,,17.0,35.29,5.88,29.41,5.88,,,,
408,2015_16,Mount Saint Mary's University,Los Angeles,CA,Bachelor's,NO,76.53,915.0,460.0,465.0,19.0,2767.0,9.32,6.9,61.66,15.83,50301.0,35944.0,35944.0,0.62
414,2015_16,National University,La Jolla,CA,Bachelor's,NO,,,,,,8555.0,38.22,10.88,26.43,10.15,26853.0,12744.0,12744.0,0.33
416,2015_16,Newschool of Architecture and Design,San Diego,CA,Bachelor's,NO,97.22,,,,,403.0,25.31,2.73,36.23,7.94,38845.0,26463.0,26463.0,0.33
422,2015_16,Notre Dame de Namur University,Belmont,CA,Bachelor's,NO,86.67,910.0,470.0,450.0,19.0,1097.0,25.16,6.75,38.74,12.4,49312.0,32608.0,32608.0,0.42
423,2015_16,Occidental College,Los Angeles,CA,Bachelor's,NO,44.87,1304.0,645.0,645.0,30.0,1997.0,48.87,5.11,15.62,13.02,64804.0,49248.0,49248.0,0.88
427,2015_16,Otis College of Art and Design,Los Angeles,CA,Bachelor's,NO,90.36,1045.0,520.0,530.0,22.0,1099.0,24.57,3.82,7.64,28.48,54199.0,42314.0,42314.0,0.71
429,2015_16,Hope International University,Fullerton,CA,Bachelor's,NO,34.25,910.0,450.0,460.0,19.0,843.0,41.99,6.52,20.76,2.61,38462.0,28550.0,28550.0,0.42
431,2015_16,Palo Alto University,Palo Alto,CA,Bachelor's,NO,,,,,,168.0,22.02,1.19,16.07,19.05,,,,
433,2015_16,Pacific Oaks College,Pasadena,CA,Bachelor's,NO,,,,,,543.0,19.34,7.18,60.77,3.31,,,,
435,2015_16,Pacific States University,Los Angeles,CA,Bachelor's,NO,,,,,,15.0,0.0,0.0,0.0,0.0,,16005.0,16005.0,
436,2015_16,Pacific Union College,Angwin,CA,Bachelor's,NO,45.22,984.0,490.0,500.0,21.0,1508.0,25.66,8.82,28.45,19.5,40496.0,29064.0,29064.0,0.44
437,2015_16,University of the Pacific,Stockton,CA,Bachelor's,NO,64.56,1152.0,555.0,590.0,26.0,3720.0,27.26,2.74,17.96,35.05,55473.0,42934.0,42934.0,0.66
442,2015_16,Pepperdine University,Malibu,CA,Bachelor's,NO,38.1,1226.0,600.0,610.0,28.0,3514.0,47.38,5.55,15.94,11.58,63482.0,48342.0,48342.0,0.84
443,2015_16,Pitzer College,Claremont,CA,Bachelor's,NO,13.47,,,,,1067.0,47.52,5.06,15.09,8.9,63750.0,48670.0,48670.0,0.9
444,2015_16,Platt College-San Diego,San Diego,CA,Bachelor's,NO,,,,,,252.0,38.89,9.13,24.21,12.3,40208.0,23250.0,23250.0,0.8
445,2015_16,Point Loma Nazarene University,San Diego,CA,Bachelor's,NO,71.34,1148.0,565.0,570.0,26.0,2763.0,58.56,2.17,22.87,5.1,45457.0,32400.0,32400.0,0.75
446,2015_16,Pomona College,Claremont,CA,Bachelor's,NO,10.3,1435.0,715.0,730.0,32.0,1640.0,39.76,7.38,15.0,13.9,62632.0,47620.0,47620.0,0.94
452,2015_16,University of Redlands,Redlands,CA,Bachelor's,NO,67.52,1130.0,560.0,560.0,25.0,3452.0,47.51,4.52,27.09,5.82,59432.0,44900.0,44900.0,0.72
458,2015_16,Argosy University-San Francisco Bay Area,Alameda,CA,Bachelor's,NO,,,,,,110.0,28.18,44.55,19.09,2.73,28367.0,13560.0,13560.0,0.33
