,Year,University Name,University City,University State,Most Awarded Degree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
0,2015_16,Alabama A & M University,Normal,AL,Bachelor's,NO,65.38,850.0,427.0,420.0,18.0,4348.0,3.36,92.16,0.6,0.18,20809.0,9366.0,17136.0,0.31
1,2015_16,University of Alabama at Birmingham,Birmingham,AL,Bachelor's,NO,60.43,1147.0,575.0,594.0,25.0,11269.0,58.63,25.41,3.17,5.95,22232.0,7766.0,17654.0,0.55
2,2015_16,Amridge University,Montgomery,AL,Bachelor's,NO,,,,,,308.0,21.1,34.09,1.95,0.0,12133.0,6900.0,6900.0,0.4
3,2015_16,University of Alabama in Huntsville,Huntsville,AL,Bachelor's,NO,81.2,1221.0,585.0,615.0,27.0,5829.0,70.24,12.3,4.17,3.81,20999.0,9128.0,20622.0,0.49
4,2015_16,Alabama State University,Montgomery,AL,Bachelor's,NO,46.39,844.0,410.0,410.0,18.0,4740.0,1.65,92.51,1.16,0.32,18100.0,8720.0,15656.0,0.28
5,2015_16,The University of Alabama,Tuscaloosa,AL,Bachelor's,NO,53.59,1181.0,545.0,550.0,27.0,31005.0,78.07,10.92,3.99,1.13,27205.0,10170.0,25950.0,0.67
7,2015_16,Athens State University,Athens,AL,Bachelor's,NO,,,,,,2904.0,78.17,11.85,1.89,0.62,,,,
8,2015_16,Auburn University at Montgomery,Montgomery,AL,Bachelor's,NO,78.71,990.0,485.0,505.0,21.0,4142.0,53.55,35.1,0.7,2.41,18665.0,9350.0,20210.0,0.22
9,2015_16,Auburn University,Auburn,AL,Bachelor's,NO,77.66,1218.0,580.0,595.0,27.0,21551.0,84.2,6.71,3.23,2.5,29164.0,10424.0,28040.0,0.73
10,2015_16,Birmingham-Southern College,Birmingham,AL,Bachelor's,NO,53.06,1167.0,535.0,555.0,26.0,1346.0,79.12,11.37,2.08,5.35,46730.0,33128.0,33128.0,0.61
13,2015_16,South University-Montgomery,Montgomery,AL,Bachelor's,NO,,,,,,460.0,32.83,59.13,2.17,1.52,27628.0,16761.0,16761.0,0.07
16,2015_16,Faulkner University,Montgomery,AL,Bachelor's,NO,57.3,985.0,475.0,475.0,21.0,2282.0,39.96,50.79,2.41,0.26,30539.0,19280.0,19280.0,0.21
23,2015_16,Huntingdon College,Montgomery,AL,Bachelor's,NO,57.69,992.0,495.0,509.0,21.0,1160.0,63.1,21.64,3.45,0.6,33434.0,25050.0,25050.0,0.41
24,2015_16,Heritage Christian University,Florence,AL,Bachelor's,NO,70.0,848.0,520.0,505.0,16.0,58.0,75.86,15.52,1.72,0.0,19530.0,9792.0,9792.0,0.0
27,2015_16,Jacksonville State University,Jacksonville,AL,Bachelor's,NO,66.65,1062.0,500.0,495.0,23.0,6625.0,69.81,22.14,1.24,0.59,20030.0,7500.0,14700.0,0.31
31,2015_16,Judson College,Marion,AL,Bachelor's,NO,62.92,1031.0,520.0,530.0,22.0,373.0,78.02,15.55,0.8,0.54,29742.0,16868.0,16868.0,0.41
33,2015_16,University of West Alabama,Livingston,AL,Bachelor's,NO,73.47,930.0,480.0,460.0,20.0,1913.0,45.11,40.04,2.25,0.26,17848.0,8734.0,15878.0,0.29
36,2015_16,Miles College,Fairfield,AL,Bachelor's,NO,,,,,,1869.0,1.61,96.74,0.75,0.05,22168.0,11604.0,11604.0,0.2
37,2015_16,University of Mobile,Mobile,AL,Bachelor's,NO,60.51,1025.0,485.0,500.0,22.0,1437.0,61.59,22.96,1.74,0.7,32349.0,20470.0,20470.0,0.45
38,2015_16,University of Montevallo,Montevallo,AL,Bachelor's,NO,70.01,1069.0,525.0,528.0,23.0,2553.0,71.64,14.92,3.72,0.78,22840.0,11410.0,22780.0,0.45
40,2015_16,University of North Alabama,Florence,AL,Bachelor's,NO,58.0,1027.0,479.0,473.0,22.0,5698.0,71.02,14.16,2.81,0.42,16135.0,7774.0,13870.0,0.38
42,2015_16,Oakwood University,Huntsville,AL,Bachelor's,NO,47.49,923.0,475.0,440.0,20.0,1687.0,0.47,84.35,3.08,0.24,35546.0,16720.0,16720.0,0.42
47,2015_16,Samford University,Birmingham,AL,Bachelor's,NO,93.3,1162.0,555.0,550.0,26.0,3145.0,81.43,6.9,5.21,1.08,42270.0,28370.0,28370.0,0.74
48,2015_16,Selma University,Selma,AL,Bachelor's,NO,,,,,,312.0,5.13,94.23,0.0,0.0,15055.0,6705.0,6705.0,1.0
51,2015_16,University of South Alabama,Mobile,AL,Bachelor's,NO,78.16,1045.0,495.0,485.0,23.0,11379.0,58.96,24.32,2.79,3.24,19654.0,7332.0,14364.0,0.36
52,2015_16,Spring Hill College,Mobile,AL,Bachelor's,NO,41.32,1120.0,548.0,548.0,25.0,1347.0,68.52,13.14,3.93,1.11,45489.0,34092.0,34092.0,0.53
53,2015_16,Southeastern Bible College,Birmingham,AL,Bachelor's,NO,100.0,1045.0,650.0,535.0,22.0,151.0,58.28,35.76,2.65,0.0,18988.0,12600.0,12600.0,0.25
54,2015_16,Stillman College,Tuscaloosa,AL,Bachelor's,NO,56.59,831.0,415.0,385.0,18.0,843.0,5.81,91.22,1.3,0.0,26466.0,10418.0,10418.0,0.23
55,2015_16,Talladega College,Talladega,AL,Bachelor's,NO,,,,,,919.0,2.83,88.68,4.68,0.22,21476.0,12510.0,12510.0,0.37
57,2015_16,Troy University,Troy,AL,Bachelor's,NO,91.87,1046.0,481.0,490.0,23.0,14065.0,53.45,30.92,3.57,0.82,17898.0,7924.0,14812.0,0.33
58,2015_16,Tuskegee University,Tuskegee,AL,Bachelor's,NO,52.96,955.0,465.0,465.0,21.0,2486.0,0.44,89.86,0.2,0.72,34354.0,20015.0,20015.0,0.45
59,2015_16,United States Sports Academy,Daphne,AL,Bachelor's,NO,,,,,,104.0,44.23,17.31,12.5,0.96,,,,
61,2015_16,University of Alaska Anchorage,Anchorage,AK,Bachelor's,NO,70.6,,,,,12348.0,56.56,3.6,8.16,8.42,14476.0,5545.0,17177.0,0.24
63,2015_16,University of Alaska Fairbanks,Fairbanks,AK,Bachelor's,NO,73.1,1058.0,545.0,545.0,22.0,5432.0,42.08,2.08,5.82,1.36,16025.0,5674.0,17303.0,0.28
64,2015_16,University of Alaska Southeast,Juneau,AK,Bachelor's,NO,48.91,,,,,1372.0,47.38,1.09,6.78,3.06,18474.0,6132.0,17306.0,0.23
65,2015_16,Alaska Pacific University,Anchorage,AK,Bachelor's,NO,38.91,985.0,493.0,480.0,22.0,260.0,55.0,3.85,2.31,2.31,31435.0,19610.0,19610.0,0.52
80,2015_16,Arizona State University Campus Immersion,Tempe,AZ,Bachelor's,NO,82.91,1158.0,570.0,580.0,26.0,41222.0,52.3,3.82,18.91,6.93,23440.0,10158.0,25458.0,0.66
82,2015_16,University of Arizona,Tucson,AZ,Bachelor's,NO,76.43,,,,,32964.0,52.27,3.8,25.25,5.66,23996.0,11403.0,32630.0,0.61
83,2015_16,Southwest University of Visual Arts-Tucson,Tucson,AZ,Bachelor's,NO,,,,,,131.0,43.51,6.11,35.88,0.0,38376.0,23069.0,23069.0,0.85
93,2015_16,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,Bachelor's,NO,79.14,,,,,2193.0,59.1,2.1,4.1,5.06,47148.0,33144.0,33144.0,0.59
96,2015_16,Grand Canyon University,Phoenix,AZ,Bachelor's,NO,43.2,,,,,42444.0,48.36,17.81,18.9,3.76,31131.0,17050.0,17050.0,0.34
105,2015_16,Northern Arizona University,Flagstaff,AZ,Bachelor's,NO,76.87,,,,,24992.0,59.48,3.38,21.77,1.82,24693.0,10358.0,23348.0,0.52
107,2015_16,Ottawa University-Phoenix,Phoenix,AZ,Bachelor's,NO,,,,,,313.0,52.4,10.86,0.0,0.64,,,,
113,2015_16,Prescott College,Prescott,AZ,Bachelor's,NO,70.43,1039.0,510.0,515.0,23.0,397.0,66.5,2.52,6.05,1.76,38597.0,27503.0,27503.0,0.3
120,2015_16,Arizona Christian University,Glendale,AZ,Bachelor's,NO,51.23,997.0,495.0,512.0,21.0,644.0,56.06,12.42,17.39,1.24,34794.0,23110.0,23110.0,0.38
123,2015_16,Western International University,Tempe,AZ,Bachelor's,NO,,,,,,914.0,50.44,14.11,14.66,1.2,17637.0,6000.0,6000.0,0.03
126,2015_16,University of Arkansas at Little Rock,Little Rock,AR,Bachelor's,NO,89.83,990.0,490.0,500.0,21.0,7888.0,51.58,26.79,7.31,2.29,20714.0,7624.0,17956.0,0.3
127,2015_16,University of Arkansas for Medical Sciences,Little Rock,AR,Bachelor's,NO,,,,,,761.0,75.56,11.43,5.26,2.63,,,,
132,2015_16,Lyon College,Batesville,AR,Bachelor's,NO,59.12,1120.0,550.0,535.0,25.0,675.0,74.81,6.07,6.67,1.78,34566.0,25280.0,25280.0,0.38
135,2015_16,University of Arkansas,Fayetteville,AR,Bachelor's,NO,60.06,1154.0,550.0,565.0,26.0,21815.0,77.22,4.79,7.6,2.48,21288.0,8522.0,21826.0,0.62
136,2015_16,University of Arkansas at Pine Bluff,Pine Bluff,AR,Bachelor's,NO,46.16,871.0,440.0,450.0,18.0,2526.0,4.39,92.48,1.31,0.36,15994.0,6538.0,12268.0,0.26
138,2015_16,Arkansas State University,Jonesboro,AR,Bachelor's,NO,70.24,1088.0,470.0,505.0,24.0,8909.0,74.31,13.75,2.49,0.73,20349.0,8050.0,14050.0,0.4
139,2015_16,Arkansas Tech University,Russellville,AR,Bachelor's,NO,89.11,,,,,8799.0,75.71,9.81,5.81,1.17,17260.0,6192.0,11352.0,0.44
144,2015_16,University of Central Arkansas,Conway,AR,Bachelor's,NO,92.18,1068.0,490.0,510.0,23.0,9340.0,65.74,18.43,4.74,1.73,19686.0,7889.0,13806.0,0.45
145,2015_16,Central Baptist College,Conway,AR,Bachelor's,NO,47.49,968.0,498.0,426.0,21.0,777.0,66.67,23.68,2.96,0.13,23292.0,14400.0,14400.0,0.28
154,2015_16,Harding University,Searcy,AR,Bachelor's,NO,99.2,1135.0,555.0,550.0,25.0,4450.0,83.01,4.38,3.53,0.67,27205.0,17805.0,17805.0,0.64
155,2015_16,Henderson State University,Arkadelphia,AR,Bachelor's,NO,63.34,988.0,462.0,487.0,21.0,3096.0,65.86,23.84,3.97,0.84,19037.0,8100.0,14700.0,0.34
156,2015_16,Hendrix College,Conway,AR,Bachelor's,NO,82.38,1270.0,610.0,620.0,29.0,1303.0,77.82,4.99,4.91,4.6,54087.0,40870.0,40870.0,0.68
159,2015_16,John Brown University,Siloam Springs,AR,Bachelor's,NO,73.76,1209.0,590.0,568.0,27.0,1684.0,74.41,2.43,5.94,1.6,35706.0,24468.0,24468.0,0.62
169,2015_16,Ouachita Baptist University,Arkadelphia,AR,Bachelor's,NO,68.45,1120.0,540.0,550.0,25.0,1471.0,84.98,7.27,3.94,0.75,33675.0,24120.0,24120.0,0.65
172,2015_16,University of the Ozarks,Clarksville,AR,Bachelor's,NO,96.77,1034.0,480.0,475.0,23.0,640.0,65.63,6.09,10.31,0.31,35792.0,24440.0,24440.0,0.43
174,2015_16,Philander Smith College,Little Rock,AR,Bachelor's,NO,,,,,,584.0,0.17,90.58,1.03,0.86,26179.0,12564.0,12564.0,0.4
184,2015_16,Williams Baptist University,Walnut Ridge,AR,Bachelor's,NO,63.75,1010.0,,,22.0,490.0,83.06,8.57,4.08,0.0,24697.0,16430.0,16430.0,0.42
186,2015_16,Southern Arkansas University Main Campus,Magnolia,AR,Bachelor's,NO,67.48,988.0,465.0,480.0,21.0,2859.0,63.27,28.12,3.04,0.56,19970.0,7961.0,11531.0,0.34
189,2015_16,University of Arkansas-Fort Smith,Fort Smith,AR,Bachelor's,NO,55.81,,,,,5754.0,69.83,4.05,10.71,5.09,13897.0,5062.0,11302.0,0.23
190,2015_16,Academy of Art University,San Francisco,CA,Bachelor's,NO,,,,,,8969.0,23.18,6.77,12.01,7.77,36786.0,20340.0,20340.0,0.37
205,2015_16,Art Center College of Design,Pasadena,CA,Bachelor's,NO,79.51,,,,,1890.0,17.88,1.27,12.01,36.19,59787.0,39230.0,39230.0,0.68
208,2015_16,Azusa Pacific University,Azusa,CA,Bachelor's,NO,80.9,1080.0,535.0,530.0,24.0,5883.0,43.75,4.9,29.07,8.92,46441.0,34754.0,34754.0,0.68
212,2015_16,Bethesda University,Anaheim,CA,Bachelor's,NO,,,,,,279.0,7.53,18.64,17.56,12.19,19118.0,9120.0,9120.0,0.77
213,2015_16,Biola University,La Mirada,CA,Bachelor's,NO,69.85,1115.0,555.0,555.0,25.0,4219.0,48.95,2.3,19.41,17.52,47468.0,34498.0,34498.0,0.7
214,2015_16,Brooks Institute,Ventura,CA,Bachelor's,NO,97.55,,,,,334.0,40.42,5.99,7.49,6.59,32221.0,20320.0,20320.0,0.58
219,2015_16,California Institute of Integral Studies,San Francisco,CA,Bachelor's,NO,,,,,,78.0,47.44,8.97,19.23,5.13,,,,
221,2015_16,California Baptist University,Riverside,CA,Bachelor's,NO,65.41,960.0,480.0,475.0,21.0,6604.0,39.16,7.36,34.36,4.91,41760.0,30384.0,30384.0,0.6
222,2015_16,California College of the Arts,San Francisco,CA,Bachelor's,NO,68.54,,,,,1491.0,26.76,4.36,13.62,16.16,56984.0,43708.0,43708.0,0.59
224,2015_16,California Institute of Technology,Pasadena,CA,Bachelor's,NO,8.81,1544.0,765.0,785.0,35.0,1001.0,27.37,1.5,11.89,45.35,60990.0,45390.0,45390.0,0.91
225,2015_16,California Lutheran University,Thousand Oaks,CA,Bachelor's,NO,61.56,1109.0,550.0,550.0,25.0,2802.0,49.25,3.85,26.98,5.75,52386.0,38430.0,38430.0,0.66
226,2015_16,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,Bachelor's,NO,31.29,1259.0,600.0,635.0,29.0,19972.0,57.5,0.81,15.69,12.24,24580.0,9001.0,20161.0,0.76
228,2015_16,California State University-Bakersfield,Bakersfield,CA,Bachelor's,NO,68.75,,,,,8068.0,20.33,6.64,54.38,7.16,16154.0,6811.0,17971.0,0.39
229,2015_16,California State University-Stanislaus,Turlock,CA,Bachelor's,NO,70.63,,,,,8093.0,24.44,2.24,49.12,10.81,16594.0,6704.0,17864.0,0.55
230,2015_16,California State University-San Bernardino,San Bernardino,CA,Bachelor's,NO,64.59,887.0,445.0,450.0,18.0,17518.0,14.09,5.75,60.83,5.9,16138.0,6577.0,17737.0,0.52
231,2015_16,California State Polytechnic University-Pomona,Pomona,CA,Bachelor's,NO,39.31,1066.0,515.0,545.0,24.0,22034.0,19.36,3.29,39.6,24.25,21709.0,7016.0,18176.0,0.63
232,2015_16,California State University-Chico,Chico,CA,Bachelor's,NO,63.45,1003.0,495.0,505.0,22.0,15903.0,46.01,2.43,29.24,5.92,21756.0,7022.0,18182.0,0.64
233,2015_16,California State University-Dominguez Hills,Carson,CA,Bachelor's,NO,52.77,,,,,12584.0,8.05,13.27,58.79,9.61,13349.0,6213.0,17373.0,0.35
234,2015_16,California State University-Fresno,Fresno,CA,Bachelor's,NO,52.19,897.0,445.0,455.0,19.0,21076.0,21.34,3.23,47.96,14.52,16236.0,6311.0,17471.0,0.58
235,2015_16,California State University-Fullerton,Fullerton,CA,Bachelor's,NO,41.86,1024.0,510.0,520.0,22.0,33009.0,22.11,1.94,40.09,21.75,16337.0,6437.0,17597.0,0.62
236,2015_16,California State University-East Bay,Hayward,CA,Bachelor's,NO,74.03,,,,,12981.0,16.14,10.73,31.39,23.6,19842.0,6564.0,17724.0,0.45
237,2015_16,California State University-Long Beach,Long Beach,CA,Bachelor's,NO,33.82,1056.0,515.0,535.0,23.0,32025.0,18.81,3.83,39.09,23.33,17718.0,6452.0,17612.0,0.67
238,2015_16,California State University-Los Angeles,Los Angeles,CA,Bachelor's,NO,68.13,874.0,440.0,445.0,18.0,23424.0,7.14,4.23,62.56,15.26,13734.0,6355.0,17515.0,0.45
239,2015_16,California State University-Northridge,Northridge,CA,Bachelor's,NO,45.6,902.0,450.0,450.0,19.0,36979.0,22.78,5.18,44.04,11.3,16793.0,6569.0,17729.0,0.5
