"Color","University.Name","Completion.Rate..4.year.institutions","Undergraduate.Enrollment","Year"
"Normal","Loyola University New Orleans",62,2734,"2014_15"
"Normal","McNeese State University",41,6597,"2014_15"
"Normal","University of New Orleans",34,6742,"2014_15"
"Normal","Nicholls State University",40,5513,"2014_15"
"Normal","University of Louisiana at Monroe",40,5799,"2014_15"
"Normal","Northwestern State University of Louisiana",38,6828,"2014_15"
"Normal","University of Holy Cross",29,846,"2014_15"
"Normal","Saint Joseph Seminary College",100,126,"2014_15"
"Normal","Southeastern Louisiana University",37,11199,"2014_15"
"Normal","Southern University and A & M College",32,5133,"2014_15"
"Normal","Southern University at New Orleans",12,1658,"2014_15"
"Normal","University of Louisiana at Lafayette",48,14667,"2014_15"
"Normal","Tulane University of Louisiana",83,7892,"2014_15"
"Normal","Xavier University of Louisiana",44,2313,"2014_15"
"Normal","College of the Atlantic",71,365,"2014_15"
"Normal","Bates College",88,1773,"2014_15"
"Normal","Bowdoin College",93,1797,"2014_15"
"Normal","Colby College",90,1847,"2014_15"
"Normal","Husson University",42,2292,"2014_15"
"Normal","University of Maine at Augusta",11,4094,"2014_15"
"Normal","University of Maine at Farmington",54,1738,"2014_15"
"Normal","University of Maine at Fort Kent",50,956,"2014_15"
"Normal","University of Maine at Machias",31,574,"2014_15"
"Normal","University of Maine",60,8682,"2014_15"
"Normal","Maine Maritime Academy",70,1031,"2014_15"
"Normal","University of Maine at Presque Isle",43,847,"2014_15"
"Normal","University of New England",57,2217,"2014_15"
"Normal","Maine College of Art",46,420,"2014_15"
"Normal","Saint Joseph's College of Maine",63,1817,"2014_15"
"Normal","University of Southern Maine",32,5783,"2014_15"
"Normal","Thomas College",43,851,"2014_15"
"Normal","Unity College",60,585,"2014_15"
"Normal","University of Baltimore",43,3444,"2014_15"
"Normal","Bowie State University",33,4401,"2014_15"
"Normal","Capitol Technology University",41,406,"2014_15"
"Normal","Washington Adventist University",40,790,"2014_15"
"Normal","Coppin State University",18,2652,"2014_15"
"Normal","Frostburg State University",49,4765,"2014_15"
"Normal","Goucher College",64,1463,"2014_15"
"Normal","Hood College",71,1330,"2014_15"
"Normal","Johns Hopkins University",93,6039,"2014_15"
"Normal","Loyola University Maryland",82,4062,"2014_15"
"Normal","University of Maryland Global Campus",8,33892,"2014_15"
"Normal","University of Maryland-Baltimore County",61,11274,"2014_15"
"Normal","University of Maryland-College Park",85,26532,"2014_15"
"Normal","Maryland Institute College of Art",72,1907,"2014_15"
"Normal","University of Maryland Eastern Shore",37,3441,"2014_15"
"Normal","Morgan State University",32,6239,"2014_15"
"Normal","Mount St. Mary's University",64,1806,"2014_15"
"Normal","Ner Israel Rabbinical College",39,305,"2014_15"
"Normal","Notre Dame of Maryland University",58,1153,"2014_15"
"Normal","Salisbury University",66,7782,"2014_15"
"Normal","St. Mary's College of Maryland",81,1668,"2014_15"
"Normal","Sojourner-Douglass College",25,659,"2014_15"
"Normal","St. John's College",72,429,"2014_15"
"Normal","Towson University",68,18546,"2014_15"
"Normal","United States Naval Academy",89,4511,"2014_15"
"Normal","Stevenson University",63,3778,"2014_15"
"Normal","Washington College",74,1408,"2014_15"
"Normal","McDaniel College",68,1649,"2014_15"
"Normal","American International College",38,1473,"2014_15"
"Normal","Amherst College",94,1792,"2014_15"
"Normal","Anna Maria College",40,1107,"2014_15"
"Normal","Assumption University",70,2193,"2014_15"
"Normal","Babson College",90,2107,"2014_15"
"Normal","Boston Baptist College",42,73,"2014_15"
"Normal","Bay Path University",63,1574,"2014_15"
"Normal","Becker College",31,1975,"2014_15"
"Normal","Bentley University",88,4190,"2014_15"
"Normal","Berklee College of Music",49,4743,"2014_15"
"Normal","Boston Architectural College",10,352,"2014_15"
"Normal","Boston College",91,9483,"2014_15"
"Normal","The Boston Conservatory",66,505,"2014_15"
"Normal","Boston University",85,16457,"2014_15"
"Normal","Brandeis University",91,3715,"2014_15"
"Normal","Bridgewater State University",59,9500,"2014_15"
"Normal","Cambridge College",3,1134,"2014_15"
"Normal","Clark University",78,2239,"2014_15"
"Normal","Curry College",45,2843,"2014_15"
"Normal","Eastern Nazarene College",47,1054,"2014_15"
"Normal","Emerson College",80,3757,"2014_15"
"Normal","Emmanuel College",64,1967,"2014_15"
"Normal","Endicott College",73,2781,"2014_15"
"Normal","Fitchburg State University",57,4134,"2014_15"
"Normal","Framingham State University",51,4329,"2014_15"
"Normal","Gordon College",72,1703,"2014_15"
"Normal","Hampshire College",75,1358,"2014_15"
"Normal","Harvard University",98,7236,"2014_15"
"Normal","Hellenic College-Holy Cross Greek Orthodox School of Theology",53,81,"2014_15"
"Normal","College of the Holy Cross",92,2754,"2014_15"
"Normal","Lasell University",57,1727,"2014_15"
"Normal","Lesley University",58,1727,"2014_15"
"Normal","University of Massachusetts-Lowell",54,12190,"2014_15"
"Normal","University of Massachusetts-Amherst",75,21864,"2014_15"
"Normal","University of Massachusetts-Boston",42,12108,"2014_15"
"Normal","MCPHS University",71,3944,"2014_15"
"Normal","Massachusetts College of Art and Design",70,1781,"2014_15"
"Normal","Massachusetts Institute of Technology",91,4476,"2014_15"
"Normal","Massachusetts Maritime Academy",70,1395,"2014_15"
"Normal","Merrimack College",68,2985,"2014_15"
"Normal","Montserrat College of Art",52,380,"2014_15"
"Normal","Mount Holyoke College",80,2161,"2014_15"
"Normal","Mount Ida College",41,1290,"2014_15"
"Normal","School of the Museum of Fine Arts at Tufts University",51,311,"2014_15"
"Normal","The New England Conservatory of Music",88,389,"2014_15"
"Normal","Newbury College",35,871,"2014_15"
"Normal","Nichols College",48,1312,"2014_15"
"Normal","Massachusetts College of Liberal Arts",52,1517,"2014_15"
"Normal","The New England Institute of Art",37,555,"2014_15"
"Normal","Northeastern University",82,13492,"2014_15"
"Normal","College of Our Lady of the Elms",78,1336,"2014_15"
"Normal","Pine Manor College",35,401,"2014_15"
"Normal","Regis College",45,1166,"2014_15"
"Normal","Salem State University",46,7180,"2014_15"
"Normal","Simmons University",67,1611,"2014_15"
"Normal","Smith College",87,2563,"2014_15"
"Normal","Springfield College",69,2136,"2014_15"
"Normal","University of Massachusetts-Dartmouth",47,7185,"2014_15"
"Normal","Stonehill College",82,2274,"2014_15"
"Normal","Suffolk University",55,5274,"2014_15"
"Normal","Tufts University",92,5143,"2014_15"
"Normal","Wellesley College",91,2172,"2014_15"
"Normal","Wentworth Institute of Technology",64,4295,"2014_15"
"Normal","Western New England University",59,2722,"2014_15"
"Normal","Westfield State University",63,5429,"2014_15"
"Normal","Wheaton College",77,1575,"2014_15"
"Normal","Wheelock College",55,867,"2014_15"
"Normal","Williams College",95,2019,"2014_15"
"Normal","Worcester Polytechnic Institute",85,4123,"2014_15"
"Normal","Worcester State University",53,5063,"2014_15"
"Normal","Adrian College",57,1570,"2014_15"
"Normal","Albion College",72,1249,"2014_15"
"Normal","Alma College",61,1362,"2014_15"
"Normal","Andrews University",59,1629,"2014_15"
"Normal","Aquinas College",52,1734,"2014_15"
"Normal","Calvin University",74,3825,"2014_15"
"Normal","Central Michigan University",56,20297,"2014_15"
"Normal","Cleary University",45,438,"2014_15"
"Normal","Concordia University-Ann Arbor",36,628,"2014_15"
"Normal","College for Creative Studies",62,1376,"2014_15"
"Normal","Davenport University",40,6348,"2014_15"
"Normal","University of Detroit Mercy",54,2677,"2014_15"
"Normal","Eastern Michigan University",37,17723,"2014_15"
"Normal","Ferris State University",43,12632,"2014_15"
"Normal","Kettering University",57,1689,"2014_15"
"Normal","Cornerstone University",45,2020,"2014_15"
"Normal","Grand Valley State University",65,21561,"2014_15"
"Normal","Great Lakes Christian College",30,160,"2014_15"
"Normal","Hope College",80,3312,"2014_15"
"Normal","Kalamazoo College",82,1431,"2014_15"
"Normal","Lake Superior State University",46,2213,"2014_15"
"Normal","Lawrence Technological University",44,2798,"2014_15"
"Normal","Madonna University",50,2841,"2014_15"
"Normal","Marygrove College",18,881,"2014_15"
"Normal","Rochester University",45,976,"2014_15"
"Normal","University of Michigan-Ann Arbor",91,28217,"2014_15"
"Normal","Michigan State University",79,38395,"2014_15"
"Normal","Michigan Technological University",64,5576,"2014_15"
"Normal","University of Michigan-Dearborn",51,6906,"2014_15"
"Normal","University of Michigan-Flint",34,6565,"2014_15"
"Normal","Northern Michigan University",48,7718,"2014_15"
"Normal","Northwood University",56,2808,"2014_15"
"Normal","Oakland University",46,16528,"2014_15"
"Normal","Olivet College",39,945,"2014_15"
"Normal","Kuyper College",66,264,"2014_15"
"Normal","Saginaw Valley State University",40,8453,"2014_15"
"Normal","Siena Heights University",51,2254,"2014_15"
"Normal","Spring Arbor University",54,2632,"2014_15"
"Normal","Finlandia University",36,464,"2014_15"
"Normal","Wayne State University",34,17242,"2014_15"
"Normal","Western Michigan University",54,18450,"2014_15"
"Normal","Augsburg University",63,2532,"2014_15"
"Normal","Bemidji State University",46,4386,"2014_15"
"Normal","Bethany Lutheran College",55,503,"2014_15"
"Normal","Bethel University",74,2936,"2014_15"
"Normal","Carleton College",93,2042,"2014_15"
"Normal","Concordia College at Moorhead",72,2296,"2014_15"
"Normal","Concordia University-Saint Paul",46,2167,"2014_15"
"Normal","Martin Luther College",72,744,"2014_15"
"Normal","Gustavus Adolphus College",81,2455,"2014_15"
"Normal","Hamline University",65,2157,"2014_15"
"Normal","The Art Institutes International-Minnesota",34,932,"2014_15"
"Normal","Macalester College",90,2053,"2014_15"
"Normal","Minnesota State University-Mankato",50,12332,"2014_15"
"Normal","Metropolitan State University",34,7280,"2014_15"
"Normal","University of Minnesota-Twin Cities",78,30135,"2014_15"
"Normal","University of Minnesota-Crookston",48,1876,"2014_15"
"Normal","Minneapolis College of Art and Design",64,658,"2014_15"
"Normal","Crossroads College",33,96,"2014_15"
"Normal","University of Minnesota-Duluth",59,9120,"2014_15"
"Normal","University of Minnesota-Morris",67,1803,"2014_15"
"Normal","Minnesota School of Business-Richfield",32,673,"2014_15"
"Normal","Minnesota State University Moorhead",42,5496,"2014_15"
"Normal","Sanford-Brown College-Mendota Heights",50,150,"2014_15"
"Normal","North Central University",47,1029,"2014_15"
"Normal","University of Northwestern-St Paul",67,1945,"2014_15"
"Normal","Northwestern Health Sciences University",0,119,"2014_15"
"Normal","Oak Hills Christian College",21,124,"2014_15"
"Normal","College of Saint Benedict",81,2020,"2014_15"
"Normal","Saint Cloud State University",45,10878,"2014_15"
"Normal","Saint Johns University",80,1789,"2014_15"
"Normal","Saint Mary's University of Minnesota",65,1859,"2014_15"
"Normal","St Olaf College",89,2990,"2014_15"
"Normal","Crown College",57,1032,"2014_15"
"Normal","The College of Saint Scholastica",61,2788,"2014_15"
"Normal","University of St Thomas",72,6080,"2014_15"
"Normal","St Catherine University",59,3399,"2014_15"
"Normal","Southwest Minnesota State University",43,2359,"2014_15"
"Normal","Winona State University",57,7944,"2014_15"
"Normal","Alcorn State University",40,3006,"2014_15"
"Normal","Belhaven University",50,2546,"2014_15"
"Normal","Blue Mountain College",46,498,"2014_15"
"Normal","Delta State University",32,2505,"2014_15"
"Normal","Jackson State University",43,7160,"2014_15"
"Normal","Millsaps College",64,762,"2014_15"
"Normal","University of Mississippi",61,17799,"2014_15"
"Normal","Mississippi University for Women",39,2316,"2014_15"
"Normal","Mississippi Valley State University",30,1813,"2014_15"
"Normal","Mississippi College",54,2942,"2014_15"
"Normal","Mississippi State University",60,15800,"2014_15"
"Normal","Rust College",18,963,"2014_15"
"Normal","University of Southern Mississippi",48,11939,"2014_15"
"Normal","Tougaloo College",53,895,"2014_15"
"Normal","William Carey University",58,2039,"2014_15"
"Normal","Avila University",49,1321,"2014_15"
"Normal","Baptist Bible College",38,317,"2014_15"
"Normal","Cox College",50,744,"2014_15"
"Normal","Calvary University",48,225,"2014_15"
"Normal","Central Christian College of the Bible",42,289,"2014_15"
"Normal","Central Methodist University-College of Liberal Arts and Sciences",52,1175,"2014_15"
"Normal","University of Central Missouri",53,9017,"2014_15"
"Normal","Cleveland University-Kansas City",100,47,"2014_15"
"Normal","Columbia College",38,15141,"2014_15"
"Normal","Conception Seminary College",8,86,"2014_15"
"Normal","Culver-Stockton College",41,931,"2014_15"
"Normal","Drury University",63,3790,"2014_15"
"Normal","Evangel University",48,1788,"2014_15"
"Normal","Fontbonne University",48,1121,"2014_15"
"Normal","Hannibal-LaGrange University",35,865,"2014_15"
"Normal","Harris-Stowe State University",8,1256,"2014_15"
"Normal","Kansas City Art Institute",53,650,"2014_15"
"Normal","Kenrick Glennon Seminary",100,61,"2014_15"
"Normal","Lincoln University",25,2377,"2014_15"
"Normal","Lindenwood University",50,7986,"2014_15"
"Normal","Maryville University of Saint Louis",66,2736,"2014_15"
"Normal","Midwestern Baptist Theological Seminary",40,346,"2014_15"
"Normal","Westwood College-O'Hare Airport",29,311,"2014_15"
"Normal","Missouri Baptist University",44,1706,"2014_15"
"Normal","Missouri Southern State University",37,5076,"2014_15"
"Normal","Missouri Valley College",28,1383,"2014_15"
"Normal","Missouri Western State University",36,4783,"2014_15"
"Normal","University of Missouri-Columbia",69,27276,"2014_15"
"Normal","University of Missouri-Kansas City",52,8127,"2014_15"
"Normal","Missouri University of Science and Technology",63,6418,"2014_15"
"Normal","University of Missouri-St Louis",42,8936,"2014_15"
"Normal","Truman State University",71,5394,"2014_15"
"Normal","Northwest Missouri State University",50,5222,"2014_15"
"Normal","Ozark Christian College",47,726,"2014_15"
"Normal","College of the Ozarks",63,1433,"2014_15"
"Normal","Park University",42,9750,"2014_15"
"Normal","Rockhurst University",69,1671,"2014_15"
"Normal","Saint Louis University",72,7822,"2014_15"
"Normal","Saint Louis Christian College",44,166,"2014_15"
"Normal","Southwest Baptist University",49,2477,"2014_15"
"Normal","Stephens College",49,667,"2014_15"
"Normal","Southeast Missouri State University",51,9382,"2014_15"
"Normal","Missouri State University-Springfield",55,16177,"2014_15"
"Normal","Washington University in St Louis",95,6913,"2014_15"
"Normal","Webster University",64,3349,"2014_15"
"Normal","Westminster College",66,943,"2014_15"
"Normal","William Jewell College",60,1043,"2014_15"
"Normal","William Woods University",53,990,"2014_15"
"Normal","Carroll College",63,1410,"2014_15"
"Normal","Montana State University Billings",24,4071,"2014_15"
"Normal","University of Providence",39,1035,"2014_15"
"Normal","Montana Technological University",44,1868,"2014_15"
"Normal","Montana State University",50,13117,"2014_15"
"Normal","The University of Montana",48,10969,"2014_15"
"Normal","Montana State University-Northern",26,1125,"2014_15"
"Normal","Rocky Mountain College",42,903,"2014_15"
"Normal","The University of Montana-Western",46,1337,"2014_15"
"Normal","Bellevue University",29,6185,"2014_15"
"Normal","Clarkson College",59,739,"2014_15"
"Normal","Bryan College of Health Sciences",80,588,"2014_15"
"Normal","Chadron State College",36,2199,"2014_15"
"Normal","Concordia University-Nebraska",66,1232,"2014_15"
"Normal","Creighton University",78,3977,"2014_15"
"Normal","Doane University",59,1064,"2014_15"
"Normal","Grace University",55,387,"2014_15"
"Normal","Hastings College",59,1135,"2014_15"
"Normal","University of Nebraska at Kearney",56,5081,"2014_15"
"Normal","Nebraska Methodist College of Nursing & Allied Health",66,742,"2014_15"
"Normal","Midland University",48,1236,"2014_15"
"Normal","Nebraska Christian College of Hope International University",26,134,"2014_15"
"Normal","University of Nebraska at Omaha",45,11989,"2014_15"
"Normal","Nebraska Wesleyan University",69,1803,"2014_15"
"Normal","University of Nebraska-Lincoln",67,19979,"2014_15"
"Normal","Peru State College",37,1537,"2014_15"
"Normal","Summit Christian College",56,32,"2014_15"
"Normal","College of Saint Mary",49,718,"2014_15"
"Normal","Union College",49,747,"2014_15"
"Normal","Wayne State College",49,2869,"2014_15"
"Normal","York College",37,402,"2014_15"
"Normal","The Art Institute of Las Vegas",28,952,"2014_15"
"Normal","University of Nevada-Las Vegas",39,23329,"2014_15"
"Normal","University of Nevada-Reno",55,16330,"2014_15"
"Normal","Sierra Nevada University",46,548,"2014_15"
"Normal","Colby-Sawyer College",50,1351,"2014_15"
"Normal","Daniel Webster College",53,644,"2014_15"
"Normal","Dartmouth College",95,4184,"2014_15"
"Normal","Franklin Pierce University",46,1702,"2014_15"
"Normal","New England College",36,1700,"2014_15"
"Normal","Southern New Hampshire University",50,28035,"2014_15"
"Normal","University of New Hampshire-Main Campus",76,12591,"2014_15"
"Normal","Keene State College",63,4662,"2014_15"
"Normal","University of New Hampshire at Manchester",47,718,"2014_15"
"Normal","Plymouth State University",58,3644,"2014_15"
"Normal","Rivier University",51,1433,"2014_15"
"Normal","Saint Anselm College",75,1950,"2014_15"
"Normal","Granite State College",14,1800,"2014_15"
"Normal","Thomas More College of Liberal Arts",31,93,"2014_15"
"Normal","Bloomfield College",32,1933,"2014_15"
"Normal","Caldwell University",62,1596,"2014_15"
"Normal","Centenary University",61,1612,"2014_15"
"Normal","Drew University",62,1356,"2014_15"
"Normal","Fairleigh Dickinson University-Metropolitan Campus",48,3870,"2014_15"
"Normal","Felician University",36,1629,"2014_15"
"Normal","Fairleigh Dickinson University-Florham Campus",56,2359,"2014_15"
"Normal","Georgian Court University",48,1423,"2014_15"
"Normal","Rowan University",67,11692,"2014_15"
"Normal","New Jersey City University",32,6163,"2014_15"
"Normal","Kean University",48,11938,"2014_15"
"Normal","Monmouth University",67,4584,"2014_15"
"Normal","Montclair State University",64,15676,"2014_15"
"Normal","New Jersey Institute of Technology",59,6748,"2014_15"
"Normal","Princeton University",97,5258,"2014_15"
"Normal","Rabbinical College of America",12,206,"2014_15"
"Normal","Ramapo College of New Jersey",72,5447,"2014_15"
"Normal","Rider University",63,4188,"2014_15"
"Normal","Rutgers University-Camden",53,4801,"2014_15"
"Normal","Rutgers University-New Brunswick",81,34094,"2014_15"
"Normal","Rutgers University-Newark",66,6841,"2014_15"
"Normal","Saint Peter's University",53,2409,"2014_15"
"Normal","Seton Hall University",66,5609,"2014_15"
"Normal","Saint Elizabeth University",50,862,"2014_15"
"Normal","Stevens Institute of Technology",82,2842,"2014_15"
"Normal","Stockton University",67,7676,"2014_15"
"Normal","Talmudical Academy-New Jersey",0,69,"2014_15"
"Normal","The College of New Jersey",87,6407,"2014_15"
"Normal","William Paterson University of New Jersey",51,9508,"2014_15"
"Normal","Eastern New Mexico University-Main Campus",28,3731,"2014_15"
"Normal","Institute of American Indian and Alaska Native Culture and Arts Development",28,235,"2014_15"
"Normal","New Mexico Highlands University",17,2140,"2014_15"
"Normal","New Mexico Institute of Mining and Technology",45,1525,"2014_15"
"Normal","University of New Mexico-Main Campus",48,20261,"2014_15"
"Normal","New Mexico State University-Main Campus",46,12171,"2014_15"
"Normal","Santa Fe University of Art and Design",21,839,"2014_15"
"Normal","University of the Southwest",17,366,"2014_15"
"Normal","Western New Mexico University",21,2105,"2014_15"
"Normal","Adelphi University",64,5036,"2014_15"
"Normal","Albany College of Pharmacy and Health Sciences",77,1076,"2014_15"
"Normal","Alfred University",55,1842,"2014_15"
"Normal","Bard College",75,2021,"2014_15"
"Normal","Barnard College",89,2556,"2014_15"
"Normal","Berkeley College-New York",30,4388,"2014_15"
"Normal","Beth Hatalmud Rabbinical College",8,29,"2014_15"
"Normal","Canisius College",68,2736,"2014_15"
"Normal","Cazenovia College",55,1067,"2014_15"
"Normal","Central Yeshiva Tomchei Tmimim Lubavitz",22,613,"2014_15"
"Normal","Clarkson University",71,3130,"2014_15"
"Normal","Colgate University",92,2865,"2014_15"
"Normal","Metropolitan College of New York",39,897,"2014_15"
"Normal","Columbia University in the City of New York",95,8100,"2014_15"
"Normal","Concordia College",48,886,"2014_15"
"Normal","Cooper Union for the Advancement of Science and Art",84,852,"2014_15"
"Normal","Cornell University",93,14195,"2014_15"
"Normal","CUNY Bernard M Baruch College",66,14420,"2014_15"
"Normal","CUNY Brooklyn College",50,12925,"2014_15"
"Normal","College of Staten Island CUNY",27,12944,"2014_15"
"Normal","CUNY City College",44,12175,"2014_15"
"Normal","CUNY Graduate School and University Center",67,1297,"2014_15"
"Normal","CUNY Hunter College",52,15778,"2014_15"
"Normal","CUNY John Jay College of Criminal Justice",39,12758,"2014_15"
"Normal","CUNY Lehman College",37,9417,"2014_15"
"Normal","CUNY Medgar Evers College",12,6241,"2014_15"
"Normal","CUNY New York City College of Technology",15,16354,"2014_15"
"Normal","CUNY Queens College",57,14842,"2014_15"
"Normal","CUNY York College",29,7245,"2014_15"
"Normal","D'Youville College",44,1796,"2014_15"
"Normal","Daemen College",47,1965,"2014_15"
"Normal","Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary",53,38,"2014_15"
"Normal","Dominican College of Blauvelt",39,1483,"2014_15"
"Normal","Dowling College",35,1281,"2014_15"
"Normal","Elmira College",58,1318,"2014_15"
"Normal","Five Towns College",33,637,"2014_15"
"Normal","Fordham University",80,8485,"2014_15"
"Normal","Hamilton College",91,1890,"2014_15"
"Normal","Hartwick College",57,1528,"2014_15"
"Normal","Hilbert College",48,932,"2014_15"
"Normal","Hobart William Smith Colleges",79,2344,"2014_15"
"Normal","Hofstra University",60,6803,"2014_15"
"Normal","Houghton College",76,1010,"2014_15"
"Normal","Iona College",58,3052,"2014_15"
"Normal","Ithaca College",78,6087,"2014_15"
"Normal","Jewish Theological Seminary of America",78,156,"2014_15"
"Normal","The Juilliard School",84,509,"2014_15"
"Normal","Kehilath Yakov Rabbinical Seminary",71,125,"2014_15"
"Normal","Keuka College",47,1805,"2014_15"
"Normal","LIM College",51,1548,"2014_15"
"Normal","Le Moyne College",72,2728,"2014_15"
"Normal","LIU Brooklyn",32,4755,"2014_15"
"Normal","Long Island University",41,3774,"2014_15"
"Normal","Machzikei Hadath Rabbinical College",25,147,"2014_15"
"Normal","Manhattan College",75,3471,"2014_15"
"Normal","Manhattan School of Music",72,389,"2014_15"
"Normal","Manhattanville College",61,1754,"2014_15"
"Normal","Marist College",78,5240,"2014_15"
"Normal","Marymount Manhattan College",44,1831,"2014_15"
"Normal","Medaille College",44,1914,"2014_15"
"Normal","Mercy College",29,6402,"2014_15"
"Normal","Mesivta Torah Vodaath Rabbinical Seminary",32,276,"2014_15"
"Normal","Mesivta of Eastern Parkway-Yeshiva Zichron Meilech",7,33,"2014_15"
"Normal","Mesivtha Tifereth Jerusalem of America",19,46,"2014_15"
"Normal","Mirrer Yeshiva Cent Institute",7,135,"2014_15"
"Normal","Molloy College",70,3293,"2014_15"
"Normal","Mount Saint Mary College",59,2096,"2014_15"
"Normal","College of Mount Saint Vincent",57,1671,"2014_15"
"Normal","Nazareth College",76,2017,"2014_15"
"Normal","The College of New Rochelle",29,3075,"2014_15"
"Normal","The New School",60,6695,"2014_15"
"Normal","New York University",83,24539,"2014_15"
"Normal","Niagara University",64,3130,"2014_15"
"Normal","New York Institute of Technology",45,4160,"2014_15"
"Normal","Nyack College",42,1695,"2014_15"
"Normal","Ohr Hameir Theological Seminary",9,96,"2014_15"
"Normal","Pace University",55,8163,"2014_15"
"Normal","Paul Smiths College of Arts and Science",46,891,"2014_15"
"Normal","Davis College",33,252,"2014_15"
"Normal","Pratt Institute-Main",64,3232,"2014_15"
"Normal","Rabbinical Academy Mesivta Rabbi Chaim Berlin",48,155,"2014_15"
"Normal","Rabbinical College Bobover Yeshiva Bnei Zion",83,273,"2014_15"
"Normal","Rabbinical College of Ch'san Sofer New York",80,34,"2014_15"
"Normal","Rabbinical College Beth Shraga",0,41,"2014_15"
"Normal","Rabbinical College of Long Island",12,115,"2014_15"
"Normal","Rabbinical Seminary of America",45,282,"2014_15"
"Normal","Rensselaer Polytechnic Institute",82,5557,"2014_15"
"Normal","Roberts Wesleyan College",63,1335,"2014_15"
"Normal","Rochester Institute of Technology",63,12635,"2014_15"
"Normal","University of Rochester",84,6074,"2014_15"
"Normal","Russell Sage College",59,1657,"2014_15"
"Normal","St Bonaventure University",68,1735,"2014_15"
"Normal","St Francis College",55,2661,"2014_15"
"Normal","St Lawrence University",85,2282,"2014_15"
"Normal","The College of Saint Rose",66,2614,"2014_15"
"Normal","St. Thomas Aquinas College",57,1206,"2014_15"
"Normal","Sarah Lawrence College",77,1366,"2014_15"
"Normal","Sh'or Yoshuv Rabbinical College",65,95,"2014_15"
"Normal","Siena College",80,3085,"2014_15"
"Normal","Skidmore College",87,2612,"2014_15"
"Normal","St. Joseph's College-New York",68,3985,"2014_15"
"Normal","Saint John Fisher College",72,2834,"2014_15"
"Normal","St. John's University-New York",59,10878,"2014_15"
"Normal","SUNY College of Agriculture and Technology at Cobleskill",36,2512,"2014_15"
"Normal","Farmingdale State College",45,7768,"2014_15"
"Normal","SUNY at Albany",66,12659,"2014_15"
"Normal","Binghamton University",81,13372,"2014_15"
"Normal","University at Buffalo",72,19488,"2014_15"
"Normal","Stony Brook University",69,16170,"2014_15"
"Normal","SUNY College of Environmental Science and Forestry",68,1718,"2014_15"
"Normal","SUNY Polytechnic Institute",43,1890,"2014_15"
"Normal","SUNY Brockport",68,6951,"2014_15"
"Normal","SUNY Buffalo State",45,9185,"2014_15"
"Normal","SUNY Cortland",67,6311,"2014_15"
"Normal","SUNY at Fredonia",67,4900,"2014_15"
"Normal","SUNY College at Geneseo",78,5497,"2014_15"
"Normal","State University of New York at New Paltz",74,6464,"2014_15"
"Normal","SUNY Oneonta",73,5803,"2014_15"
"Normal","SUNY College at Oswego",63,7102,"2014_15"
"Normal","SUNY College at Potsdam",54,3669,"2014_15"
"Normal","SUNY at Purchase College",67,3925,"2014_15"
"Normal","SUNY College at Old Westbury",37,4173,"2014_15"
"Normal","SUNY College at Plattsburgh",61,5430,"2014_15"
"Normal","SUNY Empire State College",19,9949,"2014_15"
"Normal","SUNY Maritime College",47,1624,"2014_15"
"Normal","Syracuse University",80,14768,"2014_15"
"Normal","Talmudical Seminary Oholei Torah",4,330,"2014_15"
"Normal","Talmudical Institute of Upstate New York",33,13,"2014_15"
"Normal","Torah Temimah Talmudical Seminary",2,102,"2014_15"
"Normal","Touro College",41,5870,"2014_15"
"Normal","Union College",86,2204,"2014_15"
"Normal","United Talmudical Seminary",49,2096,"2014_15"
"Normal","United States Merchant Marine Academy",72,939,"2014_15"
"Normal","United States Military Academy",80,4414,"2014_15"
"Normal","Utica College",44,2857,"2014_15"
"Normal","Vassar College",92,2389,"2014_15"
"Normal","School of Visual Arts",66,3577,"2014_15"
"Normal","Wagner College",66,1813,"2014_15"
"Normal","Webb Institute",91,90,"2014_15"
"Normal","Wells College",58,525,"2014_15"
"Normal","Yeshiva Karlin Stolin",56,113,"2014_15"
"Normal","Yeshivat Mikdash Melech",2,131,"2014_15"
"Normal","Yeshiva Derech Chaim",12,104,"2014_15"
"Normal","Yeshiva of Nitra Rabbinical College",17,243,"2014_15"
"Normal","Yeshiva Shaar Hatorah",84,56,"2014_15"
"Normal","Yeshiva University",85,2814,"2014_15"
"Normal","Yeshivath Viznitz",95,498,"2014_15"
"Normal","Yeshivath Zichron Moshe",17,163,"2014_15"
"Normal","Appalachian State University",70,16116,"2014_15"
"Normal","Barton College",44,998,"2014_15"
"Normal","Belmont Abbey College",38,1545,"2014_15"
"Normal","Bennett College",45,553,"2014_15"
"Normal","Brevard College",43,696,"2014_15"
"Normal","Campbell University",51,4228,"2014_15"
"Normal","Catawba College",52,1274,"2014_15"
"Normal","Chowan University",25,1478,"2014_15"
"Normal","Davidson College",93,1765,"2014_15"
"Normal","Duke University",95,6480,"2014_15"
"Normal","East Carolina University",59,21207,"2014_15"
"Normal","Elizabeth City State University",39,1763,"2014_15"
"Normal","Elon University",81,5782,"2014_15"
"Normal","Fayetteville State University",35,4862,"2014_15"
"Normal","Gardner-Webb University",54,2688,"2014_15"
"Normal","Greensboro College",37,741,"2014_15"
"Normal","Guilford College",61,1998,"2014_15"
"Normal","Heritage Bible College",0,68,"2014_15"
"Normal","High Point University",63,4197,"2014_15"
"Normal","John Wesley University",57,148,"2014_15"
"Normal","Johnson C Smith University",44,1375,"2014_15"
