"Color","University.Name","Completion.Rate..4.year.institutions","Undergraduate.Enrollment","Year"
"Normal","Marymount California University",37,1086,"2014_15"
"Normal","Menlo College",43,793,"2014_15"
"Normal","Mills College",72,909,"2014_15"
"Normal","Mount Saint Mary's University",66,2659,"2014_15"
"Normal","The National Hispanic University",31,47,"2014_15"
"Normal","National University",40,9451,"2014_15"
"Normal","Newschool of Architecture and Design",40,360,"2014_15"
"Normal","Notre Dame de Namur University",53,1177,"2014_15"
"Normal","Occidental College",85,2023,"2014_15"
"Normal","Otis College of Art and Design",63,1090,"2014_15"
"Normal","Hope International University",49,816,"2014_15"
"Normal","Pacific States University",0,15,"2014_15"
"Normal","Pacific Union College",46,1583,"2014_15"
"Normal","University of the Pacific",61,3802,"2014_15"
"Normal","Pepperdine University",84,3434,"2014_15"
"Normal","Pitzer College",84,1076,"2014_15"
"Normal","Point Loma Nazarene University",73,2560,"2014_15"
"Normal","Pomona College",93,1635,"2014_15"
"Normal","Westwood College-South Bay",26,441,"2014_15"
"Normal","University of Redlands",69,3710,"2014_15"
"Normal","Argosy University-San Francisco Bay Area",0,135,"2014_15"
"Normal","San Diego State University",66,27824,"2014_15"
"Normal","University of San Diego",77,5656,"2014_15"
"Normal","San Francisco Art Institute",33,459,"2014_15"
"Normal","San Francisco Conservatory of Music",50,170,"2014_15"
"Normal","San Francisco State University",50,25170,"2014_15"
"Normal","University of San Francisco",70,6745,"2014_15"
"Normal","William Jessup University",67,1131,"2014_15"
"Normal","San Jose State University",52,26528,"2014_15"
"Normal","Westwood College-Los Angeles",34,1689,"2014_15"
"Normal","Santa Clara University",85,5447,"2014_15"
"Normal","Scripps College",87,962,"2014_15"
"Normal","Shasta Bible College and Graduate School",38,39,"2014_15"
"Normal","Simpson University",52,1065,"2014_15"
"Normal","Saint Mary's College of California",69,2949,"2014_15"
"Normal","Sonoma State University",55,8441,"2014_15"
"Normal","Vanguard University of Southern California",55,1941,"2014_15"
"Normal","Southern California Institute of Architecture",72,263,"2014_15"
"Normal","University of Southern California",91,18392,"2014_15"
"Normal","Thomas Aquinas College",72,378,"2014_15"
"Normal","Epic Bible College",50,208,"2014_15"
"Normal","Walden University",33,8658,"2014_15"
"Normal","Westmont College",78,1297,"2014_15"
"Normal","Whittier College",65,1624,"2014_15"
"Normal","Woodbury University",42,1331,"2014_15"
"Normal","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary",38,163,"2014_15"
"Normal","Adams State University",21,2110,"2014_15"
"Normal","University of Colorado Denver/Anschutz Medical Campus",40,10786,"2014_15"
"Normal","University of Colorado Colorado Springs",47,9310,"2014_15"
"Normal","University of Colorado Boulder",70,25873,"2014_15"
"Normal","Colorado Christian University",42,3657,"2014_15"
"Normal","Colorado College",86,2036,"2014_15"
"Normal","The Art Institute of Colorado",28,1414,"2014_15"
"Normal","Colorado School of Mines",76,4383,"2014_15"
"Normal","Colorado State University-Fort Collins",65,22373,"2014_15"
"Normal","Colorado Technical University-Colorado Springs",28,1139,"2014_15"
"Normal","University of Denver",76,5629,"2014_15"
"Normal","Fort Lewis College",38,3609,"2014_15"
"Normal","Colorado Mesa University",33,8413,"2014_15"
"Normal","Metropolitan State University of Denver",24,20583,"2014_15"
"Normal","Naropa University",39,434,"2014_15"
"Normal","National American University-Colorado Springs",9,253,"2014_15"
"Normal","Nazarene Bible College",17,758,"2014_15"
"Normal","University of Northern Colorado",46,9104,"2014_15"
"Normal","Regis University",61,4914,"2014_15"
"Normal","Rocky Mountain College of Art and Design",48,1013,"2014_15"
"Normal","Colorado State University Pueblo",32,4227,"2014_15"
"Normal","United States Air Force Academy",84,3952,"2014_15"
"Normal","Western Colorado University",36,1936,"2014_15"
"Normal","Yeshiva Toras Chaim Talmudical Seminary",0,12,"2014_15"
"Normal","Albertus Magnus College",50,1249,"2014_15"
"Normal","University of Bridgeport",30,3021,"2014_15"
"Normal","Central Connecticut State University",52,9600,"2014_15"
"Normal","Connecticut College",83,1875,"2014_15"
"Normal","University of Connecticut",81,18016,"2014_15"
"Normal","Eastern Connecticut State University",56,4793,"2014_15"
"Normal","Fairfield University",80,3841,"2014_15"
"Normal","University of Hartford",53,4956,"2014_15"
"Normal","Holy Apostles College and Seminary",0,58,"2014_15"
"Normal","Lyme Academy College of Fine Arts",82,0,"2014_15"
"Normal","Mitchell College",46,710,"2014_15"
"Normal","University of New Haven",50,4974,"2014_15"
"Normal","Paier College of Art Inc",62,112,"2014_15"
"Normal","Post University",26,6594,"2014_15"
"Normal","Quinnipiac University",76,6503,"2014_15"
"Normal","Sacred Heart University",67,4904,"2014_15"
"Normal","University of Saint Joseph",51,930,"2014_15"
"Normal","Southern Connecticut State University",53,8133,"2014_15"
"Normal","Trinity College",84,2262,"2014_15"
"Normal","United States Coast Guard Academy",86,896,"2014_15"
"Normal","Wesleyan University",93,2907,"2014_15"
"Normal","Western Connecticut State University",43,5206,"2014_15"
"Normal","Yale University",96,5473,"2014_15"
"Normal","Delaware State University",43,3654,"2014_15"
"Normal","University of Delaware",79,18222,"2014_15"
"Normal","Goldey-Beacom College",47,629,"2014_15"
"Normal","Wesley College",22,1500,"2014_15"
"Normal","Wilmington University",35,8671,"2014_15"
"Normal","American University",82,7094,"2014_15"
"Normal","The Catholic University of America",67,3529,"2014_15"
"Normal","University of the District of Columbia",13,4253,"2014_15"
"Normal","Gallaudet University",46,1001,"2014_15"
"Normal","George Washington University",79,10433,"2014_15"
"Single","Georgetown University",95,7211,"2014_15"
"Normal","Howard University",60,6961,"2014_15"
"Normal","Strayer University-District of Columbia",26,774,"2014_15"
"Normal","Trinity Washington University",45,1665,"2014_15"
"Normal","The Baptist College of Florida",47,454,"2014_15"
"Normal","Barry University",36,3913,"2014_15"
"Normal","Bethune-Cookman University",50,3897,"2014_15"
"Normal","Lynn University",40,1911,"2014_15"
"Normal","Albizu University-Miami",50,262,"2014_15"
"Normal","Johnson University Florida",35,220,"2014_15"
"Normal","University of Central Florida",70,52280,"2014_15"
"Normal","Clearwater Christian College",50,409,"2014_15"
"Normal","South University-West Palm Beach",7,942,"2014_15"
"Normal","Eckerd College",66,2062,"2014_15"
"Normal","Edward Waters College",20,927,"2014_15"
"Normal","Embry-Riddle Aeronautical University-Daytona Beach",52,4954,"2014_15"
"Normal","Florida Agricultural and Mechanical University",40,7995,"2014_15"
"Normal","Florida Atlantic University",46,24228,"2014_15"
"Normal","Flagler College",58,2767,"2014_15"
"Normal","AdventHealth University",35,1870,"2014_15"
"Normal","Florida Institute of Technology",55,3348,"2014_15"
"Normal","Florida International University",54,39102,"2014_15"
"Normal","Florida Memorial University",39,1478,"2014_15"
"Normal","Florida Southern College",65,2352,"2014_15"
"Normal","Florida State University",79,32432,"2014_15"
"Normal","University of Florida",88,31879,"2014_15"
"Normal","Full Sail University",55,17205,"2014_15"
"Normal","Hobe Sound Bible College",69,233,"2014_15"
"Normal","Sanford-Brown College-Tampa",33,426,"2014_15"
"Normal","AI Miami International University of Art and Design",34,2778,"2014_15"
"Normal","Jacksonville University",41,3164,"2014_15"
"Normal","Luther Rice College & Seminary",0,490,"2014_15"
"Normal","University of Miami",81,10828,"2014_15"
"Normal","University of North Florida",55,13884,"2014_15"
"Normal","Northwood University-Florida",28,669,"2014_15"
"Normal","Nova Southeastern University",46,4582,"2014_15"
"Normal","Palm Beach Atlantic University",55,2585,"2014_15"
"Normal","Ringling College of Art and Design",66,1216,"2014_15"
"Normal","Rollins College",71,2670,"2014_15"
"Normal","Saint Leo University",45,11976,"2014_15"
"Normal","Argosy University-Sarasota",67,142,"2014_15"
"Normal","St. John Vianney College Seminary",44,77,"2014_15"
"Normal","University of South Florida",67,30279,"2014_15"
"Normal","St. Thomas University",33,931,"2014_15"
"Normal","Stetson University",61,2821,"2014_15"
"Normal","Southeastern University",42,2946,"2014_15"
"Normal","Talmudic College of Florida",80,46,"2014_15"
"Normal","The University of Tampa",62,6811,"2014_15"
"Normal","Trinity Baptist College",41,352,"2014_15"
"Normal","Trinity College of Florida",32,224,"2014_15"
"Normal","Warner University",38,1011,"2014_15"
"Normal","Webber International University",30,687,"2014_15"
"Normal","The University of West Florida",51,9794,"2014_15"
"Normal","Agnes Scott College",73,802,"2014_15"
"Normal","Albany State University",40,3261,"2014_15"
"Normal","Armstrong State University",30,6162,"2014_15"
