,Year,University Name,University City,University State,Most Awarded Degree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
0,2019_20,Alabama A & M University,Normal,AL,Bachelor's,NO,91.75,939.0,470.0,455.0,17.0,5271.0,1.4,90.72,0.91,0.19,23053.0,10024.0,18634.0,0.3
1,2019_20,University of Alabama at Birmingham,Birmingham,AL,Bachelor's,NO,73.66,1234.0,620.0,608.0,26.0,13328.0,55.86,24.14,5.65,6.78,24495.0,8568.0,20400.0,0.63
3,2019_20,University of Alabama in Huntsville,Huntsville,AL,Bachelor's,NO,82.57,1319.0,669.0,695.0,28.0,7785.0,71.61,8.79,5.66,3.47,23917.0,11122.0,23518.0,0.58
4,2019_20,Alabama State University,Montgomery,AL,Bachelor's,NO,96.9,946.0,480.0,470.0,17.0,3750.0,1.63,92.75,0.99,0.37,21866.0,11068.0,19396.0,0.33
5,2019_20,The University of Alabama,Tuscaloosa,AL,Bachelor's,NO,82.68,1261.0,605.0,605.0,27.0,31900.0,76.83,10.08,5.05,1.19,29872.0,10780.0,30250.0,0.71
7,2019_20,Athens State University,Athens,AL,Bachelor's,NO,,,,,,2677.0,76.43,12.81,3.51,0.75,,,,
8,2019_20,Auburn University at Montgomery,Montgomery,AL,Bachelor's,YES,90.44,1082.0,520.0,515.0,21.0,4407.0,44.18,41.87,1.2,2.02,19849.0,8620.0,18292.0,0.34
9,2019_20,Auburn University,Auburn,AL,Bachelor's,NO,80.67,1300.0,615.0,620.0,28.0,24209.0,80.03,5.04,3.45,2.47,31590.0,11492.0,31124.0,0.79
10,2019_20,Birmingham-Southern College,Birmingham,AL,Bachelor's,NO,53.81,1230.0,615.0,595.0,26.0,1205.0,78.67,13.86,2.66,2.16,32095.0,18238.0,18238.0,0.69
12,2019_20,South University-Montgomery,Montgomery,AL,Bachelor's,NO,,,,,,251.0,31.08,65.74,0.4,0.8,28258.0,17014.0,17014.0,0.1
15,2019_20,Faulkner University,Montgomery,AL,Bachelor's,NO,78.33,1066.0,545.0,535.0,21.0,1928.0,45.44,44.5,2.75,0.52,34317.0,22310.0,22310.0,0.33
22,2019_20,Huntingdon College,Montgomery,AL,Bachelor's,NO,59.29,1076.0,563.0,545.0,21.0,1007.0,68.32,18.97,4.97,0.7,36828.0,27400.0,27400.0,0.49
23,2019_20,Heritage Christian University,Florence,AL,Bachelor's,NO,23.53,,,,11.0,59.0,81.36,5.08,6.78,1.69,20695.0,11532.0,11532.0,0.8
26,2019_20,Jacksonville State University,Jacksonville,AL,Bachelor's,NO,54.79,1084.0,535.0,510.0,21.0,6743.0,69.66,20.47,0.59,0.68,19004.0,11120.0,20840.0,0.41
29,2019_20,Judson College,Marion,AL,Bachelor's,NO,37.24,1020.0,,,19.0,245.0,71.02,19.18,2.04,0.0,32691.0,18540.0,18540.0,0.36
31,2019_20,University of West Alabama,Livingston,AL,Bachelor's,YES,34.93,1041.0,480.0,460.0,20.0,2235.0,45.28,40.76,1.57,0.31,21657.0,10990.0,20090.0,0.35
34,2019_20,Miles College,Fairfield,AL,Bachelor's,NO,,,,,,1452.0,3.72,93.11,1.03,0.07,22300.0,12464.0,12464.0,0.25
35,2019_20,University of Mobile,Mobile,AL,Bachelor's,NO,45.66,1166.0,565.0,520.0,24.0,1192.0,67.53,16.44,1.26,1.93,36104.0,23860.0,23860.0,0.55
36,2019_20,University of Montevallo,Montevallo,AL,Bachelor's,NO,53.2,1135.0,570.0,565.0,23.0,2200.0,68.45,16.27,5.18,0.86,24746.0,13708.0,26728.0,0.55
38,2019_20,University of North Alabama,Florence,AL,Bachelor's,NO,88.78,1148.0,565.0,533.0,23.0,5513.0,74.22,13.24,3.27,0.78,20886.0,10620.0,20220.0,0.49
40,2019_20,Oakwood University,Huntsville,AL,Bachelor's,NO,64.73,1010.0,514.0,467.0,20.0,1442.0,0.35,80.44,5.13,0.35,37169.0,19990.0,19990.0,0.51
