"Color","University.Name","Admission.Rate","SAT.Average","Year"
"Normal","Colorado State University-Fort Collins",80.48,1128,"2014_15"
"Normal","University of Denver",76.49,1231,"2014_15"
"Normal","Fort Lewis College",90.82,1020,"2014_15"
"Normal","Colorado Mesa University",82.27,970,"2014_15"
"Normal","Metropolitan State University of Denver",65.11,973,"2014_15"
"Normal","University of Northern Colorado",70.88,1033,"2014_15"
"Normal","Regis University",96.04,1108,"2014_15"
"Normal","Colorado State University Pueblo",92.78,971,"2014_15"
"Normal","United States Air Force Academy",16.55,1324,"2014_15"
"Normal","Western Colorado University",97.41,990,"2014_15"
"Normal","University of Bridgeport",60.72,899,"2014_15"
"Normal","Central Connecticut State University",60.44,1015,"2014_15"
"Normal","University of Connecticut",49.96,1246,"2014_15"
"Normal","University of Hartford",72.13,1000,"2014_15"
"Normal","University of New Haven",80.86,1063,"2014_15"
"Normal","Post University",87.07,855,"2014_15"
"Normal","Quinnipiac University",65.91,1104,"2014_15"
"Normal","University of Saint Joseph",79.97,969,"2014_15"
"Normal","Southern Connecticut State University",71.54,932,"2014_15"
"Normal","United States Coast Guard Academy",18.08,1260,"2014_15"
"Normal","Western Connecticut State University",40.03,981,"2014_15"
"Normal","Yale University",6.3,1493,"2014_15"
"Normal","Delaware State University",43.74,894,"2014_15"
"Normal","University of Delaware",67.83,1194,"2014_15"
"Normal","Wesley College",56.7,853,"2014_15"
"Normal","American University",45.84,1252,"2014_15"
"Normal","The Catholic University of America",73.91,1130,"2014_15"
"Normal","Gallaudet University",65.32,849,"2014_15"
"Normal","George Washington University",43.79,1297,"2014_15"
"Single","Georgetown University",17.35,1414,"2014_15"
"Normal","Howard University",48.41,1105,"2014_15"
"Normal","The Baptist College of Florida",55.56,962,"2014_15"
"Normal","Barry University",46.11,938,"2014_15"
"Normal","Bethune-Cookman University",63.71,803,"2014_15"
"Normal","Lynn University",74.87,980,"2014_15"
"Normal","Johnson University Florida",35.33,940,"2014_15"
"Normal","University of Central Florida",49.61,1185,"2014_15"
"Normal","Clearwater Christian College",61.92,974,"2014_15"
"Normal","Eckerd College",72.74,1153,"2014_15"
"Normal","Edward Waters College",52.95,825,"2014_15"
"Normal","Florida Agricultural and Mechanical University",48.95,948,"2014_15"
"Normal","Florida Atlantic University",66.03,1058,"2014_15"
"Normal","Flagler College",47.88,1058,"2014_15"
"Normal","AdventHealth University",100,928,"2014_15"
"Normal","Florida Institute of Technology",61.57,1176,"2014_15"
"Normal","Florida International University",52.78,1089,"2014_15"
"Normal","Florida Southern College",44.81,1147,"2014_15"
"Normal","Florida State University",55.39,1228,"2014_15"
"Normal","University of Florida",45.61,1273,"2014_15"
"Normal","University of Miami",38.18,1330,"2014_15"
"Normal","University of North Florida",60.57,1133,"2014_15"
"Normal","Northwood University-Florida",39.79,919,"2014_15"
"Normal","Nova Southeastern University",48.81,1143,"2014_15"
"Normal","Palm Beach Atlantic University",95.27,1071,"2014_15"
"Normal","University of South Florida",53.16,1162,"2014_15"
"Normal","St. Thomas University",84.9,919,"2014_15"
"Normal","Southeastern University",43.94,965,"2014_15"
"Normal","The University of Tampa",51.88,1094,"2014_15"
"Normal","Trinity Baptist College",63.68,899,"2014_15"
"Normal","Warner University",26,863,"2014_15"
"Normal","Webber International University",50.56,950,"2014_15"
"Normal","The University of West Florida",41.67,1065,"2014_15"
"Normal","Albany State University",47.29,875,"2014_15"
"Normal","Armstrong State University",68.03,1006,"2014_15"
"Normal","Point University",51.89,917,"2014_15"
"Normal","Clark Atlanta University",84.67,860,"2014_15"
"Normal","Berry College",60.83,1183,"2014_15"
"Normal","Brenau University",75.81,985,"2014_15"
"Normal","Clayton  State University",42.45,930,"2014_15"
"Normal","Columbus State University",55.22,976,"2014_15"
"Normal","Covenant College",96.64,1175,"2014_15"
"Normal","Emmanuel College",49.12,960,"2014_15"
"Normal","Emory University",26.82,1366,"2014_15"
"Normal","Fort Valley State University",24.19,873,"2014_15"
"Single","Georgia Institute of Technology-Main Campus",33.38,1400,"2014_15"
"Normal","Georgia Southwestern State University",69.64,970,"2014_15"
"Normal","Georgia College & State University",76.24,1132,"2014_15"
"Normal","Georgia Southern University",63.1,1099,"2014_15"
"Normal","Georgia State University",59.44,1055,"2014_15"
"Normal","University of Georgia",55.72,1248,"2014_15"
"Normal","Kennesaw State University",53.45,1076,"2014_15"
"Normal","LaGrange College",55.25,1035,"2014_15"
"Normal","Mercer University",66.72,1205,"2014_15"
"Normal","Morehouse College",84.03,1004,"2014_15"
"Normal","Oglethorpe University",78.23,1139,"2014_15"
"Normal","Paine College",30,760,"2014_15"
"Normal","Piedmont University",57.55,968,"2014_15"
"Normal","Reinhardt University",90.02,975,"2014_15"
