"Color","University.Name","Completion.Rate..4.year.institutions","Average.Cost.per.Academic.Year","Year"
"Normal","Northwestern State University of Louisiana",38,17659,"2014_15"
"Normal","University of Holy Cross",29,15775,"2014_15"
"Normal","Saint Joseph Seminary College",100,32125,"2014_15"
"Normal","Southeastern Louisiana University",37,16136,"2014_15"
"Normal","Southern University and A & M College",32,18882,"2014_15"
"Normal","Southern University at New Orleans",12,10300,"2014_15"
"Normal","University of Louisiana at Lafayette",48,16112,"2014_15"
"Normal","Tulane University of Louisiana",83,61055,"2014_15"
"Normal","Xavier University of Louisiana",44,29988,"2014_15"
"Normal","College of the Atlantic",71,49890,"2014_15"
"Normal","Bates College",88,61000,"2014_15"
"Normal","Bowdoin College",93,59900,"2014_15"
"Normal","Colby College",90,59110,"2014_15"
"Normal","Husson University",42,25620,"2014_15"
"Normal","University of Maine at Augusta",11,14469,"2014_15"
"Normal","University of Maine at Farmington",54,20989,"2014_15"
"Normal","University of Maine at Fort Kent",50,17932,"2014_15"
"Normal","University of Maine at Machias",31,17503,"2014_15"
"Normal","University of Maine",60,22193,"2014_15"
"Normal","Maine Maritime Academy",70,23940,"2014_15"
"Normal","University of Maine at Presque Isle",43,16437,"2014_15"
"Normal","University of New England",57,49671,"2014_15"
"Normal","Maine College of Art",46,44429,"2014_15"
"Normal","Saint Joseph's College of Maine",63,44825,"2014_15"
"Normal","University of Southern Maine",32,22083,"2014_15"
"Normal","Thomas College",43,34202,"2014_15"
"Normal","Unity College",60,35580,"2014_15"
"Normal","University of Baltimore",43,21225,"2014_15"
"Normal","Bowie State University",33,19456,"2014_15"
"Normal","Capitol Technology University",41,31864,"2014_15"
"Normal","Washington Adventist University",40,29547,"2014_15"
"Normal","Coppin State University",18,15837,"2014_15"
"Normal","Frostburg State University",49,20046,"2014_15"
"Normal","Goucher College",64,52462,"2014_15"
"Normal","Hood College",71,46747,"2014_15"
"Normal","Johns Hopkins University",93,61481,"2014_15"
"Normal","Loyola University Maryland",82,57775,"2014_15"
"Normal","University of Maryland Global Campus",8,13525,"2014_15"
"Normal","University of Maryland-Baltimore County",61,21941,"2014_15"
"Normal","University of Maryland-College Park",85,23258,"2014_15"
"Normal","Maryland Institute College of Art",72,54684,"2014_15"
"Normal","University of Maryland Eastern Shore",37,21472,"2014_15"
"Normal","Morgan State University",32,21666,"2014_15"
"Normal","Mount St. Mary's University",64,48273,"2014_15"
"Normal","Ner Israel Rabbinical College",39,20850,"2014_15"
"Normal","Notre Dame of Maryland University",58,42859,"2014_15"
"Normal","Salisbury University",66,21784,"2014_15"
"Normal","St. Mary's College of Maryland",81,29172,"2014_15"
"Normal","Sojourner-Douglass College",25,27030,"2014_15"
"Normal","St. John's College",72,58321,"2014_15"
"Normal","Towson University",68,21973,"2014_15"
"Normal","Stevenson University",63,41569,"2014_15"
"Normal","Washington College",74,54067,"2014_15"
"Normal","McDaniel College",68,47966,"2014_15"
"Normal","American International College",38,42762,"2014_15"
"Normal","Amherst College",94,61544,"2014_15"
"Normal","Anna Maria College",40,45599,"2014_15"
"Normal","Assumption University",70,47428,"2014_15"
"Normal","Babson College",90,60494,"2014_15"
"Normal","Boston Baptist College",42,31371,"2014_15"
"Normal","Bay Path University",63,41344,"2014_15"
"Normal","Becker College",31,45609,"2014_15"
"Normal","Bentley University",88,56768,"2014_15"
"Normal","Berklee College of Music",49,58249,"2014_15"
"Normal","Boston Architectural College",10,37970,"2014_15"
"Normal","Boston College",91,60690,"2014_15"
"Normal","The Boston Conservatory",66,60057,"2014_15"
"Normal","Boston University",85,61396,"2014_15"
"Normal","Brandeis University",91,61023,"2014_15"
"Normal","Bridgewater State University",59,19877,"2014_15"
"Normal","Cambridge College",3,24440,"2014_15"
"Normal","Clark University",78,48366,"2014_15"
"Normal","Curry College",45,48778,"2014_15"
"Normal","Eastern Nazarene College",47,37563,"2014_15"
"Normal","Emerson College",80,53499,"2014_15"
"Normal","Emmanuel College",64,51082,"2014_15"
"Normal","Endicott College",73,45323,"2014_15"
"Normal","Fitchburg State University",57,17894,"2014_15"
"Normal","Framingham State University",51,22097,"2014_15"
"Normal","Gordon College",72,44699,"2014_15"
"Normal","Hampshire College",75,60048,"2014_15"
"Normal","Harvard University",98,59950,"2014_15"
"Normal","Hellenic College-Holy Cross Greek Orthodox School of Theology",53,38405,"2014_15"
"Normal","College of the Holy Cross",92,57754,"2014_15"
"Normal","Lasell University",57,44737,"2014_15"
"Normal","Lesley University",58,48818,"2014_15"
"Normal","University of Massachusetts-Lowell",54,23628,"2014_15"
"Normal","University of Massachusetts-Amherst",75,26207,"2014_15"
"Normal","University of Massachusetts-Boston",42,19355,"2014_15"
"Normal","MCPHS University",71,44449,"2014_15"
"Normal","Massachusetts College of Art and Design",70,25838,"2014_15"
"Normal","Massachusetts Institute of Technology",91,59020,"2014_15"
"Normal","Massachusetts Maritime Academy",70,22073,"2014_15"
"Normal","Merrimack College",68,47996,"2014_15"
"Normal","Montserrat College of Art",52,39585,"2014_15"
"Normal","Mount Holyoke College",80,55454,"2014_15"
"Normal","Mount Ida College",41,44219,"2014_15"
"Normal","School of the Museum of Fine Arts at Tufts University",51,54786,"2014_15"
"Normal","The New England Conservatory of Music",88,55870,"2014_15"
"Normal","Newbury College",35,42593,"2014_15"
"Normal","Nichols College",48,46377,"2014_15"
"Normal","Massachusetts College of Liberal Arts",52,20552,"2014_15"
"Normal","The New England Institute of Art",37,33933,"2014_15"
"Normal","Northeastern University",82,57981,"2014_15"
"Normal","College of Our Lady of the Elms",78,41625,"2014_15"
"Normal","Pine Manor College",35,38346,"2014_15"
"Normal","Regis College",45,48392,"2014_15"
"Normal","Salem State University",46,20484,"2014_15"
"Normal","Simmons University",67,52348,"2014_15"
"Normal","Smith College",87,60167,"2014_15"
"Normal","Springfield College",69,45887,"2014_15"
"Normal","University of Massachusetts-Dartmouth",47,24104,"2014_15"
"Normal","Stonehill College",82,51977,"2014_15"
"Normal","Suffolk University",55,46152,"2014_15"
"Normal","Tufts University",92,61000,"2014_15"
"Normal","Wellesley College",91,59092,"2014_15"
"Normal","Wentworth Institute of Technology",64,46112,"2014_15"
"Normal","Western New England University",59,47447,"2014_15"
"Normal","Westfield State University",63,20536,"2014_15"
"Normal","Wheaton College",77,58422,"2014_15"
"Normal","Wheelock College",55,46164,"2014_15"
"Normal","Williams College",95,61850,"2014_15"
"Normal","Worcester Polytechnic Institute",85,57637,"2014_15"
"Normal","Worcester State University",53,18252,"2014_15"
"Normal","Adrian College",57,43341,"2014_15"
"Normal","Albion College",72,48073,"2014_15"
"Normal","Alma College",61,44636,"2014_15"
"Normal","Andrews University",59,35017,"2014_15"
"Normal","Aquinas College",52,36965,"2014_15"
"Normal","Calvin University",74,40694,"2014_15"
"Normal","Central Michigan University",56,21828,"2014_15"
"Normal","Cleary University",45,18625,"2014_15"
"Normal","Concordia University-Ann Arbor",36,34904,"2014_15"
"Normal","College for Creative Studies",62,48413,"2014_15"
"Normal","Davenport University",40,25082,"2014_15"
"Normal","University of Detroit Mercy",54,49617,"2014_15"
"Normal","Eastern Michigan University",37,19532,"2014_15"
"Normal","Ferris State University",43,21215,"2014_15"
"Normal","Kettering University",57,51277,"2014_15"
"Normal","Cornerstone University",45,34889,"2014_15"
"Normal","Grand Valley State University",65,21907,"2014_15"
"Normal","Great Lakes Christian College",30,25648,"2014_15"
"Normal","Hope College",80,39856,"2014_15"
"Normal","Kalamazoo College",82,50800,"2014_15"
"Normal","Lake Superior State University",46,19524,"2014_15"
"Normal","Lawrence Technological University",44,41064,"2014_15"
"Normal","Madonna University",50,24763,"2014_15"
"Normal","Marygrove College",18,27622,"2014_15"
"Normal","Rochester University",45,26820,"2014_15"
"Normal","University of Michigan-Ann Arbor",91,26143,"2014_15"
"Normal","Michigan State University",79,24323,"2014_15"
"Normal","Michigan Technological University",64,25360,"2014_15"
"Normal","University of Michigan-Dearborn",51,17766,"2014_15"
"Normal","University of Michigan-Flint",34,19079,"2014_15"
"Normal","Northern Michigan University",48,18865,"2014_15"
"Normal","Northwood University",56,34733,"2014_15"
"Normal","Oakland University",46,19385,"2014_15"
"Normal","Olivet College",39,33155,"2014_15"
"Normal","Kuyper College",66,26557,"2014_15"
"Normal","Saginaw Valley State University",40,18378,"2014_15"
"Normal","Siena Heights University",51,33484,"2014_15"
"Normal","Spring Arbor University",54,33787,"2014_15"
"Normal","Finlandia University",36,29789,"2014_15"
"Normal","Wayne State University",34,21021,"2014_15"
"Normal","Western Michigan University",54,22013,"2014_15"
"Normal","Augsburg University",63,44986,"2014_15"
"Normal","Bemidji State University",46,18549,"2014_15"
"Normal","Bethany Lutheran College",55,33417,"2014_15"
"Normal","Bethel University",74,43974,"2014_15"
"Normal","Carleton College",93,60401,"2014_15"
"Normal","Concordia College at Moorhead",72,42829,"2014_15"
"Normal","Concordia University-Saint Paul",46,28984,"2014_15"
"Normal","Martin Luther College",72,21524,"2014_15"
"Normal","Gustavus Adolphus College",81,50008,"2014_15"
"Normal","Hamline University",65,44883,"2014_15"
"Normal","The Art Institutes International-Minnesota",34,31739,"2014_15"
"Normal","Macalester College",90,57478,"2014_15"
"Normal","Minnesota State University-Mankato",50,17355,"2014_15"
"Normal","Metropolitan State University",34,19052,"2014_15"
"Normal","University of Minnesota-Twin Cities",78,24551,"2014_15"
"Normal","University of Minnesota-Crookston",48,22394,"2014_15"
"Normal","Minneapolis College of Art and Design",64,42990,"2014_15"
"Normal","Crossroads College",33,26410,"2014_15"
"Normal","University of Minnesota-Duluth",59,23153,"2014_15"
"Normal","University of Minnesota-Morris",67,23135,"2014_15"
"Normal","Minnesota School of Business-Richfield",32,26592,"2014_15"
"Normal","Minnesota State University Moorhead",42,18680,"2014_15"
"Normal","Sanford-Brown College-Mendota Heights",50,22673,"2014_15"
"Normal","North Central University",47,30203,"2014_15"
"Normal","University of Northwestern-St Paul",67,39702,"2014_15"
"Normal","Northwestern Health Sciences University",0,24990,"2014_15"
"Normal","Oak Hills Christian College",21,26034,"2014_15"
"Normal","College of Saint Benedict",81,49920,"2014_15"
"Normal","Saint Cloud State University",45,18142,"2014_15"
"Normal","Saint Johns University",80,48520,"2014_15"
"Normal","Saint Mary's University of Minnesota",65,39736,"2014_15"
"Normal","St Olaf College",89,51860,"2014_15"
"Normal","Crown College",57,34943,"2014_15"
"Normal","The College of Saint Scholastica",61,42355,"2014_15"
"Normal","University of St Thomas",72,47616,"2014_15"
"Normal","St Catherine University",59,43101,"2014_15"
"Normal","Southwest Minnesota State University",43,19028,"2014_15"
"Normal","Winona State University",57,20574,"2014_15"
"Normal","Alcorn State University",40,21116,"2014_15"
"Normal","Belhaven University",50,31730,"2014_15"
"Normal","Blue Mountain College",46,17198,"2014_15"
"Normal","Delta State University",32,18887,"2014_15"
"Normal","Jackson State University",43,19803,"2014_15"
"Normal","Millsaps College",64,46491,"2014_15"
"Normal","University of Mississippi",61,22444,"2014_15"
"Normal","Mississippi University for Women",39,16299,"2014_15"
"Normal","Mississippi Valley State University",30,19331,"2014_15"
"Normal","Mississippi College",54,27468,"2014_15"
"Normal","Mississippi State University",60,21581,"2014_15"
"Normal","Rust College",18,15284,"2014_15"
"Normal","University of Southern Mississippi",48,19493,"2014_15"
"Normal","Tougaloo College",53,20503,"2014_15"
"Normal","William Carey University",58,24941,"2014_15"
"Normal","Avila University",49,36178,"2014_15"
"Normal","Baptist Bible College",38,17281,"2014_15"
"Normal","Cox College",50,18972,"2014_15"
"Normal","Calvary University",48,17891,"2014_15"
"Normal","Central Christian College of the Bible",42,24213,"2014_15"
"Normal","Central Methodist University-College of Liberal Arts and Sciences",52,32970,"2014_15"
"Normal","University of Central Missouri",53,18112,"2014_15"
"Normal","Columbia College",38,17312,"2014_15"
"Normal","Conception Seminary College",8,31890,"2014_15"
"Normal","Culver-Stockton College",41,34565,"2014_15"
"Normal","Drury University",63,33480,"2014_15"
"Normal","Evangel University",48,32183,"2014_15"
"Normal","Fontbonne University",48,32882,"2014_15"
"Normal","Hannibal-LaGrange University",35,29079,"2014_15"
"Normal","Harris-Stowe State University",8,14587,"2014_15"
"Normal","Kansas City Art Institute",53,48454,"2014_15"
"Normal","Kenrick Glennon Seminary",100,31995,"2014_15"
"Normal","Lincoln University",25,15202,"2014_15"
"Normal","Lindenwood University",50,30929,"2014_15"
"Normal","Maryville University of Saint Louis",66,39236,"2014_15"
"Normal","Midwestern Baptist Theological Seminary",40,19733,"2014_15"
"Normal","Westwood College-O'Hare Airport",29,30189,"2014_15"
"Normal","Missouri Baptist University",44,32293,"2014_15"
"Normal","Missouri Southern State University",37,13542,"2014_15"
"Normal","Missouri Valley College",28,29173,"2014_15"
"Normal","Missouri Western State University",36,15805,"2014_15"
"Normal","University of Missouri-Columbia",69,22943,"2014_15"
"Normal","University of Missouri-Kansas City",52,24436,"2014_15"
"Normal","Missouri University of Science and Technology",63,21798,"2014_15"
"Normal","University of Missouri-St Louis",42,22165,"2014_15"
"Normal","Truman State University",71,19368,"2014_15"
"Normal","Northwest Missouri State University",50,17376,"2014_15"
"Normal","Ozark Christian College",47,19321,"2014_15"
"Normal","College of the Ozarks",63,26900,"2014_15"
"Normal","Park University",42,19322,"2014_15"
"Normal","Rockhurst University",69,43750,"2014_15"
"Normal","Saint Louis University",72,52310,"2014_15"
"Normal","Saint Louis Christian College",44,16116,"2014_15"
"Normal","Southwest Baptist University",49,29870,"2014_15"
"Normal","Stephens College",49,42776,"2014_15"
"Normal","Southeast Missouri State University",51,17405,"2014_15"
"Normal","Missouri State University-Springfield",55,19251,"2014_15"
"Normal","Washington University in St Louis",95,63755,"2014_15"
"Normal","Webster University",64,39110,"2014_15"
"Normal","Westminster College",66,34470,"2014_15"
"Normal","William Jewell College",60,43791,"2014_15"
"Normal","William Woods University",53,34371,"2014_15"
"Normal","Carroll College",63,40762,"2014_15"
"Normal","Montana State University Billings",24,15893,"2014_15"
"Normal","University of Providence",39,32581,"2014_15"
"Normal","Montana Technological University",44,16598,"2014_15"
"Normal","Montana State University",50,18886,"2014_15"
"Normal","The University of Montana",48,18059,"2014_15"
"Normal","Montana State University-Northern",26,16190,"2014_15"
"Normal","Rocky Mountain College",42,34355,"2014_15"
"Normal","The University of Montana-Western",46,14792,"2014_15"
"Normal","Bellevue University",29,15400,"2014_15"
"Normal","Clarkson College",59,24048,"2014_15"
"Normal","Bryan College of Health Sciences",80,23203,"2014_15"
"Normal","Chadron State College",36,16135,"2014_15"
"Normal","Concordia University-Nebraska",66,34816,"2014_15"
"Normal","Creighton University",78,47780,"2014_15"
"Normal","Doane University",59,38380,"2014_15"
"Normal","Grace University",55,28826,"2014_15"
"Normal","Hastings College",59,36689,"2014_15"
"Normal","University of Nebraska at Kearney",56,19797,"2014_15"
"Normal","Nebraska Methodist College of Nursing & Allied Health",66,24527,"2014_15"
"Normal","Midland University",48,37710,"2014_15"
"Normal","Nebraska Christian College of Hope International University",26,23481,"2014_15"
"Normal","University of Nebraska at Omaha",45,16710,"2014_15"
"Normal","Nebraska Wesleyan University",69,38668,"2014_15"
"Normal","University of Nebraska-Lincoln",67,21286,"2014_15"
"Normal","Peru State College",37,16439,"2014_15"
"Normal","College of Saint Mary",49,35927,"2014_15"
"Normal","Union College",49,31910,"2014_15"
"Normal","Wayne State College",49,15434,"2014_15"
"Normal","York College",37,26250,"2014_15"
"Normal","The Art Institute of Las Vegas",28,29462,"2014_15"
"Normal","University of Nevada-Las Vegas",39,17781,"2014_15"
"Normal","University of Nevada-Reno",55,20675,"2014_15"
"Normal","Sierra Nevada University",46,45859,"2014_15"
"Normal","Colby-Sawyer College",50,52655,"2014_15"
"Normal","Daniel Webster College",53,28612,"2014_15"
"Normal","Dartmouth College",95,63279,"2014_15"
"Normal","Franklin Pierce University",46,45898,"2014_15"
"Normal","New England College",36,45772,"2014_15"
"Normal","Southern New Hampshire University",50,40893,"2014_15"
"Normal","University of New Hampshire-Main Campus",76,29916,"2014_15"
"Normal","Keene State College",63,24692,"2014_15"
"Normal","University of New Hampshire at Manchester",47,21862,"2014_15"
"Normal","Plymouth State University",58,25668,"2014_15"
"Normal","Rivier University",51,41377,"2014_15"
"Normal","Saint Anselm College",75,49836,"2014_15"
"Normal","Granite State College",14,17719,"2014_15"
"Normal","Thomas More College of Liberal Arts",31,31400,"2014_15"
"Normal","Bloomfield College",32,39473,"2014_15"
"Normal","Caldwell University",62,39782,"2014_15"
"Normal","Centenary University",61,45141,"2014_15"
"Normal","Drew University",62,58700,"2014_15"
"Normal","Fairleigh Dickinson University-Metropolitan Campus",48,44292,"2014_15"
"Normal","Felician University",36,42675,"2014_15"
"Normal","Fairleigh Dickinson University-Florham Campus",56,52258,"2014_15"
"Normal","Georgian Court University",48,40068,"2014_15"
"Normal","Rowan University",67,25341,"2014_15"
"Normal","New Jersey City University",32,17010,"2014_15"
"Normal","Kean University",48,23295,"2014_15"
"Normal","Monmouth University",67,44041,"2014_15"
"Normal","Montclair State University",64,24451,"2014_15"
"Normal","New Jersey Institute of Technology",59,28225,"2014_15"
"Normal","Princeton University",97,57400,"2014_15"
"Normal","Rabbinical College of America",12,22000,"2014_15"
"Normal","Ramapo College of New Jersey",72,27561,"2014_15"
"Normal","Rider University",63,50389,"2014_15"
"Normal","Rutgers University-Camden",53,23651,"2014_15"
"Normal","Rutgers University-New Brunswick",81,28766,"2014_15"
"Normal","Rutgers University-Newark",66,22954,"2014_15"
"Normal","Saint Peter's University",53,43111,"2014_15"
"Normal","Seton Hall University",66,48457,"2014_15"
"Normal","Saint Elizabeth University",50,45841,"2014_15"
"Normal","Stevens Institute of Technology",82,59384,"2014_15"
"Normal","Stockton University",67,26132,"2014_15"
"Normal","Talmudical Academy-New Jersey",0,17700,"2014_15"
"Normal","The College of New Jersey",87,29303,"2014_15"
"Normal","William Paterson University of New Jersey",51,22017,"2014_15"
"Normal","Eastern New Mexico University-Main Campus",28,15405,"2014_15"
"Normal","Institute of American Indian and Alaska Native Culture and Arts Development",28,16272,"2014_15"
"Normal","New Mexico Highlands University",17,13786,"2014_15"
"Normal","New Mexico Institute of Mining and Technology",45,18762,"2014_15"
"Normal","University of New Mexico-Main Campus",48,17401,"2014_15"
"Normal","New Mexico State University-Main Campus",46,16863,"2014_15"
"Normal","Santa Fe University of Art and Design",21,43462,"2014_15"
"Normal","University of the Southwest",17,25380,"2014_15"
"Normal","Western New Mexico University",21,16661,"2014_15"
"Normal","Adelphi University",64,43006,"2014_15"
"Normal","Albany College of Pharmacy and Health Sciences",77,42325,"2014_15"
"Normal","Alfred University",55,39758,"2014_15"
"Normal","Bard College",75,62572,"2014_15"
"Normal","Barnard College",89,61171,"2014_15"
"Normal","Berkeley College-New York",30,36345,"2014_15"
"Normal","Beth Hatalmud Rabbinical College",8,16489,"2014_15"
"Normal","Canisius College",68,45339,"2014_15"
"Normal","Cazenovia College",55,43135,"2014_15"
"Normal","Central Yeshiva Tomchei Tmimim Lubavitz",22,22678,"2014_15"
"Normal","Clarkson University",71,57221,"2014_15"
"Normal","Colgate University",92,60050,"2014_15"
"Normal","Metropolitan College of New York",39,29594,"2014_15"
"Normal","Columbia University in the City of New York",95,64144,"2014_15"
"Normal","Concordia College",48,38419,"2014_15"
"Normal","Cooper Union for the Advancement of Science and Art",84,57429,"2014_15"
"Normal","Cornell University",93,61608,"2014_15"
"Normal","CUNY Bernard M Baruch College",66,15519,"2014_15"
"Normal","CUNY Brooklyn College",50,15117,"2014_15"
"Normal","College of Staten Island CUNY",27,16920,"2014_15"
"Normal","CUNY City College",44,14824,"2014_15"
"Normal","CUNY Hunter College",52,15198,"2014_15"
"Normal","CUNY John Jay College of Criminal Justice",39,13734,"2014_15"
"Normal","CUNY Lehman College",37,11863,"2014_15"
"Normal","CUNY Medgar Evers College",12,16113,"2014_15"
"Normal","CUNY New York City College of Technology",15,14720,"2014_15"
"Normal","CUNY Queens College",57,14465,"2014_15"
"Normal","CUNY York College",29,14329,"2014_15"
"Normal","D'Youville College",44,33178,"2014_15"
"Normal","Daemen College",47,34193,"2014_15"
"Normal","Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary",53,17600,"2014_15"
"Normal","Dominican College of Blauvelt",39,37205,"2014_15"
"Normal","Dowling College",35,40482,"2014_15"
"Normal","Elmira College",58,50722,"2014_15"
"Normal","Five Towns College",33,32498,"2014_15"
"Normal","Fordham University",80,59105,"2014_15"
"Normal","Hamilton College",91,59590,"2014_15"
"Normal","Hartwick College",57,50483,"2014_15"
"Normal","Hilbert College",48,26092,"2014_15"
"Normal","Hobart William Smith Colleges",79,59850,"2014_15"
"Normal","Hofstra University",60,51214,"2014_15"
"Normal","Houghton College",76,39545,"2014_15"
"Normal","Iona College",58,46329,"2014_15"
"Normal","Ithaca College",78,55515,"2014_15"
"Normal","Jewish Theological Seminary of America",78,58278,"2014_15"
"Normal","The Juilliard School",84,55640,"2014_15"
"Normal","Kehilath Yakov Rabbinical Seminary",71,13000,"2014_15"
"Normal","Keuka College",47,42881,"2014_15"
"Normal","LIM College",51,41784,"2014_15"
"Normal","Le Moyne College",72,42943,"2014_15"
"Normal","LIU Brooklyn",32,43649,"2014_15"
"Normal","Long Island University",41,46535,"2014_15"
"Normal","Machzikei Hadath Rabbinical College",25,21910,"2014_15"
"Normal","Manhattan College",75,48454,"2014_15"
"Normal","Manhattan School of Music",72,55403,"2014_15"
"Normal","Manhattanville College",61,49126,"2014_15"
"Normal","Marist College",78,47906,"2014_15"
"Normal","Marymount Manhattan College",44,47464,"2014_15"
"Normal","Medaille College",44,30744,"2014_15"
"Normal","Mercy College",29,26975,"2014_15"
"Normal","Mesivta Torah Vodaath Rabbinical Seminary",32,20176,"2014_15"
"Normal","Mesivtha Tifereth Jerusalem of America",19,14500,"2014_15"
"Normal","Mirrer Yeshiva Cent Institute",7,13209,"2014_15"
"Normal","Molloy College",70,38282,"2014_15"
"Normal","Mount Saint Mary College",59,39720,"2014_15"
"Normal","College of Mount Saint Vincent",57,40018,"2014_15"
"Normal","Nazareth College",76,43507,"2014_15"
"Normal","The College of New Rochelle",29,44483,"2014_15"
"Normal","The New School",60,57945,"2014_15"
"Normal","New York University",83,61958,"2014_15"
"Normal","Niagara University",64,40164,"2014_15"
"Normal","New York Institute of Technology",45,41830,"2014_15"
"Normal","Nyack College",42,35426,"2014_15"
"Normal","Pace University",55,53010,"2014_15"
"Normal","Paul Smiths College of Arts and Science",46,40021,"2014_15"
"Normal","Davis College",33,20802,"2014_15"
"Normal","Pratt Institute-Main",64,57783,"2014_15"
"Normal","Rabbinical Academy Mesivta Rabbi Chaim Berlin",48,18711,"2014_15"
"Normal","Rabbinical College Bobover Yeshiva Bnei Zion",83,14713,"2014_15"
"Normal","Rabbinical College of Ch'san Sofer New York",80,24313,"2014_15"
"Normal","Rabbinical College Beth Shraga",0,19850,"2014_15"
"Normal","Rabbinical Seminary of America",45,17800,"2014_15"
"Normal","Rensselaer Polytechnic Institute",82,61820,"2014_15"
"Normal","Roberts Wesleyan College",63,39746,"2014_15"
"Normal","Rochester Institute of Technology",63,47291,"2014_15"
"Normal","University of Rochester",84,61340,"2014_15"
"Normal","Russell Sage College",59,40869,"2014_15"
"Normal","St Bonaventure University",68,42234,"2014_15"
"Normal","St Francis College",55,27407,"2014_15"
"Normal","St Lawrence University",85,59550,"2014_15"
"Normal","The College of Saint Rose",66,41292,"2014_15"
"Normal","St. Thomas Aquinas College",57,37860,"2014_15"
"Normal","Sarah Lawrence College",77,64056,"2014_15"
"Normal","Sh'or Yoshuv Rabbinical College",65,18300,"2014_15"
"Normal","Siena College",80,47265,"2014_15"
"Normal","Skidmore College",87,60900,"2014_15"
"Normal","St. Joseph's College-New York",68,27542,"2014_15"
"Normal","Saint John Fisher College",72,40209,"2014_15"
"Normal","St. John's University-New York",59,51420,"2014_15"
"Normal","SUNY College of Agriculture and Technology at Cobleskill",36,21571,"2014_15"
"Normal","Farmingdale State College",45,14257,"2014_15"
"Normal","SUNY at Albany",66,21968,"2014_15"
"Normal","Binghamton University",81,22688,"2014_15"
"Normal","University at Buffalo",72,21996,"2014_15"
"Normal","Stony Brook University",69,21358,"2014_15"
"Normal","SUNY College of Environmental Science and Forestry",68,23671,"2014_15"
"Normal","SUNY Polytechnic Institute",43,20924,"2014_15"
"Normal","SUNY Brockport",68,20224,"2014_15"
"Normal","SUNY Buffalo State",45,18129,"2014_15"
"Normal","SUNY Cortland",67,22480,"2014_15"
"Normal","SUNY at Fredonia",67,21269,"2014_15"
"Normal","SUNY College at Geneseo",78,21589,"2014_15"
"Normal","State University of New York at New Paltz",74,20939,"2014_15"
"Normal","SUNY Oneonta",73,21555,"2014_15"
"Normal","SUNY College at Oswego",63,21673,"2014_15"
"Normal","SUNY College at Potsdam",54,20536,"2014_15"
"Normal","SUNY at Purchase College",67,23719,"2014_15"
"Normal","SUNY College at Old Westbury",37,15734,"2014_15"
"Normal","SUNY College at Plattsburgh",61,20791,"2014_15"
"Normal","SUNY Empire State College",19,19533,"2014_15"
"Normal","SUNY Maritime College",47,22429,"2014_15"
"Normal","Syracuse University",80,57450,"2014_15"
"Normal","Talmudical Seminary Oholei Torah",4,18249,"2014_15"
"Normal","Talmudical Institute of Upstate New York",33,13000,"2014_15"
"Normal","Torah Temimah Talmudical Seminary",2,16392,"2014_15"
"Normal","Touro College",41,31668,"2014_15"
"Normal","Union College",86,60042,"2014_15"
"Normal","United Talmudical Seminary",49,18203,"2014_15"
"Normal","United States Merchant Marine Academy",72,8988,"2014_15"
"Normal","Utica College",44,45579,"2014_15"
"Normal","Vassar College",92,61320,"2014_15"
"Normal","School of Visual Arts",66,50407,"2014_15"
"Normal","Wagner College",66,51751,"2014_15"
"Normal","Webb Institute",91,61820,"2014_15"
"Normal","Wells College",58,49800,"2014_15"
"Normal","Yeshiva Karlin Stolin",56,13025,"2014_15"
"Normal","Yeshiva Derech Chaim",12,17246,"2014_15"
"Normal","Yeshiva of Nitra Rabbinical College",17,15300,"2014_15"
"Normal","Yeshiva University",85,55075,"2014_15"
"Normal","Yeshivath Viznitz",95,16392,"2014_15"
"Normal","Yeshivath Zichron Moshe",17,18100,"2014_15"
"Normal","Appalachian State University",70,19017,"2014_15"
"Normal","Barton College",44,38209,"2014_15"
"Normal","Belmont Abbey College",38,31278,"2014_15"
"Normal","Bennett College",45,30549,"2014_15"
"Normal","Brevard College",43,36307,"2014_15"
"Normal","Campbell University",51,42061,"2014_15"
"Normal","Catawba College",52,39042,"2014_15"
"Normal","Chowan University",25,31573,"2014_15"
"Normal","Davidson College",93,57458,"2014_15"
"Normal","Duke University",95,61748,"2014_15"
"Normal","East Carolina University",59,20710,"2014_15"
"Normal","Elizabeth City State University",39,12305,"2014_15"
"Normal","Elon University",81,43388,"2014_15"
"Normal","Fayetteville State University",35,14366,"2014_15"
"Normal","Gardner-Webb University",54,37620,"2014_15"
"Normal","Greensboro College",37,38810,"2014_15"
"Normal","Guilford College",61,45395,"2014_15"
"Normal","Heritage Bible College",0,15332,"2014_15"
"Normal","High Point University",63,45350,"2014_15"
"Normal","John Wesley University",57,17410,"2014_15"
"Normal","Johnson C Smith University",44,31993,"2014_15"
"Normal","Lees-McRae College",38,38540,"2014_15"
"Normal","Lenoir-Rhyne University",54,41612,"2014_15"
"Normal","Livingstone College",24,25920,"2014_15"
"Normal","Mars Hill University",37,38086,"2014_15"
"Normal","Meredith College",62,40570,"2014_15"
"Normal","Methodist University",34,46685,"2014_15"
"Normal","Montreat College",37,35580,"2014_15"
"Normal","University of Mount Olive",42,26982,"2014_15"
"Normal","North Carolina A & T State University",48,18198,"2014_15"
"Normal","University of North Carolina at Asheville",64,18574,"2014_15"
"Normal","University of North Carolina at Chapel Hill",90,23978,"2014_15"
