"Color","University.Name","Completion.Rate..4.year.institutions","Average.Cost.per.Academic.Year","Year"
"Normal","Loyola Marymount University",78,57016,"2014_15"
"Normal","Marymount California University",37,46675,"2014_15"
"Normal","Menlo College",43,52454,"2014_15"
"Normal","Mills College",72,56336,"2014_15"
"Normal","Mount Saint Mary's University",66,48372,"2014_15"
"Normal","The National Hispanic University",31,19768,"2014_15"
"Normal","National University",40,26862,"2014_15"
"Normal","Newschool of Architecture and Design",40,39498,"2014_15"
"Normal","Notre Dame de Namur University",53,47565,"2014_15"
"Normal","Occidental College",85,63363,"2014_15"
"Normal","Otis College of Art and Design",63,53439,"2014_15"
"Normal","Hope International University",49,38119,"2014_15"
"Normal","Pacific Union College",46,39564,"2014_15"
"Normal","University of the Pacific",61,54032,"2014_15"
"Normal","Pepperdine University",84,61164,"2014_15"
"Normal","Pitzer College",84,61416,"2014_15"
"Normal","Point Loma Nazarene University",73,44198,"2014_15"
"Normal","Pomona College",93,59730,"2014_15"
"Normal","Westwood College-South Bay",26,29287,"2014_15"
"Normal","University of Redlands",69,57347,"2014_15"
"Normal","San Diego State University",66,20631,"2014_15"
"Normal","University of San Diego",77,57593,"2014_15"
"Normal","San Francisco Art Institute",33,58010,"2014_15"
"Normal","San Francisco Conservatory of Music",50,54430,"2014_15"
"Normal","San Francisco State University",50,19998,"2014_15"
"Normal","University of San Francisco",70,58039,"2014_15"
"Normal","William Jessup University",67,37335,"2014_15"
"Normal","San Jose State University",52,21112,"2014_15"
"Normal","Westwood College-Los Angeles",34,30487,"2014_15"
"Normal","Santa Clara University",85,59020,"2014_15"
"Normal","Scripps College",87,61370,"2014_15"
"Normal","Shasta Bible College and Graduate School",38,20493,"2014_15"
"Normal","Simpson University",52,35070,"2014_15"
"Normal","Saint Mary's College of California",69,58362,"2014_15"
"Normal","Sonoma State University",55,22604,"2014_15"
"Normal","Vanguard University of Southern California",55,42756,"2014_15"
"Normal","Southern California Institute of Architecture",72,58142,"2014_15"
"Normal","University of Southern California",91,62092,"2014_15"
"Normal","Thomas Aquinas College",72,35716,"2014_15"
"Normal","Epic Bible College",50,24963,"2014_15"
"Normal","Walden University",33,30930,"2014_15"
"Normal","Westmont College",78,53670,"2014_15"
"Normal","Whittier College",65,50361,"2014_15"
"Normal","Woodbury University",42,44211,"2014_15"
"Normal","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary",38,24850,"2014_15"
"Normal","Adams State University",21,19043,"2014_15"
"Normal","University of Colorado Denver/Anschutz Medical Campus",40,19096,"2014_15"
"Normal","University of Colorado Colorado Springs",47,18890,"2014_15"
"Normal","University of Colorado Boulder",70,28887,"2014_15"
"Normal","Colorado Christian University",42,38130,"2014_15"
"Normal","Colorado College",86,57400,"2014_15"
"Normal","The Art Institute of Colorado",28,30736,"2014_15"
"Normal","Colorado School of Mines",76,30154,"2014_15"
"Normal","Colorado State University-Fort Collins",65,22929,"2014_15"
"Normal","Colorado Technical University-Colorado Springs",28,23765,"2014_15"
"Normal","University of Denver",76,55476,"2014_15"
"Normal","Fort Lewis College",38,21691,"2014_15"
"Normal","Colorado Mesa University",33,18169,"2014_15"
"Normal","Metropolitan State University of Denver",24,14522,"2014_15"
"Normal","Naropa University",39,43638,"2014_15"
"Normal","National American University-Colorado Springs",9,19350,"2014_15"
"Normal","Nazarene Bible College",17,20430,"2014_15"
"Normal","University of Northern Colorado",46,19187,"2014_15"
"Normal","Regis University",61,44191,"2014_15"
"Normal","Rocky Mountain College of Art and Design",48,33945,"2014_15"
"Normal","Colorado State University Pueblo",32,17795,"2014_15"
"Normal","Western Colorado University",36,19547,"2014_15"
"Normal","Albertus Magnus College",50,42641,"2014_15"
"Normal","University of Bridgeport",30,46680,"2014_15"
"Normal","Central Connecticut State University",52,20543,"2014_15"
"Normal","Connecticut College",83,60682,"2014_15"
"Normal","University of Connecticut",81,26966,"2014_15"
"Normal","Eastern Connecticut State University",56,23717,"2014_15"
"Normal","Fairfield University",80,57966,"2014_15"
"Normal","University of Hartford",53,47114,"2014_15"
"Normal","Lyme Academy College of Fine Arts",82,39873,"2014_15"
"Normal","Mitchell College",46,44994,"2014_15"
"Normal","University of New Haven",50,49390,"2014_15"
"Normal","Paier College of Art Inc",62,18510,"2014_15"
"Normal","Post University",26,34350,"2014_15"
"Normal","Quinnipiac University",76,55265,"2014_15"
"Normal","Sacred Heart University",67,52550,"2014_15"
"Normal","University of Saint Joseph",51,46088,"2014_15"
"Normal","Southern Connecticut State University",53,19704,"2014_15"
"Normal","Trinity College",84,62310,"2014_15"
"Normal","Wesleyan University",93,62849,"2014_15"
"Normal","Western Connecticut State University",43,22558,"2014_15"
"Normal","Yale University",96,61620,"2014_15"
"Normal","Delaware State University",43,20587,"2014_15"
"Normal","University of Delaware",79,23357,"2014_15"
"Normal","Goldey-Beacom College",47,33225,"2014_15"
"Normal","Wesley College",22,37617,"2014_15"
"Normal","Wilmington University",35,17043,"2014_15"
"Normal","American University",82,56620,"2014_15"
"Normal","The Catholic University of America",67,55995,"2014_15"
"Normal","University of the District of Columbia",13,21149,"2014_15"
"Normal","Gallaudet University",46,31988,"2014_15"
"Normal","George Washington University",79,61394,"2014_15"
"Single","Georgetown University",95,62179,"2014_15"
"Normal","Howard University",60,41643,"2014_15"
"Normal","Strayer University-District of Columbia",26,32064,"2014_15"
"Normal","Trinity Washington University",45,30725,"2014_15"
"Normal","The Baptist College of Florida",47,16788,"2014_15"
"Normal","Barry University",36,43885,"2014_15"
"Normal","Bethune-Cookman University",50,27130,"2014_15"
"Normal","Lynn University",40,49535,"2014_15"
"Normal","Albizu University-Miami",50,30878,"2014_15"
"Normal","Johnson University Florida",35,20568,"2014_15"
"Normal","University of Central Florida",70,19752,"2014_15"
"Normal","Clearwater Christian College",50,28527,"2014_15"
"Normal","South University-West Palm Beach",7,27546,"2014_15"
"Normal","Eckerd College",66,51708,"2014_15"
"Normal","Edward Waters College",20,23235,"2014_15"
"Normal","Embry-Riddle Aeronautical University-Daytona Beach",52,46614,"2014_15"
"Normal","Florida Agricultural and Mechanical University",40,19395,"2014_15"
"Normal","Florida Atlantic University",46,19310,"2014_15"
"Normal","Flagler College",58,29138,"2014_15"
"Normal","AdventHealth University",35,21994,"2014_15"
"Normal","Florida Institute of Technology",55,51312,"2014_15"
"Normal","Florida International University",54,18784,"2014_15"
"Normal","Florida Memorial University",39,25090,"2014_15"
"Normal","Florida Southern College",65,40347,"2014_15"
"Normal","Florida State University",79,21408,"2014_15"
"Normal","University of Florida",88,20085,"2014_15"
"Normal","Full Sail University",55,37072,"2014_15"
"Normal","Hobe Sound Bible College",69,12111,"2014_15"
"Normal","Sanford-Brown College-Tampa",33,24036,"2014_15"
"Normal","AI Miami International University of Art and Design",34,29975,"2014_15"
"Normal","Jacksonville University",41,42630,"2014_15"
"Normal","Luther Rice College & Seminary",0,21042,"2014_15"
"Normal","University of Miami",81,59850,"2014_15"
"Normal","University of North Florida",55,20102,"2014_15"
"Normal","Northwood University-Florida",28,35049,"2014_15"
"Normal","Nova Southeastern University",46,42261,"2014_15"
"Normal","Palm Beach Atlantic University",55,38513,"2014_15"
"Normal","Ringling College of Art and Design",66,55704,"2014_15"
"Normal","Rollins College",71,57686,"2014_15"
"Normal","Saint Leo University",45,33355,"2014_15"
"Normal","Argosy University-Sarasota",67,25063,"2014_15"
"Normal","St. John Vianney College Seminary",44,37300,"2014_15"
"Normal","University of South Florida",67,19306,"2014_15"
"Normal","St. Thomas University",33,40271,"2014_15"
"Normal","Stetson University",61,52355,"2014_15"
"Normal","Southeastern University",42,31855,"2014_15"
"Normal","Talmudic College of Florida",80,23900,"2014_15"
"Normal","The University of Tampa",62,38635,"2014_15"
"Normal","Trinity Baptist College",41,17757,"2014_15"
"Normal","Trinity College of Florida",32,23818,"2014_15"
"Normal","Warner University",38,29323,"2014_15"
"Normal","Webber International University",30,36402,"2014_15"
"Normal","The University of West Florida",51,17697,"2014_15"
"Normal","Agnes Scott College",73,46124,"2014_15"
"Normal","Albany State University",40,18488,"2014_15"
"Normal","Armstrong State University",30,19983,"2014_15"
"Normal","The Art Institute of Atlanta",22,31940,"2014_15"
"Normal","Point University",37,27053,"2014_15"
"Normal","Clark Atlanta University",41,35471,"2014_15"
"Normal","Berry College",62,43283,"2014_15"
"Normal","Beulah Heights University",21,15229,"2014_15"
"Normal","Brenau University",47,35745,"2014_15"
"Normal","Brewton-Parker College",18,24104,"2014_15"
"Normal","Carver Bible College",6,15702,"2014_15"
"Normal","Clayton  State University",33,17292,"2014_15"
"Normal","Columbus State University",32,17329,"2014_15"
"Normal","Covenant College",57,40235,"2014_15"
"Normal","Emmanuel College",45,26177,"2014_15"
"Normal","Emory University",89,59908,"2014_15"
"Normal","Fort Valley State University",32,20479,"2014_15"
"Single","Georgia Institute of Technology-Main Campus",82,23216,"2014_15"
"Normal","Georgia Southwestern State University",32,18420,"2014_15"
"Normal","Georgia College & State University",61,23731,"2014_15"
"Normal","Georgia Southern University",51,21932,"2014_15"
"Normal","Georgia State University",53,24377,"2014_15"
"Normal","University of Georgia",85,21981,"2014_15"
"Normal","Kennesaw State University",43,21945,"2014_15"
"Normal","LaGrange College",53,39472,"2014_15"
"Normal","Life University",28,27600,"2014_15"
"Normal","Herzing University-Atlanta",21,25228,"2014_15"
"Normal","Mercer University",63,47379,"2014_15"
"Normal","Morehouse College",53,46258,"2014_15"
"Normal","Oglethorpe University",51,45158,"2014_15"
"Normal","Paine College",18,22884,"2014_15"
"Normal","Piedmont University",50,32397,"2014_15"
"Normal","Reinhardt University",38,32794,"2014_15"
"Normal","Savannah College of Art and Design",65,50774,"2014_15"
"Normal","Savannah State University",28,15929,"2014_15"
"Normal","Shorter University",45,32664,"2014_15"
"Normal","Spelman College",74,42739,"2014_15"
"Normal","Southern Polytechnic State University",35,17894,"2014_15"
"Normal","Thomas University",19,25034,"2014_15"
"Normal","Toccoa Falls College",52,31415,"2014_15"
"Normal","Truett McConnell University",22,27467,"2014_15"
"Normal","Valdosta State University",39,19838,"2014_15"
"Normal","Wesleyan College",48,30647,"2014_15"
"Normal","University of West Georgia",41,20310,"2014_15"
"Normal","Young Harris College",46,35833,"2014_15"
"Normal","Chaminade University of Honolulu",49,31860,"2014_15"
"Normal","University of Hawaii at Hilo",38,16372,"2014_15"
"Normal","University of Hawaii at Manoa",56,19106,"2014_15"
"Normal","Hawaii Pacific University",42,32448,"2014_15"
"Normal","University of Hawaii-West Oahu",40,11521,"2014_15"
"Normal","Boise Bible College",42,24678,"2014_15"
"Normal","Boise State University",36,18651,"2014_15"
"Normal","Idaho State University",33,19089,"2014_15"
"Normal","University of Idaho",58,19381,"2014_15"
"Normal","The College of Idaho",60,35456,"2014_15"
"Normal","Lewis-Clark State College",27,16517,"2014_15"
"Normal","Northwest Nazarene University",52,35655,"2014_15"
"Normal","Brigham Young University-Idaho",56,11139,"2014_15"
"Normal","American Academy of Art",51,33928,"2014_15"
"Normal","School of the Art Institute of Chicago",57,57361,"2014_15"
"Normal","Augustana College",74,46882,"2014_15"
"Normal","Aurora University",58,31767,"2014_15"
"Normal","Blackburn College",39,25292,"2014_15"
"Normal","Bradley University",74,42090,"2014_15"
"Normal","Chicago State University",19,19120,"2014_15"
"Normal","University of Chicago",93,64988,"2014_15"
"Normal","Columbia College Chicago",43,39109,"2014_15"
"Normal","Concordia University-Chicago",58,36468,"2014_15"
"Normal","DePaul University",71,48173,"2014_15"
"Normal","East-West University",10,32738,"2014_15"
"Normal","Eastern Illinois University",59,23811,"2014_15"
"Normal","Elmhurst University",74,44143,"2014_15"
"Normal","Eureka College",53,28945,"2014_15"
"Normal","Greenville University",48,34512,"2014_15"
"Normal","Harrington College of Design",42,29317,"2014_15"
"Normal","Hebrew Theological College",6,34558,"2014_15"
"Normal","University of Illinois Chicago",60,25146,"2014_15"
"Normal","Benedictine University",51,35143,"2014_15"
"Normal","University of Illinois Urbana-Champaign",84,29086,"2014_15"
"Normal","Illinois Wesleyan University",81,50324,"2014_15"
"Normal","Illinois College",75,38644,"2014_15"
"Normal","Illinois Institute of Technology",65,51572,"2014_15"
"Normal","Argosy University-Chicago",47,24616,"2014_15"
"Normal","Illinois State University",72,26259,"2014_15"
"Normal","Sanford-Brown College-Chicago",16,22244,"2014_15"
"Normal","Judson University",50,39014,"2014_15"
"Normal","Kendall College",30,40643,"2014_15"
"Normal","Knox College",80,49190,"2014_15"
"Normal","Lake Forest College",73,51631,"2014_15"
"Normal","Lewis University",62,34901,"2014_15"
"Normal","Lincoln Christian University",57,26434,"2014_15"
"Normal","Loyola University Chicago",73,48958,"2014_15"
"Normal","MacMurray College",29,31846,"2014_15"
"Normal","McKendree University",56,37845,"2014_15"
"Normal","Millikin University",61,39472,"2014_15"
"Normal","Monmouth College",56,42027,"2014_15"
