"Year","University.Name","University.City","University.State","Admission.Rate","SAT.Average","SAT.Reading.Mid","SAT.Math.Mid","ACT.Cumulative.Average","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","In.State.Tuition.and.Fees","Out.of.State.Tuition.and.Fees","Completion.Rate..4.year.institutions","Color"
"2014_15","University of Arkansas","Fayetteville","AR",62.04,1155,555,565,26,21405,20350,8210,20300,0.62,"Normal"
"2014_15","University of Arkansas at Pine Bluff","Pine Bluff","AR",38.68,886,410,427,19,2391,15409,6178,11908,0.27,"Normal"
"2014_15","Arkansas State University","Jonesboro","AR",72.39,1088,460,520,24,9139,19359,7720,13480,0.39,"Normal"
"2014_15","Arkansas Tech University","Russellville","AR",86.26,1010,495,535,22,8845,16518,5862,10878,0.45,"Normal"
"2014_15","University of Central Arkansas","Conway","AR",94.26,1049,490,515,23,9232,18354,7889,13806,0.45,"Normal"
"2014_15","Central Baptist College","Conway","AR",56.97,985,445,500,21,788,21616,13800,13800,0.32,"Normal"
"2014_15","Harding University","Searcy","AR",99.12,1131,545,540,25,4485,26364,17040,17040,0.63,"Normal"
"2014_15","Henderson State University","Arkadelphia","AR",62.78,989,485,495,21,3226,18679,7860,14220,0.36,"Normal"
"2014_15","Hendrix College","Conway","AR",82.82,1244,600,600,28,1322,52536,39290,39290,0.73,"Normal"
"2014_15","John Brown University","Siloam Springs","AR",69.78,NA,NA,NA,NA,1742,34776,23588,23588,0.61,"Normal"
"2014_15","Ouachita Baptist University","Arkadelphia","AR",70.61,1112,525,540,25,1455,32560,23320,23320,0.58,"Normal"
"2014_15","University of the Ozarks","Clarksville","AR",88.92,1061,495,520,23,579,35438,24470,24470,0.48,"Normal"
"2014_15","Philander Smith College","Little Rock","AR",NA,NA,NA,NA,NA,565,25061,12564,12564,0.39,"Normal"
"2014_15","Williams Baptist University","Walnut Ridge","AR",70.49,983,425,495,21,508,23161,14360,14360,0.41,"Normal"
"2014_15","Southern Arkansas University Main Campus","Magnolia","AR",71.42,989,475,490,21,2784,18887,7736,11186,0.31,"Normal"
"2014_15","University of Arkansas-Fort Smith","Fort Smith","AR",56.29,NA,NA,NA,NA,5990,13983,4727,10511,0.26,"Normal"
"2014_15","Academy of Art University","San Francisco","CA",NA,NA,NA,NA,NA,9885,35919,19740,19740,0.31,"Normal"
"2014_15","Art Center College of Design","Pasadena","CA",80.9,NA,NA,NA,NA,1814,57738,37830,37830,0.67,"Normal"
"2014_15","Azusa Pacific University","Azusa","CA",81.83,1037,515,515,23,5918,45472,33096,33096,0.67,"Normal"
"2014_15","Bethesda University","Anaheim","CA",66.86,NA,NA,NA,NA,261,13885,9120,9120,0.75,"Normal"
"2014_15","Biola University","La Mirada","CA",75.4,1122,555,555,25,4364,46162,33322,33322,0.69,"Normal"
"2014_15","Brooks Institute","Ventura","CA",99.12,NA,NA,NA,NA,415,32323,20112,20112,0.56,"Normal"
"2014_15","California Institute of Integral Studies","San Francisco","CA",NA,NA,NA,NA,NA,104,NA,NA,NA,NA,"Normal"
"2014_15","California Baptist University","Riverside","CA",79.61,976,485,485,21,6435,39523,29422,29422,0.55,"Normal"
"2014_15","California College of the Arts","San Francisco","CA",63.69,NA,NA,NA,NA,1512,55398,41942,41942,0.54,"Normal"
"2014_15","California Institute of Technology","Pasadena","CA",8.83,1545,765,785,35,983,58755,43362,43362,0.92,"Normal"
"2014_15","California Lutheran University","Thousand Oaks","CA",60.97,1109,550,550,25,2799,50425,37140,37140,0.66,"Normal"
"2014_15","California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA",30.89,1234,595,630,28,19177,24218,8918,20078,0.75,"Normal"
"2014_15","California State University-Bakersfield","Bakersfield","CA",70.6,NA,NA,NA,NA,7523,15975,6792,17952,0.41,"Normal"
"2014_15","California State University-Stanislaus","Turlock","CA",72.72,NA,NA,NA,NA,7844,16190,6686,17846,0.53,"Normal"
"2014_15","California State University-San Bernardino","San Bernardino","CA",84.45,884,440,450,18,16439,16206,6550,17710,0.48,"Normal"
"2014_15","California State Polytechnic University-Pomona","Pomona","CA",51.87,1074,515,555,24,22269,19042,6904,18064,0.56,"Normal"
"2014_15","California State University-Chico","Chico","CA",70.96,996,495,495,22,15842,21715,7002,18162,0.59,"Normal"
"2014_15","California State University-Dominguez Hills","Carson","CA",42.34,NA,NA,NA,NA,12199,12399,6139,17299,0.32,"Normal"
"2014_15","California State University-Fresno","Fresno","CA",59.4,910,450,460,19,20128,16316,6299,17459,0.52,"Normal"
"2014_15","California State University-Fullerton","Fullerton","CA",44.47,1021,500,525,22,32610,15627,6315,17475,0.56,"Normal"
"2014_15","California State University-East Bay","Hayward","CA",70.31,NA,NA,NA,NA,12275,19793,6564,17724,0.38,"Normal"
"2014_15","California State University-Long Beach","Long Beach","CA",35.46,1054,515,540,23,31493,17779,6452,17612,0.65,"Normal"
"2014_15","California State University-Los Angeles","Los Angeles","CA",61.07,871,435,445,18,20643,13479,6348,17508,0.41,"Normal"
"2014_15","California State University-Northridge","Northridge","CA",52.86,914,455,460,19,35409,18665,6549,17709,0.47,"Normal"
"2014_15","California State University-Sacramento","Sacramento","CA",72.65,937,465,475,20,26400,18241,6648,17808,0.44,"Normal"
"2014_15","University of California-Berkeley","Berkeley","CA",16.02,1382,665,705,32,27126,33020,12972,35850,0.91,"Normal"
"2014_15","University of California-Davis","Davis","CA",40.37,1226,575,630,28,27547,32638,13896,36774,0.83,"Normal"
"2014_15","University of California-Irvine","Irvine","CA",37.42,1168,540,620,26,24474,29759,13179,36057,0.86,"Normal"
"2014_15","University of California-Los Angeles","Los Angeles","CA",18.56,1330,645,680,30,29627,32074,12705,35583,0.91,"Normal"
"2014_15","University of California-Riverside","Riverside","CA",58.29,1128,545,585,25,18784,30174,13407,36285,0.69,"Normal"
"2014_15","University of California-San Diego","La Jolla","CA",33.29,1313,615,695,30,24801,30092,13427,36305,0.86,"Normal"
"2014_15","University of California-Santa Barbara","Santa Barbara","CA",36.34,1253,595,640,29,20237,33826,13865,36743,0.81,"Normal"
"2014_15","University of California-Santa Cruz","Santa Cruz","CA",55.72,1149,550,580,26,16277,33036,13397,36275,0.77,"Normal"
"2014_15","California Institute of the Arts","Valencia","CA",24.42,NA,NA,NA,NA,946,57704,42260,42260,0.7,"Normal"
"2014_15","California State University Maritime Academy","Vallejo","CA",66.7,NA,NA,NA,NA,1047,21102,6536,17696,0.54,"Normal"
"2014_15","Chapman University","Orange","CA",47.04,1210,595,605,27,6211,58948,45393,45393,0.74,"Normal"
