"Year","University.Name","University.City","University.State","Admission.Rate","SAT.Average","SAT.Reading.Mid","SAT.Math.Mid","ACT.Cumulative.Average","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","In.State.Tuition.and.Fees","Out.of.State.Tuition.and.Fees","Completion.Rate..4.year.institutions","Color"
"2014_15","Saint Catharine College","Saint Catharine","KY",NA,NA,NA,NA,NA,592,34371,18926,18926,0.31,"Normal"
"2014_15","The Southern Baptist Theological Seminary","Louisville","KY",64.89,NA,NA,NA,NA,685,NA,16292,16292,0.43,"Normal"
"2014_15","Spalding University","Louisville","KY",45.71,967,490,440,21,1227,32509,22950,22950,0.38,"Normal"
"2014_15","Thomas More University","Crestview Hills","KY",93.28,982,465,475,21,1243,37459,28743,28743,0.46,"Normal"
"2014_15","Transylvania University","Lexington","KY",82.62,1230,575,595,28,1014,43304,33360,33360,0.7,"Normal"
"2014_15","Union College","Barbourville","KY",75.23,970,NA,NA,21,833,31709,22980,22980,0.32,"Normal"
"2014_15","Western Kentucky University","Bowling Green","KY",93.32,1047,500,505,23,15388,17493,9140,23352,0.44,"Normal"
"2014_15","Centenary College of Louisiana","Shreveport","LA",65.67,1109,530,520,25,548,44596,33500,33500,0.52,"Normal"
"2014_15","Dillard University","New Orleans","LA",40.59,886,440,430,19,1200,26606,16252,16252,0.36,"Normal"
"2014_15","Grambling State University","Grambling","LA",43.95,868,420,440,18,3520,21692,6525,15744,0.3,"Normal"
"2014_15","Louisiana State University Health Sciences Center-New Orleans","New Orleans","LA",NA,NA,NA,NA,NA,911,NA,NA,NA,NA,"Normal"
"2014_15","Louisiana State University-Alexandria","Alexandria","LA",54.55,987,455,485,21,2244,15182,6009,12868,0.21,"Normal"
"2014_15","Louisiana State University and Agricultural & Mechanical College","Baton Rouge","LA",76.63,1161,550,570,26,24452,21846,8750,26467,0.67,"Normal"
"2014_15","Louisiana State University-Shreveport","Shreveport","LA",76.67,1050,NA,490,23,2640,15753,6168,6168,0.31,"Normal"
"2014_15","Louisiana College","Pineville","LA",61.06,990,NA,NA,21,957,22060,14570,14570,0.47,"Normal"
"2014_15","Louisiana Tech University","Ruston","LA",65.03,1104,520,550,24,7272,17862,8052,22635,0.52,"Normal"
"2014_15","Loyola University New Orleans","New Orleans","LA",90.25,1135,575,545,25,2734,49791,36630,36630,0.62,"Normal"
"2014_15","McNeese State University","Lake Charles","LA",75.27,1030,495,540,22,6597,15951,6334,17404,0.41,"Normal"
"2014_15","University of New Orleans","New Orleans","LA",43.57,1082,565,585,23,6742,16889,7392,21002,0.34,"Normal"
"2014_15","Nicholls State University","Thibodaux","LA",88.37,1031,500,555,22,5513,16954,7234,17481,0.4,"Normal"
"2014_15","University of Louisiana at Monroe","Monroe","LA",77.22,1030,NA,555,22,5799,16310,6963,19121,0.4,"Normal"
"2014_15","Northwestern State University of Louisiana","Natchitoches","LA",72.98,1027,490,500,22,6828,17659,6863,17651,0.38,"Normal"
"2014_15","University of Holy Cross","New Orleans","LA",56.18,NA,NA,NA,NA,846,15775,10310,10310,0.29,"Normal"
"2014_15","Saint Joseph Seminary College","St. Benedict","LA",NA,NA,NA,NA,NA,126,32125,16598,16598,1,"Normal"
"2014_15","Southeastern Louisiana University","Hammond","LA",83.73,1030,NA,NA,22,11199,16136,6547,19111,0.37,"Normal"
"2014_15","Southern University and A & M College","Baton Rouge","LA",53.65,910,NA,470,19,5133,18882,6630,8274,0.32,"Normal"
"2014_15","Southern University at New Orleans","New Orleans","LA",20.7,806,445,390,17,1658,10300,5218,6517,0.12,"Normal"
"2014_15","University of Louisiana at Lafayette","Lafayette","LA",55.8,1070,530,540,23,14667,16112,6872,19272,0.48,"Normal"
"2014_15","Tulane University of Louisiana","New Orleans","LA",27.95,1342,660,660,31,7892,61055,48305,48305,0.83,"Normal"
"2014_15","Xavier University of Louisiana","New Orleans","LA",65.99,1039,500,505,23,2313,29988,21552,21552,0.44,"Normal"
"2014_15","College of the Atlantic","Bar Harbor","ME",71.1,NA,NA,NA,NA,365,49890,40491,40491,0.71,"Normal"
"2014_15","Bates College","Lewiston","ME",25.42,NA,NA,NA,NA,1773,61000,47030,47030,0.88,"Normal"
"2014_15","Bowdoin College","Brunswick","ME",14.91,NA,NA,NA,NA,1797,59900,46808,46808,0.93,"Normal"
"2014_15","Colby College","Waterville","ME",28.05,1333,660,670,30,1847,59110,47350,47350,0.9,"Normal"
"2014_15","Husson University","Bangor","ME",71.95,951,475,480,19,2292,25620,16097,16097,0.42,"Normal"
"2014_15","University of Maine at Augusta","Augusta","ME",NA,NA,NA,NA,NA,4094,14469,7448,16688,0.11,"Normal"
"2014_15","University of Maine at Farmington","Farmington","ME",84.55,NA,NA,NA,NA,1738,20989,9217,18305,0.54,"Normal"
"2014_15","University of Maine at Fort Kent","Fort Kent","ME",74.61,899,450,450,18,956,17932,7575,10875,0.5,"Normal"
"2014_15","University of Maine at Machias","Machias","ME",NA,NA,NA,NA,NA,574,17503,7490,19370,0.31,"Normal"
"2014_15","University of Maine","Orono","ME",82.57,1078,535,540,24,8682,22193,10606,28486,0.6,"Normal"
"2014_15","Maine Maritime Academy","Castine","ME",78.63,1024,500,525,22,1031,23940,12400,24040,0.7,"Normal"
"2014_15","University of Maine at Presque Isle","Presque Isle","ME",NA,NA,NA,NA,NA,847,16437,7300,10600,0.43,"Normal"
"2014_15","University of New England","Biddeford","ME",85.68,1073,530,535,24,2217,49671,34080,34080,0.57,"Normal"
"2014_15","Maine College of Art","Portland","ME",97.33,NA,NA,NA,NA,420,44429,31670,31670,0.46,"Normal"
"2014_15","Saint Joseph's College of Maine","Standish","ME",78.53,965,480,485,NA,1817,44825,31920,31920,0.63,"Normal"
"2014_15","University of Southern Maine","Portland","ME",83.95,998,500,495,22,5783,22083,7796,18508,0.32,"Normal"
"2014_15","Thomas College","Waterville","ME",74.28,NA,NA,NA,NA,851,34202,23460,23460,0.43,"Normal"
"2014_15","Unity College","Unity","ME",93.1,NA,NA,NA,NA,585,35580,25820,25820,0.6,"Normal"
"2014_15","University of Baltimore","Baltimore","MD",62.04,920,470,450,NA,3444,21225,8018,18396,0.43,"Normal"
"2014_15","Bowie State University","Bowie","MD",55.06,867,445,430,17,4401,19456,7299,17875,0.33,"Normal"
"2014_15","Capitol Technology University","Laurel","MD",70.5,1075,530,570,21,406,31864,22896,22896,0.41,"Normal"
"2014_15","Washington Adventist University","Takoma Park","MD",44.92,854,420,420,20,790,29547,21395,21395,0.4,"Normal"
"2014_15","Coppin State University","Baltimore","MD",43.12,880,435,445,NA,2652,15837,6624,11885,0.18,"Normal"
"2014_15","Frostburg State University","Frostburg","MD",58.51,967,490,485,20,4765,20046,7982,19274,0.49,"Normal"
"2014_15","Goucher College","Baltimore","MD",75.69,NA,NA,NA,NA,1463,52462,40558,40558,0.64,"Normal"
"2014_15","Hood College","Frederick","MD",80.69,NA,NA,NA,NA,1330,46747,34120,34120,0.71,"Normal"
"2014_15","Johns Hopkins University","Baltimore","MD",16.08,1439,705,730,33,6039,61481,47060,47060,0.93,"Normal"
"2014_15","Loyola University Maryland","Baltimore","MD",59.63,NA,NA,NA,NA,4062,57775,44090,44090,0.82,"Normal"
"2014_15","University of Maryland Global Campus","Adelphi","MD",NA,NA,NA,NA,NA,33892,13525,6744,12336,0.08,"Normal"
"2014_15","University of Maryland Baltimore","Baltimore","MD",NA,NA,NA,NA,NA,786,NA,NA,NA,NA,"Normal"
"2014_15","University of Maryland-Baltimore County","Baltimore","MD",59.61,1213,590,620,27,11274,21941,10384,22682,0.61,"Normal"
"2014_15","University of Maryland-College Park","College Park","MD",47.93,1315,640,675,NA,26532,23258,9427,29720,0.85,"Normal"
"2014_15","Maryland Institute College of Art","Baltimore","MD",54.16,1165,595,570,NA,1907,54684,42390,42390,0.72,"Normal"
"2014_15","University of Maryland Eastern Shore","Princess Anne","MD",61.27,842,430,415,17,3441,21472,7287,16311,0.37,"Normal"
"2014_15","Morgan State University","Baltimore","MD",65.25,874,440,440,18,6239,21666,7378,16862,0.32,"Normal"
"2014_15","Mount St. Mary's University","Emmitsburg","MD",66.87,1048,530,520,22,1806,48273,36021,36021,0.64,"Normal"
"2014_15","Ner Israel Rabbinical College","Baltimore","MD",77.94,NA,NA,NA,NA,305,20850,10300,10300,0.39,"Normal"
"2014_15","Notre Dame of Maryland University","Baltimore","MD",49.46,1048,520,515,25,1153,42859,33010,33010,0.58,"Normal"
"2014_15","Salisbury University","Salisbury","MD",54.69,NA,NA,NA,NA,7782,21784,8560,16906,0.66,"Normal"
"2014_15","St. Mary's College of Maryland","St. Mary's City","MD",78.87,1188,612,582,26,1668,29172,13824,28674,0.81,"Normal"
"2014_15","Sojourner-Douglass College","Baltimore","MD",NA,NA,NA,NA,NA,659,27030,9830,9830,0.25,"Normal"
"2014_15","St. John's College","Annapolis","MD",86.96,1323,700,625,30,429,58321,47726,47726,0.72,"Normal"
"2014_15","Towson University","Towson","MD",59.21,1082,540,545,23,18546,21973,8590,20268,0.68,"Normal"
"2014_15","United States Naval Academy","Annapolis","MD",7.94,1285,625,660,NA,4511,NA,NA,NA,0.89,"Normal"
"2014_15","Stevenson University","Stevenson","MD",62.31,990,495,500,21,3778,41569,28980,28980,0.63,"Normal"
"2014_15","Washington College","Chestertown","MD",55.66,NA,NA,NA,NA,1408,54067,42592,42592,0.74,"Normal"
"2014_15","McDaniel College","Westminster","MD",76.13,1094,545,545,24,1649,47966,38350,38350,0.68,"Normal"
"2014_15","New England College of Business and Finance","Boston","MA",NA,NA,NA,NA,NA,690,14302,10525,10525,NA,"Normal"
"2014_15","American International College","Springfield","MA",67.57,887,438,443,20,1473,42762,30940,30940,0.38,"Normal"
"2014_15","Amherst College","Amherst","MA",13.84,1439,724,725,32,1792,61544,48526,48526,0.94,"Normal"
"2014_15","Anna Maria College","Paxton","MA",77.57,NA,NA,NA,NA,1107,45599,34060,34060,0.4,"Normal"
"2014_15","Assumption University","Worcester","MA",81.3,NA,NA,NA,NA,2193,47428,36160,36160,0.7,"Normal"
"2014_15","Babson College","Wellesley","MA",26.31,1272,615,660,28,2107,60494,45120,45120,0.9,"Normal"
"2014_15","Boston Baptist College","Boston","MA",73.91,875,460,415,NA,73,31371,14836,14836,0.42,"Normal"
"2014_15","Bay Path University","Longmeadow","MA",63.05,951,482,470,20,1574,41344,30859,30859,0.63,"Normal"
"2014_15","Becker College","Worcester","MA",62.47,1015,505,500,23,1975,45609,32870,32870,0.31,"Normal"
"2014_15","Bentley University","Waltham","MA",46.11,1247,590,650,28,4190,56768,42511,42511,0.88,"Normal"
"2014_15","Berklee College of Music","Boston","MA",40.38,NA,NA,NA,NA,4743,58249,38910,38910,0.49,"Normal"
"2014_15","Boston Architectural College","Boston","MA",NA,NA,NA,NA,NA,352,37970,19706,19706,0.1,"Normal"
"2014_15","Boston College","Chestnut Hill","MA",33.91,1380,675,690,32,9483,60690,47436,47436,0.91,"Normal"
"2014_15","The Boston Conservatory","Boston","MA",39.04,NA,NA,NA,NA,505,60057,42326,42326,0.66,"Normal"
"2014_15","Boston University","Boston","MA",34.51,1300,625,675,29,16457,61396,46664,46664,0.85,"Normal"
"2014_15","Brandeis University","Waltham","MA",35.22,1369,650,715,31,3715,61023,47558,47558,0.91,"Normal"
"2014_15","Bridgewater State University","Bridgewater","MA",79.31,991,490,500,22,9500,19877,8353,14493,0.59,"Normal"
"2014_15","Cambridge College","Boston","MA",NA,NA,NA,NA,NA,1134,24440,13608,13608,0.03,"Normal"
"2014_15","Clark University","Worcester","MA",54.03,NA,NA,NA,NA,2239,48366,40730,40730,0.78,"Normal"
"2014_15","Curry College","Milton","MA",86.88,948,475,475,20,2843,48778,35725,35725,0.45,"Normal"
"2014_15","Eastern Nazarene College","Quincy","MA",52.87,918,465,460,19,1054,37563,29012,29012,0.47,"Normal"
"2014_15","Emerson College","Boston","MA",49.18,1244,630,605,28,3757,53499,37350,37350,0.8,"Normal"
"2014_15","Emmanuel College","Boston","MA",69.3,1093,550,540,24,1967,51082,35532,35532,0.64,"Normal"
"2014_15","Endicott College","Beverly","MA",73.15,NA,NA,NA,NA,2781,45323,29494,29494,0.73,"Normal"
"2014_15","Fitchburg State University","Fitchburg","MA",72.31,1004,495,510,21,4134,17894,9260,15340,0.57,"Normal"
"2014_15","Framingham State University","Framingham","MA",62.26,1011,505,505,22,4329,22097,8320,14400,0.51,"Normal"
"2014_15","Gordon College","Wenham","MA",88.37,1161,580,575,26,1703,44699,34390,34390,0.72,"Normal"
"2014_15","Hampshire College","Amherst","MA",66.64,NA,NA,NA,NA,1358,60048,48065,48065,0.75,"Normal"
"2014_15","Harvard University","Cambridge","MA",5.96,1501,750,755,34,7236,59950,43938,43938,0.98,"Normal"
"2014_15","Hebrew College","Newton Centre","MA",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Normal"
"2014_15","Hellenic College-Holy Cross Greek Orthodox School of Theology","Brookline","MA",NA,NA,NA,NA,NA,81,38405,22339,22339,0.53,"Normal"
"2014_15","College of the Holy Cross","Worcester","MA",43.34,NA,NA,NA,NA,2754,57754,45692,45692,0.92,"Normal"
"2014_15","Lasell University","Newton","MA",76.32,974,485,490,21,1727,44737,31000,31000,0.57,"Normal"
"2014_15","Lesley University","Cambridge","MA",71.49,1086,560,525,24,1727,48818,24375,24375,0.58,"Normal"
"2014_15","University of Massachusetts-Lowell","Lowell","MA",62.01,1145,555,590,25,12190,23628,12447,27400,0.54,"Normal"
"2014_15","University of Massachusetts-Amherst","Amherst","MA",61.39,1217,595,620,27,21864,26207,13443,28998,0.75,"Normal"
"2014_15","University of Massachusetts-Boston","Boston","MA",70.77,1050,515,535,NA,12108,19355,11966,28390,0.42,"Normal"
"2014_15","MCPHS University","Boston","MA",84.01,1074,520,560,23,3944,44449,30400,30400,0.71,"Normal"
"2014_15","Massachusetts College of Art and Design","Boston","MA",72.94,1077,550,520,25,1781,25838,11225,29925,0.7,"Normal"
"2014_15","Massachusetts Institute of Technology","Cambridge","MA",7.88,1500,725,770,34,4476,59020,45016,45016,0.91,"Normal"
"2014_15","Massachusetts Maritime Academy","Buzzards Bay","MA",61.6,1105,520,590,23,1395,22073,7250,22304,0.7,"Normal"
"2014_15","Merrimack College","North Andover","MA",77.77,NA,NA,NA,NA,2985,47996,36215,36215,0.68,"Normal"
"2014_15","MGH Institute of Health Professions","Boston","MA",NA,NA,NA,NA,NA,193,NA,NA,NA,NA,"Normal"
"2014_15","Montserrat College of Art","Beverly","MA",NA,NA,NA,NA,NA,380,39585,28700,28700,0.52,"Normal"
"2014_15","Mount Holyoke College","South Hadley","MA",54.7,NA,NA,NA,NA,2161,55454,42656,42656,0.8,"Normal"
"2014_15","Mount Ida College","Newton","MA",68.49,886,445,440,19,1290,44219,30447,30447,0.41,"Normal"
"2014_15","School of the Museum of Fine Arts at Tufts University","Boston","MA",90.35,NA,NA,NA,NA,311,54786,40348,40348,0.51,"Normal"
"2014_15","The New England Conservatory of Music","Boston","MA",29.14,NA,NA,NA,NA,389,55870,41405,41405,0.88,"Normal"
"2014_15","Newbury College","Brookline","MA",70.26,NA,NA,NA,NA,871,42593,29930,29930,0.35,"Normal"
"2014_15","Nichols College","Dudley","MA",76.28,NA,NA,NA,NA,1312,46377,32370,32370,0.48,"Normal"
"2014_15","Massachusetts College of Liberal Arts","North Adams","MA",72.27,977,495,480,21,1517,20552,8975,17920,0.52,"Normal"
"2014_15","The New England Institute of Art","Brookline","MA",NA,NA,NA,NA,NA,555,33933,18760,18760,0.37,"Normal"
"2014_15","Northeastern University","Boston","MA",32.22,1420,700,720,32,13492,57981,43440,43440,0.82,"Normal"
"2014_15","College of Our Lady of the Elms","Chicopee","MA",78.97,946,470,480,19,1336,41625,31188,31188,0.78,"Normal"
"2014_15","Pine Manor College","Chestnut Hill","MA",67.84,780,385,395,NA,401,38346,26180,26180,0.35,"Normal"
"2014_15","Regis College","Weston","MA",75.91,NA,NA,NA,NA,1166,48392,35750,35750,0.45,"Normal"
"2014_15","Saint John's Seminary","Brighton","MA",NA,NA,NA,NA,NA,28,NA,21650,21650,NA,"Normal"
"2014_15","Salem State University","Salem","MA",70.57,984,490,494,21,7180,20484,8646,14786,0.46,"Normal"
"2014_15","Simmons University","Boston","MA",52.16,1170,590,575,26,1611,52348,36230,36230,0.67,"Normal"
"2014_15","Smith College","Northampton","MA",42.21,NA,NA,NA,NA,2563,60167,44724,44724,0.87,"Normal"
"2014_15","Springfield College","Springfield","MA",70.87,1025,510,530,20,2136,45887,33455,33455,0.69,"Normal"
"2014_15","University of Massachusetts-Dartmouth","North Dartmouth","MA",76.82,1025,505,520,22,7185,24104,11681,24619,0.47,"Normal"
"2014_15","Stonehill College","Easton","MA",76.96,NA,NA,NA,NA,2274,51977,37426,37426,0.82,"Normal"
"2014_15","Suffolk University","Boston","MA",83.91,1049,515,525,24,5274,46152,32660,32660,0.55,"Normal"
"2014_15","Tufts University","Medford","MA",17.24,1423,720,720,32,5143,61000,48643,48643,0.92,"Normal"
"2014_15","Wellesley College","Wellesley","MA",30.11,1390,695,690,32,2172,59092,45078,45078,0.91,"Normal"
"2014_15","Wentworth Institute of Technology","Boston","MA",82.64,1116,535,580,25,4295,46112,30765,30765,0.64,"Normal"
"2014_15","Western New England University","Springfield","MA",80.15,1077,520,550,24,2722,47447,33466,33466,0.59,"Normal"
"2014_15","Westfield State University","Westfield","MA",74.56,997,495,505,21,5429,20536,8682,14762,0.63,"Normal"
"2014_15","Wheaton College","Norton","MA",69.63,NA,NA,NA,NA,1575,58422,46423,46423,0.77,"Normal"
"2014_15","Wheelock College","Boston","MA",87.52,963,490,475,20,867,46164,32830,32830,0.55,"Normal"
"2014_15","Williams College","Williamstown","MA",19.32,1452,735,720,33,2019,61850,48310,48310,0.95,"Normal"
"2014_15","Worcester Polytechnic Institute","Worcester","MA",43.78,NA,NA,NA,NA,4123,57637,44222,44222,0.85,"Normal"
"2014_15","Worcester State University","Worcester","MA",61.3,997,490,505,22,5063,18252,8557,14637,0.53,"Normal"
"2014_15","Adrian College","Adrian","MI",61.89,1009,500,490,22,1570,43341,32660,32660,0.57,"Normal"
"2014_15","Albion College","Albion","MI",60.79,1125,550,580,25,1249,48073,37485,37485,0.72,"Normal"
"2014_15","Alma College","Alma","MI",71.98,1101,519,504,24,1362,44636,34220,34220,0.61,"Normal"
"2014_15","Andrews University","Berrien Springs","MI",36.88,1081,540,535,24,1629,35017,26256,26256,0.59,"Normal"
"2014_15","Aquinas College","Grand Rapids","MI",72.01,1090,NA,NA,24,1734,36965,27906,27906,0.52,"Normal"
"2014_15","Calvin University","Grand Rapids","MI",73.14,1182,580,595,26,3825,40694,29635,29635,0.74,"Normal"
"2014_15","Central Michigan University","Mount Pleasant","MI",69.27,1050,519,532,23,20297,21828,11550,23670,0.56,"Normal"
"2014_15","Cleary University","Howell","MI",79.29,990,NA,NA,21,438,18625,19200,19200,0.45,"Normal"
"2014_15","Concordia University-Ann Arbor","Ann Arbor","MI",75.88,1030,NA,NA,22,628,34904,25160,25160,0.36,"Normal"
"2014_15","College for Creative Studies","Detroit","MI",45.61,1010,NA,NA,22,1376,48413,37092,37092,0.62,"Normal"
"2014_15","Davenport University","Grand Rapids","MI",93.38,NA,NA,NA,NA,6348,25082,15072,15072,0.4,"Normal"
"2014_15","University of Detroit Mercy","Detroit","MI",69.06,1110,534,587,24,2677,49617,37320,37320,0.54,"Normal"
"2014_15","Eastern Michigan University","Ypsilanti","MI",68.87,1028,490,505,22,17723,19532,9663,25706,0.37,"Normal"
"2014_15","Ferris State University","Big Rapids","MI",78.42,1010,NA,NA,22,12632,21215,10677,16467,0.43,"Normal"
"2014_15","Kettering University","Flint","MI",71.64,1223,585,625,27,1689,51277,36980,36980,0.57,"Normal"
"2014_15","Cornerstone University","Grand Rapids","MI",68.84,1051,536,522,23,2020,34889,25112,25112,0.45,"Normal"
"2014_15","Grand Valley State University","Allendale","MI",80.43,1089,520,553,24,21561,21907,10752,15408,0.65,"Normal"
"2014_15","Great Lakes Christian College","Lansing","MI",NA,NA,NA,NA,NA,160,25648,14890,14890,0.3,"Normal"
"2014_15","Hope College","Holland","MI",77.41,1185,595,590,26,3312,39856,29560,29560,0.8,"Normal"
"2014_15","Kalamazoo College","Kalamazoo","MI",69.65,1239,604,620,28,1431,50800,41161,41161,0.82,"Normal"
"2014_15","Lake Superior State University","Sault Ste Marie","MI",91.09,1028,465,505,22,2213,19524,10253,15317,0.46,"Normal"
"2014_15","Lawrence Technological University","Southfield","MI",57.42,1127,540,595,25,2798,41064,30200,30200,0.44,"Normal"
"2014_15","Madonna University","Livonia","MI",58.59,1049,510,515,23,2841,24763,17390,17390,0.5,"Normal"
"2014_15","Marygrove College","Detroit","MI",48.42,800,NA,NA,17,881,27622,20336,20336,0.18,"Normal"
"2014_15","Rochester University","Rochester Hills","MI",40.59,972,552,476,21,976,26820,20486,20486,0.45,"Normal"
"2014_15","University of Michigan-Ann Arbor","Ann Arbor","MI",32.24,1380,670,710,31,28217,26143,13486,41906,0.91,"Normal"
"2014_15","Michigan State University","East Lansing","MI",66.09,1158,505,615,26,38395,24323,13200,34965,0.79,"Normal"
"2014_15","Michigan Technological University","Houghton","MI",75.5,1244,602,625,28,5576,25360,14040,29520,0.64,"Normal"
"2014_15","University of Michigan-Dearborn","Dearborn","MI",62.67,1105,NA,591,24,6906,17766,10952,23150,0.51,"Normal"
"2014_15","University of Michigan-Flint","Flint","MI",78.64,993,526,602,21,6565,19079,9694,18922,0.34,"Normal"
"2014_15","Northern Michigan University","Marquette","MI",72.09,1010,NA,NA,22,7718,18865,9324,14556,0.48,"Normal"
"2014_15","Northwood University","Midland","MI",69.47,1004,455,465,22,2808,34733,23132,23132,0.56,"Normal"
"2014_15","Oakland University","Rochester Hills","MI",67,1070,NA,NA,23,16528,19385,10613,23873,0.46,"Normal"
"2014_15","Olivet College","Olivet","MI",61.43,917,465,450,21,945,33155,23800,23800,0.39,"Normal"
"2014_15","Kuyper College","Grand Rapids","MI",70.65,1030,NA,NA,22,264,26557,19084,19084,0.66,"Normal"
"2014_15","Saginaw Valley State University","University Center","MI",79.96,1030,NA,NA,22,8453,18378,8691,20409,0.4,"Normal"
"2014_15","Siena Heights University","Adrian","MI",74.24,1025,412,480,22,2254,33484,22740,22740,0.51,"Normal"
"2014_15","Spring Arbor University","Spring Arbor","MI",66.64,1035,525,568,22,2632,33787,24350,24350,0.54,"Normal"
"2014_15","Finlandia University","Hancock","MI",45.45,910,NA,NA,19,464,29789,21480,21480,0.36,"Normal"
"2014_15","Walsh College","Troy","MI",NA,NA,NA,NA,NA,929,NA,NA,NA,NA,"Normal"
"2014_15","Wayne State University","Detroit","MI",77.33,1070,NA,NA,23,17242,21021,11449,24472,0.34,"Normal"
"2014_15","Western Michigan University","Kalamazoo","MI",84.06,1030,NA,NA,22,18450,22013,10685,24917,0.54,"Normal"
"2014_15","Augsburg University","Minneapolis","MN",68.02,1074,595,558,23,2532,44986,34431,34431,0.63,"Normal"
"2014_15","Bemidji State University","Bemidji","MN",93.53,1010,NA,NA,22,4386,18549,8134,8134,0.46,"Normal"
"2014_15","Bethany Lutheran College","Mankato","MN",77.68,1070,NA,NA,23,503,33417,24450,24450,0.55,"Normal"
"2014_15","Bethel University","Saint Paul","MN",95.43,1146,585,580,25,2936,43974,32990,32990,0.74,"Normal"
"2014_15","Carleton College","Northfield","MN",22.77,1408,705,710,32,2042,60401,47736,47736,0.93,"Normal"
"2014_15","Concordia College at Moorhead","Moorhead","MN",64.28,1166,617,640,26,2296,42829,34114,34114,0.72,"Normal"
"2014_15","Concordia University-Saint Paul","Saint Paul","MN",53.24,NA,NA,NA,NA,2167,28984,20250,20250,0.46,"Normal"
"2014_15","Martin Luther College","New Ulm","MN",97.32,1125,NA,NA,25,744,21524,12920,12920,0.72,"Normal"
"2014_15","Gustavus Adolphus College","Saint Peter","MN",61.07,NA,NA,NA,NA,2455,50008,40400,40400,0.81,"Normal"
"2014_15","Hamline University","Saint Paul","MN",69.59,1101,540,530,24,2157,44883,36270,36270,0.65,"Normal"
"2014_15","The Art Institutes International-Minnesota","Minneapolis","MN",NA,NA,NA,NA,NA,932,31739,17416,17416,0.34,"Normal"
"2014_15","Macalester College","Saint Paul","MN",36.35,1354,685,683,30,2053,57478,47195,47195,0.9,"Normal"
"2014_15","Minnesota State University-Mankato","Mankato","MN",66.58,1010,NA,NA,22,12332,17355,7574,15053,0.5,"Normal"
"2014_15","Metropolitan State University","Saint Paul","MN",100,NA,NA,NA,NA,7280,19052,6642,13227,0.34,"Normal"
"2014_15","University of Minnesota-Twin Cities","Minneapolis","MN",45.35,1271,625,685,28,30135,24551,13560,20810,0.78,"Normal"
"2014_15","University of Minnesota-Crookston","Crookston","MN",71.96,1006,455,490,22,1876,22394,11468,11468,0.48,"Normal"
"2014_15","Minneapolis College of Art and Design","Minneapolis","MN",64.41,1088,565,515,24,658,42990,34146,34146,0.64,"Normal"
"2014_15","Crossroads College","Rochester","MN",90.32,NA,NA,NA,NA,96,26410,15580,15580,0.33,"Normal"
"2014_15","University of Minnesota-Duluth","Duluth","MN",76.78,1110,545,575,24,9120,23153,12802,16467,0.59,"Normal"
"2014_15","University of Minnesota-Morris","Morris","MN",63.59,1148,605,580,25,1803,23135,12583,12583,0.67,"Normal"
"2014_15","Minnesota School of Business-Richfield","Richfield","MN",NA,NA,NA,NA,NA,673,26592,14040,14040,0.32,"Normal"
"2014_15","Minnesota State University Moorhead","Moorhead","MN",84.19,1049,483,525,23,5496,18680,7816,14714,0.42,"Normal"
"2014_15","Sanford-Brown College-Mendota Heights","Mendota Heights","MN",NA,NA,NA,NA,NA,150,22673,13140,13140,0.5,"Normal"
"2014_15","North Central University","Minneapolis","MN",91.2,1062,500,480,23,1029,30203,20776,20776,0.47,"Normal"
"2014_15","University of Northwestern-St Paul","Saint Paul","MN",69.54,1110,605,575,24,1945,39702,28726,28726,0.67,"Normal"
"2014_15","Northwestern Health Sciences University","Bloomington","MN",NA,NA,NA,NA,NA,119,24990,11636,11636,0,"Normal"
"2014_15","Oak Hills Christian College","Bemidji","MN",66.67,964,500,390,21,124,26034,15759,15759,0.21,"Normal"
"2014_15","College of Saint Benedict","Saint Joseph","MN",82.18,1179,573,548,26,2020,49920,39402,39402,0.81,"Normal"
"2014_15","Saint Cloud State University","Saint Cloud","MN",82.19,1010,NA,NA,22,10878,18142,7553,15195,0.45,"Normal"
"2014_15","Saint Johns University","Collegeville","MN",78.76,1155,548,543,26,1789,48520,38704,38704,0.8,"Normal"
"2014_15","Saint Mary's University of Minnesota","Winona","MN",74.24,1067,517,523,23,1859,39736,30315,30315,0.65,"Normal"
"2014_15","St Olaf College","Northfield","MN",51.28,1292,630,630,29,2990,51860,41700,41700,0.89,"Normal"
"2014_15","Crown College","Saint Bonifacius","MN",28.4,1016,470,495,22,1032,34943,23180,23180,0.57,"Normal"
"2014_15","The College of Saint Scholastica","Duluth","MN",66.18,1106,565,560,24,2788,42355,32842,32842,0.61,"Normal"
"2014_15","University of St Thomas","Saint Paul","MN",86.62,1204,605,585,27,6080,47616,36682,36682,0.72,"Normal"
"2014_15","St Catherine University","Saint Paul","MN",67.21,1032,548,547,22,3399,43101,36420,36420,0.59,"Normal"
"2014_15","Southwest Minnesota State University","Marshall","MN",66.94,990,473,453,21,2359,19028,8074,8074,0.43,"Normal"
"2014_15","Winona State University","Winona","MN",63.04,1050,NA,NA,23,7944,20574,8750,14250,0.57,"Normal"
"2014_15","Alcorn State University","Alcorn State","MS",78.44,872,438,453,18,3006,21116,6200,6200,0.4,"Normal"
"2014_15","Belhaven University","Jackson","MS",71.69,NA,NA,NA,NA,2546,31730,20780,20780,0.5,"Normal"
