,Year,University Name,University City,University State,Most Awarded Degree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
37,2014_15,University of Mobile,Mobile,AL,Bachelor's,NO,58.47,1014.0,470.0,465.0,22.0,1460.0,64.79,21.1,1.58,0.48,31220.0,19475.0,19475.0,0.41
38,2014_15,University of Montevallo,Montevallo,AL,Bachelor's,NO,74.3,1070.0,548.0,528.0,23.0,2644.0,72.66,13.84,3.1,0.64,22440.0,10660.0,21220.0,0.44
40,2014_15,University of North Alabama,Florence,AL,Bachelor's,NO,67.88,1029.0,506.0,484.0,22.0,5485.0,71.23,13.84,2.72,0.47,15494.0,7412.0,13268.0,0.39
42,2014_15,Oakwood University,Huntsville,AL,Bachelor's,NO,47.87,928.0,476.0,450.0,20.0,1878.0,0.59,85.14,2.34,0.16,36064.0,16720.0,16720.0,0.44
47,2014_15,Samford University,Birmingham,AL,Bachelor's,NO,81.91,1165.0,565.0,558.0,26.0,3033.0,81.83,6.56,6.0,0.92,40900.0,27324.0,27324.0,0.66
48,2014_15,Selma University,Selma,AL,Bachelor's,NO,,,,,,472.0,1.06,97.03,0.0,0.0,12621.0,6680.0,6680.0,0.21
51,2014_15,University of South Alabama,Mobile,AL,Bachelor's,NO,83.51,1048.0,510.0,518.0,23.0,11267.0,61.49,23.74,2.76,3.45,18525.0,7188.0,14076.0,0.38
52,2014_15,Spring Hill College,Mobile,AL,Bachelor's,NO,51.77,1116.0,535.0,538.0,25.0,1215.0,67.33,15.56,6.26,1.07,44970.0,32468.0,32468.0,0.58
53,2014_15,Southeastern Bible College,Birmingham,AL,Bachelor's,NO,100.0,930.0,,,20.0,170.0,61.76,31.18,1.76,0.59,17066.0,11370.0,11370.0,0.18
54,2014_15,Stillman College,Tuscaloosa,AL,Bachelor's,NO,59.01,811.0,448.0,424.0,17.0,1056.0,7.48,90.34,1.7,0.19,26185.0,15865.0,15865.0,0.2
55,2014_15,Talladega College,Talladega,AL,Bachelor's,NO,,,,,,819.0,6.47,87.42,4.4,0.24,20918.0,12509.0,12509.0,0.44
57,2014_15,Troy University,Troy,AL,Bachelor's,NO,73.26,1047.0,508.0,505.0,23.0,15025.0,51.32,33.86,3.29,0.78,17354.0,7564.0,14092.0,0.35
58,2014_15,Tuskegee University,Tuskegee,AL,Bachelor's,NO,49.22,978.0,455.0,465.0,22.0,2588.0,0.35,77.36,0.35,0.15,32853.0,19570.0,19570.0,0.47
59,2014_15,United States Sports Academy,Daphne,AL,Bachelor's,NO,,,,,,90.0,43.33,12.22,6.67,2.22,,,,
61,2014_15,University of Alaska Anchorage,Anchorage,AK,Bachelor's,NO,,,,,,12865.0,57.47,3.58,7.61,7.78,13610.0,5494.0,16466.0,0.25
62,2014_15,Alaska Bible College,Palmer,AK,Bachelor's,NO,,,,,,27.0,85.19,0.0,3.7,0.0,15990.0,9300.0,9300.0,
63,2014_15,University of Alaska Fairbanks,Fairbanks,AK,Bachelor's,NO,,,,,,5536.0,42.59,2.1,5.22,1.26,15340.0,5246.0,16238.0,0.32
65,2014_15,Alaska Pacific University,Anchorage,AK,Bachelor's,NO,42.07,1054.0,555.0,503.0,23.0,275.0,53.09,2.91,3.64,2.55,42640.0,19610.0,19610.0,0.6
70,2014_15,Collins College,Phoenix,AZ,Bachelor's,NO,,,,,,83.0,32.53,8.43,15.66,0.0,,,,0.43
74,2014_15,American Indian College Inc,Phoenix,AZ,Bachelor's,NO,,,,,,89.0,4.49,5.62,14.61,2.25,23387.0,11700.0,11700.0,0.18
83,2014_15,Arizona State University Campus Immersion,Tempe,AZ,Bachelor's,NO,84.33,1145.0,565.0,580.0,25.0,39316.0,54.57,3.94,18.8,6.86,22312.0,10157.0,24503.0,0.63
85,2014_15,University of Arizona,Tucson,AZ,Bachelor's,NO,74.62,,,,,32646.0,53.23,3.55,25.35,5.55,24617.0,10957.0,29421.0,0.6
86,2014_15,Southwest University of Visual Arts-Tucson,Tucson,AZ,Bachelor's,NO,,,,,,161.0,45.34,4.35,31.68,0.62,44388.0,23069.0,23069.0,0.96
96,2014_15,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,Bachelor's,NO,80.16,,,,,1971.0,57.53,1.67,5.58,5.53,46174.0,31648.0,31648.0,0.58
97,2014_15,The School of Architecture,Paradise Valley,AZ,Bachelor's,NO,,,,,,,,,,,,,,
99,2014_15,Grand Canyon University,Phoenix,AZ,Bachelor's,NO,57.57,,,,,38905.0,47.9,18.67,16.52,4.43,30945.0,17050.0,17050.0,0.28
108,2014_15,Northern Arizona University,Flagstaff,AZ,Bachelor's,NO,80.99,,,,,23189.0,61.09,3.36,20.34,1.65,22561.0,9990.0,22510.0,0.52
110,2014_15,Ottawa University-Phoenix,Phoenix,AZ,Bachelor's,NO,,,,,,345.0,51.88,9.57,14.49,0.87,,11670.0,11670.0,
116,2014_15,Prescott College,Prescott,AZ,Bachelor's,NO,68.73,1073.0,545.0,503.0,24.0,454.0,70.04,1.98,1.76,2.2,41256.0,26415.0,26415.0,0.35
123,2014_15,Arizona Christian University,Glendale,AZ,Bachelor's,NO,56.73,988.0,485.0,480.0,22.0,620.0,60.16,8.55,16.61,1.13,33945.0,22466.0,22466.0,0.61
126,2014_15,Western International University,Tempe,AZ,Bachelor's,NO,,,,,,996.0,46.69,13.25,14.96,0.9,9800.0,6000.0,6000.0,0.02
129,2014_15,University of Arkansas at Little Rock,Little Rock,AR,Bachelor's,NO,59.28,1048.0,470.0,510.0,23.0,7942.0,52.97,27.03,6.99,2.25,22521.0,7432.0,17764.0,0.27
130,2014_15,University of Arkansas for Medical Sciences,Little Rock,AR,Bachelor's,NO,,,,,,711.0,73.7,13.22,4.64,2.81,,,,
135,2014_15,Lyon College,Batesville,AR,Bachelor's,NO,61.42,1109.0,505.0,528.0,25.0,690.0,74.2,6.81,6.23,1.59,33605.0,24300.0,24300.0,0.49
138,2014_15,University of Arkansas,Fayetteville,AR,Bachelor's,NO,62.04,1155.0,555.0,565.0,26.0,21405.0,77.98,5.0,6.92,2.51,20350.0,8210.0,20300.0,0.62
139,2014_15,University of Arkansas at Pine Bluff,Pine Bluff,AR,Bachelor's,NO,38.68,886.0,410.0,427.0,19.0,2391.0,4.31,92.81,1.46,0.33,15409.0,6178.0,11908.0,0.27
141,2014_15,Arkansas State University,Jonesboro,AR,Bachelor's,NO,72.39,1088.0,460.0,520.0,24.0,9139.0,73.72,14.48,2.35,0.74,19359.0,7720.0,13480.0,0.39
142,2014_15,Arkansas Tech University,Russellville,AR,Bachelor's,NO,86.26,1010.0,495.0,535.0,22.0,8845.0,77.51,8.97,5.31,1.19,16518.0,5862.0,10878.0,0.45
147,2014_15,University of Central Arkansas,Conway,AR,Bachelor's,NO,94.26,1049.0,490.0,515.0,23.0,9232.0,65.45,19.69,4.34,1.68,18354.0,7889.0,13806.0,0.45
148,2014_15,Central Baptist College,Conway,AR,Bachelor's,NO,56.97,985.0,445.0,500.0,21.0,788.0,67.01,22.21,4.19,0.13,21616.0,13800.0,13800.0,0.32
157,2014_15,Harding University,Searcy,AR,Bachelor's,NO,99.12,1131.0,545.0,540.0,25.0,4485.0,82.99,3.97,3.08,0.8,26364.0,17040.0,17040.0,0.63
158,2014_15,Henderson State University,Arkadelphia,AR,Bachelor's,NO,62.78,989.0,485.0,495.0,21.0,3226.0,65.69,23.65,4.22,0.71,18679.0,7860.0,14220.0,0.36
159,2014_15,Hendrix College,Conway,AR,Bachelor's,NO,82.82,1244.0,600.0,600.0,28.0,1322.0,77.53,4.92,4.92,5.67,52536.0,39290.0,39290.0,0.73
162,2014_15,John Brown University,Siloam Springs,AR,Bachelor's,NO,69.78,,,,,1742.0,76.18,2.53,5.91,1.21,34776.0,23588.0,23588.0,0.61
172,2014_15,Ouachita Baptist University,Arkadelphia,AR,Bachelor's,NO,70.61,1112.0,525.0,540.0,25.0,1455.0,84.26,7.9,3.99,0.89,32560.0,23320.0,23320.0,0.58
175,2014_15,University of the Ozarks,Clarksville,AR,Bachelor's,NO,88.92,1061.0,495.0,520.0,23.0,579.0,67.53,5.7,9.33,0.17,35438.0,24470.0,24470.0,0.48
177,2014_15,Philander Smith College,Little Rock,AR,Bachelor's,NO,,,,,,565.0,0.53,90.27,0.35,0.53,25061.0,12564.0,12564.0,0.39
187,2014_15,Williams Baptist University,Walnut Ridge,AR,Bachelor's,NO,70.49,983.0,425.0,495.0,21.0,508.0,85.04,9.06,2.36,0.0,23161.0,14360.0,14360.0,0.41
189,2014_15,Southern Arkansas University Main Campus,Magnolia,AR,Bachelor's,NO,71.42,989.0,475.0,490.0,21.0,2784.0,63.11,28.56,2.48,0.65,18887.0,7736.0,11186.0,0.31
192,2014_15,University of Arkansas-Fort Smith,Fort Smith,AR,Bachelor's,NO,56.29,,,,,5990.0,72.44,4.66,8.85,4.56,13983.0,4727.0,10511.0,0.26
193,2014_15,Academy of Art University,San Francisco,CA,Bachelor's,NO,,,,,,9885.0,23.92,6.85,11.41,8.04,35919.0,19740.0,19740.0,0.31
208,2014_15,Art Center College of Design,Pasadena,CA,Bachelor's,NO,80.9,,,,,1814.0,20.01,1.16,10.97,34.84,57738.0,37830.0,37830.0,0.67
211,2014_15,Azusa Pacific University,Azusa,CA,Bachelor's,NO,81.83,1037.0,515.0,515.0,23.0,5918.0,47.14,4.48,26.14,9.12,45472.0,33096.0,33096.0,0.67
215,2014_15,Bethesda University,Anaheim,CA,Bachelor's,NO,66.86,,,,,261.0,11.11,14.56,22.61,47.51,13885.0,9120.0,9120.0,0.75
216,2014_15,Biola University,La Mirada,CA,Bachelor's,NO,75.4,1122.0,555.0,555.0,25.0,4364.0,51.65,2.09,18.29,16.13,46162.0,33322.0,33322.0,0.69
217,2014_15,Brooks Institute,Ventura,CA,Bachelor's,NO,99.12,,,,,415.0,26.02,3.13,6.75,2.41,32323.0,20112.0,20112.0,0.56
222,2014_15,California Institute of Integral Studies,San Francisco,CA,Bachelor's,NO,,,,,,104.0,44.23,14.42,22.12,3.85,,,,
224,2014_15,California Baptist University,Riverside,CA,Bachelor's,NO,79.61,976.0,485.0,485.0,21.0,6435.0,40.68,7.74,32.25,4.8,39523.0,29422.0,29422.0,0.55
225,2014_15,California College of the Arts,San Francisco,CA,Bachelor's,NO,63.69,,,,,1512.0,29.17,3.9,13.49,16.2,55398.0,41942.0,41942.0,0.54
227,2014_15,California Institute of Technology,Pasadena,CA,Bachelor's,NO,8.83,1545.0,765.0,785.0,35.0,983.0,27.87,1.53,12.21,43.85,58755.0,43362.0,43362.0,0.92
228,2014_15,California Lutheran University,Thousand Oaks,CA,Bachelor's,NO,60.97,1109.0,550.0,550.0,25.0,2799.0,50.98,4.32,25.47,6.57,50425.0,37140.0,37140.0,0.66
229,2014_15,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,Bachelor's,NO,30.89,1234.0,595.0,630.0,28.0,19177.0,58.72,0.7,15.16,11.85,24218.0,8918.0,20078.0,0.75
231,2014_15,California State University-Bakersfield,Bakersfield,CA,Bachelor's,NO,70.6,,,,,7523.0,18.36,6.38,51.85,6.78,15975.0,6792.0,17952.0,0.41
232,2014_15,California State University-Stanislaus,Turlock,CA,Bachelor's,NO,72.72,,,,,7844.0,25.85,2.46,47.5,11.21,16190.0,6686.0,17846.0,0.53
233,2014_15,California State University-San Bernardino,San Bernardino,CA,Bachelor's,NO,84.45,884.0,440.0,450.0,18.0,16439.0,15.88,6.53,58.31,6.05,16206.0,6550.0,17710.0,0.48
234,2014_15,California State Polytechnic University-Pomona,Pomona,CA,Bachelor's,NO,51.87,1074.0,515.0,555.0,24.0,22269.0,20.23,3.29,38.64,24.59,19042.0,6904.0,18064.0,0.56
235,2014_15,California State University-Chico,Chico,CA,Bachelor's,NO,70.96,996.0,495.0,495.0,22.0,15842.0,49.17,2.13,26.28,5.92,21715.0,7002.0,18162.0,0.59
236,2014_15,California State University-Dominguez Hills,Carson,CA,Bachelor's,NO,42.34,,,,,12199.0,8.35,14.72,57.32,9.56,12399.0,6139.0,17299.0,0.32
237,2014_15,California State University-Fresno,Fresno,CA,Bachelor's,NO,59.4,910.0,450.0,460.0,19.0,20128.0,23.1,3.53,45.41,15.18,16316.0,6299.0,17459.0,0.52
238,2014_15,California State University-Fullerton,Fullerton,CA,Bachelor's,NO,44.47,1021.0,500.0,525.0,22.0,32610.0,23.97,2.05,38.57,21.58,15627.0,6315.0,17475.0,0.56
239,2014_15,California State University-East Bay,Hayward,CA,Bachelor's,NO,70.31,,,,,12275.0,17.25,10.88,28.31,23.78,19793.0,6564.0,17724.0,0.38
240,2014_15,California State University-Long Beach,Long Beach,CA,Bachelor's,NO,35.46,1054.0,515.0,540.0,23.0,31493.0,19.98,3.8,37.91,23.17,17779.0,6452.0,17612.0,0.65
241,2014_15,California State University-Los Angeles,Los Angeles,CA,Bachelor's,NO,61.07,871.0,435.0,445.0,18.0,20643.0,7.57,4.23,60.83,15.81,13479.0,6348.0,17508.0,0.41
242,2014_15,California State University-Northridge,Northridge,CA,Bachelor's,NO,52.86,914.0,455.0,460.0,19.0,35409.0,24.46,5.66,41.81,11.25,18665.0,6549.0,17709.0,0.47
243,2014_15,California State University-Sacramento,Sacramento,CA,Bachelor's,NO,72.65,937.0,465.0,475.0,20.0,26400.0,30.28,5.67,27.6,21.12,18241.0,6648.0,17808.0,0.44
244,2014_15,University of California-Berkeley,Berkeley,CA,Bachelor's,NO,16.02,1382.0,665.0,705.0,32.0,27126.0,27.58,2.09,13.84,35.09,33020.0,12972.0,35850.0,0.91
245,2014_15,University of California-Davis,Davis,CA,Bachelor's,NO,40.37,1226.0,575.0,630.0,28.0,27547.0,29.67,2.09,18.34,34.2,32638.0,13896.0,36774.0,0.83
246,2014_15,University of California-Irvine,Irvine,CA,Bachelor's,NO,37.42,1168.0,540.0,620.0,26.0,24474.0,16.07,1.78,23.99,40.71,29759.0,13179.0,36057.0,0.86
247,2014_15,University of California-Los Angeles,Los Angeles,CA,Bachelor's,NO,18.56,1330.0,645.0,680.0,30.0,29627.0,27.84,2.79,19.64,29.97,32074.0,12705.0,35583.0,0.91
248,2014_15,University of California-Riverside,Riverside,CA,Bachelor's,NO,58.29,1128.0,545.0,585.0,25.0,18784.0,13.84,4.53,36.16,35.95,30174.0,13407.0,36285.0,0.69
249,2014_15,University of California-San Diego,La Jolla,CA,Bachelor's,NO,33.29,1313.0,615.0,695.0,30.0,24801.0,22.47,1.17,16.23,38.49,30092.0,13427.0,36305.0,0.86
251,2014_15,University of California-Santa Barbara,Santa Barbara,CA,Bachelor's,NO,36.34,1253.0,595.0,640.0,29.0,20237.0,36.54,2.14,25.34,19.03,33826.0,13865.0,36743.0,0.81
252,2014_15,University of California-Santa Cruz,Santa Cruz,CA,Bachelor's,NO,55.72,1149.0,550.0,580.0,26.0,16277.0,34.65,1.96,31.55,20.35,33036.0,13397.0,36275.0,0.77
258,2014_15,California Institute of the Arts,Valencia,CA,Bachelor's,NO,24.42,,,,,946.0,39.75,6.98,13.53,12.9,57704.0,42260.0,42260.0,0.7
259,2014_15,California State University Maritime Academy,Vallejo,CA,Bachelor's,NO,66.7,,,,,1047.0,54.35,1.81,17.1,8.88,21102.0,6536.0,17696.0,0.54
275,2014_15,Chapman University,Orange,CA,Bachelor's,NO,47.04,1210.0,595.0,605.0,27.0,6211.0,60.49,1.32,14.31,10.29,58948.0,45393.0,45393.0,0.74
277,2014_15,Concordia University-Irvine,Irvine,CA,Bachelor's,NO,86.08,1038.0,510.0,520.0,23.0,1884.0,46.28,3.24,17.83,6.26,42472.0,30640.0,30640.0,0.56
278,2014_15,San Diego Christian College,Santee,CA,Bachelor's,NO,55.5,992.0,495.0,480.0,22.0,940.0,45.74,13.72,19.89,2.23,39364.0,27090.0,27090.0,0.44
284,2014_15,Claremont McKenna College,Claremont,CA,Bachelor's,NO,10.77,1419.0,705.0,730.0,32.0,1293.0,42.77,4.18,11.83,10.21,62010.0,47395.0,47395.0,0.9
288,2014_15,Cogswell University of Silicon Valley,San Jose,CA,Bachelor's,NO,43.8,,,,,607.0,41.68,4.28,16.97,14.99,28968.0,16160.0,16160.0,0.29
293,2014_15,Columbia College Hollywood,Tarzana,CA,Bachelor's,NO,78.49,,,,,307.0,43.65,18.89,20.85,3.26,31434.0,18975.0,18975.0,0.49
306,2014_15,Design Institute of San Diego,San Diego,CA,Bachelor's,NO,,,,,,171.0,61.4,5.26,17.54,7.02,25514.0,17547.0,17547.0,0.33
308,2014_15,Dominican University of California,San Rafael,CA,Bachelor's,NO,80.92,1047.0,520.0,525.0,23.0,1448.0,32.87,4.01,21.06,20.23,57579.0,41730.0,41730.0,0.62
331,2014_15,Fresno Pacific University,Fresno,CA,Bachelor's,NO,66.62,1010.0,510.0,500.0,22.0,2605.0,36.81,5.41,41.84,3.88,35508.0,26638.0,26638.0,0.63
338,2014_15,Golden Gate University-San Francisco,San Francisco,CA,Bachelor's,NO,,,,,,482.0,26.97,11.83,16.18,15.35,,14640.0,14640.0,
344,2014_15,Harvey Mudd College,Claremont,CA,Bachelor's,NO,14.25,1500.0,724.0,770.0,34.0,802.0,43.89,1.62,9.98,20.82,63860.0,48594.0,48594.0,0.9
351,2014_15,Holy Names University,Oakland,CA,Bachelor's,NO,57.06,885.0,435.0,448.0,19.0,690.0,20.87,20.0,30.58,14.78,48896.0,34488.0,34488.0,0.5
353,2014_15,Humboldt State University,Arcata,CA,Bachelor's,NO,76.55,986.0,500.0,485.0,21.0,7958.0,47.37,3.91,29.78,3.47,22287.0,7171.0,18331.0,0.44
354,2014_15,Humphreys University-Stockton and Modesto Campuses,Stockton,CA,Bachelor's,NO,,,,,,617.0,22.04,13.78,38.57,5.83,21405.0,12456.0,12456.0,0.68
364,2014_15,John F. Kennedy University,Pleasant Hill,CA,Bachelor's,NO,,,,,,251.0,36.65,15.54,25.9,8.37,,,,
365,2014_15,American Jewish University,Los Angeles,CA,Bachelor's,NO,41.46,,,,,96.0,34.38,1.04,4.17,0.0,46869.0,29132.0,29132.0,0.55
367,2014_15,Life Pacific University,San Dimas,CA,Bachelor's,NO,66.33,903.0,470.0,441.0,19.0,479.0,53.65,3.97,29.02,5.43,23926.0,12860.0,12860.0,0.47
368,2014_15,Argosy University-The Art Institute of California-San Diego,San Diego,CA,Bachelor's,NO,,,,,,1634.0,0.92,0.37,34.52,0.61,33175.0,18748.0,18748.0,0.49
369,2014_15,University of La Verne,La Verne,CA,Bachelor's,NO,46.56,1014.0,505.0,510.0,22.0,5137.0,23.89,6.5,48.12,5.26,47935.0,36744.0,36744.0,0.59
370,2014_15,Laguna College of Art and Design,Laguna Beach,CA,Bachelor's,NO,58.47,,,,,543.0,47.88,1.1,16.21,15.47,42689.0,27300.0,27300.0,0.45
376,2014_15,Lincoln University,Oakland,CA,Bachelor's,NO,,,,,,119.0,21.01,15.13,1.68,26.05,20725.0,10105.0,10105.0,0.56
377,2014_15,Southern California Seminary,El Cajon,CA,Bachelor's,NO,,,,,,62.0,40.32,22.58,16.13,12.9,39574.0,14244.0,14244.0,1.0
378,2014_15,La Sierra University,Riverside,CA,Bachelor's,NO,40.64,934.0,460.0,475.0,20.0,2054.0,14.8,7.35,43.23,15.43,40702.0,29895.0,29895.0,0.5
379,2014_15,Loma Linda University,Loma Linda,CA,Bachelor's,NO,,,,,,1039.0,35.23,3.95,29.36,23.97,,,,
387,2014_15,The Master's University and Seminary,Santa Clarita,CA,Bachelor's,NO,75.88,1103.0,550.0,540.0,25.0,1182.0,61.84,3.13,10.41,6.35,40755.0,29860.0,29860.0,0.62
392,2014_15,Argosy University-The Art Institute of California-San Francisco,San Francisco,CA,Bachelor's,NO,,,,,,1052.0,14.73,7.03,29.47,9.22,33324.0,18748.0,18748.0,0.37
393,2014_15,Loyola Marymount University,Los Angeles,CA,Bachelor's,NO,52.71,1218.0,590.0,610.0,28.0,6064.0,46.72,5.79,21.92,10.7,57016.0,41597.0,41597.0,0.78
407,2014_15,Marymount California University,Rancho Palos Verdes,CA,Bachelor's,NO,,,,,,1086.0,19.34,8.2,35.17,3.87,46675.0,31932.0,31932.0,0.37
409,2014_15,Menlo College,Atherton,CA,Bachelor's,NO,45.06,995.0,488.0,509.0,21.0,793.0,33.54,6.94,20.93,7.06,52454.0,37520.0,37520.0,0.43
412,2014_15,Mills College,Oakland,CA,Bachelor's,NO,76.14,1152.0,585.0,550.0,26.0,909.0,44.88,6.71,23.21,11.33,56336.0,42918.0,42918.0,0.72
420,2014_15,Middlebury Institute of International Studies at Monterey,Monterey,CA,Bachelor's,NO,,,,,,22.0,45.45,4.55,18.18,4.55,,,,
424,2014_15,Mount Saint Mary's University,Los Angeles,CA,Bachelor's,NO,78.3,902.0,460.0,455.0,18.0,2659.0,10.12,7.03,59.8,16.66,48372.0,34826.0,34826.0,0.66
433,2014_15,The National Hispanic University,San Jose,CA,Bachelor's,NO,,,,,,47.0,12.77,0.0,42.55,4.26,19768.0,8196.0,8196.0,0.31
435,2014_15,National University,La Jolla,CA,Bachelor's,NO,,,,,,9451.0,39.48,10.46,26.31,10.61,26862.0,12384.0,12384.0,0.4
437,2014_15,Newschool of Architecture and Design,San Diego,CA,Bachelor's,NO,98.0,,,,,360.0,25.28,2.22,37.78,9.72,39498.0,21920.0,21920.0,0.4
443,2014_15,Notre Dame de Namur University,Belmont,CA,Bachelor's,NO,77.71,932.0,475.0,470.0,19.0,1177.0,25.4,6.46,36.62,11.89,47565.0,31822.0,31822.0,0.53
444,2014_15,Occidental College,Los Angeles,CA,Bachelor's,NO,42.04,1300.0,645.0,655.0,29.0,2023.0,51.11,4.45,14.98,12.56,63363.0,47522.0,47522.0,0.85
448,2014_15,Otis College of Art and Design,Los Angeles,CA,Bachelor's,NO,66.48,1010.0,495.0,515.0,22.0,1090.0,23.76,3.85,10.37,29.45,53439.0,40490.0,40490.0,0.63
450,2014_15,Hope International University,Fullerton,CA,Bachelor's,NO,31.0,896.0,447.0,452.0,19.0,816.0,37.99,5.64,20.1,2.82,38119.0,27130.0,27130.0,0.49
452,2014_15,Palo Alto University,Palo Alto,CA,Bachelor's,NO,,,,,,194.0,30.93,2.58,23.2,27.32,,,,
454,2014_15,Pacific Oaks College,Pasadena,CA,Bachelor's,NO,,,,,,482.0,23.65,9.96,53.53,2.28,,,,
456,2014_15,Pacific States University,Los Angeles,CA,Bachelor's,NO,,,,,,15.0,0.0,0.0,0.0,20.0,,16036.0,16036.0,0.0
457,2014_15,Pacific Union College,Angwin,CA,Bachelor's,NO,47.44,1017.0,490.0,505.0,23.0,1583.0,27.86,8.53,27.1,18.13,39564.0,28131.0,28131.0,0.46
458,2014_15,University of the Pacific,Stockton,CA,Bachelor's,NO,54.9,1185.0,569.0,607.0,27.0,3802.0,29.85,2.5,18.17,33.06,54032.0,41342.0,41342.0,0.61
463,2014_15,Pepperdine University,Malibu,CA,Bachelor's,NO,35.46,1234.0,600.0,625.0,28.0,3434.0,44.96,6.06,13.4,13.02,61164.0,46692.0,46692.0,0.84
464,2014_15,Pitzer College,Claremont,CA,Bachelor's,NO,13.02,,,,,1076.0,49.81,4.28,15.15,5.67,61416.0,47020.0,47020.0,0.84
466,2014_15,Point Loma Nazarene University,San Diego,CA,Bachelor's,NO,69.53,1135.0,555.0,560.0,26.0,2560.0,61.76,2.3,21.8,5.08,44198.0,31406.0,31406.0,0.73
467,2014_15,Pomona College,Claremont,CA,Bachelor's,NO,12.19,1454.0,730.0,730.0,33.0,1635.0,42.69,6.67,14.19,12.97,59730.0,45832.0,45832.0,0.93
469,2014_15,Westwood College-South Bay,Torrance,CA,Bachelor's,NO,,,,,,441.0,7.94,23.58,47.17,3.4,29287.0,15852.0,15852.0,0.26
474,2014_15,University of Redlands,Redlands,CA,Bachelor's,NO,73.09,1110.0,550.0,550.0,25.0,3710.0,46.9,4.34,26.68,5.39,57347.0,43186.0,43186.0,0.69
480,2014_15,Argosy University-San Francisco Bay Area,Alameda,CA,Bachelor's,NO,,,,,,135.0,26.67,40.0,16.3,5.93,,13663.0,13663.0,0.0
