,Year,University Name,University City,University State,Most Awarded Degree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
0,2014_15,Alabama A & M University,Normal,AL,Bachelor's,NO,52.56,827.0,424.0,420.0,17.0,4206.0,3.33,93.53,0.55,0.19,21475.0,9096.0,16596.0,0.35
1,2014_15,University of Alabama at Birmingham,Birmingham,AL,Bachelor's,NO,85.69,1107.0,570.0,565.0,24.0,11383.0,59.22,26.0,2.83,5.18,20621.0,7510.0,17062.0,0.56
2,2014_15,Amridge University,Montgomery,AL,Bachelor's,NO,,,,,,291.0,29.9,41.92,0.69,0.34,16370.0,6900.0,6900.0,0.22
3,2014_15,University of Alabama in Huntsville,Huntsville,AL,Bachelor's,NO,82.03,1219.0,595.0,590.0,27.0,5451.0,69.88,12.55,3.82,3.76,21107.0,9158.0,21232.0,0.46
4,2014_15,Alabama State University,Montgomery,AL,Bachelor's,NO,53.26,851.0,425.0,430.0,18.0,4811.0,1.58,92.08,1.21,0.19,18184.0,8720.0,15656.0,0.26
5,2014_15,The University of Alabama,Tuscaloosa,AL,Bachelor's,NO,51.05,1185.0,555.0,565.0,27.0,29851.0,78.25,11.19,3.48,1.06,26400.0,9826.0,24950.0,0.66
7,2014_15,Athens State University,Athens,AL,Bachelor's,NO,,,,,,2991.0,78.23,12.0,1.91,0.53,,,,
8,2014_15,Auburn University at Montgomery,Montgomery,AL,Bachelor's,NO,80.17,1009.0,486.0,509.0,22.0,4304.0,53.28,33.76,0.74,2.21,17903.0,9080.0,19640.0,0.22
9,2014_15,Auburn University,Auburn,AL,Bachelor's,NO,83.47,1215.0,575.0,588.0,27.0,20514.0,85.07,7.04,2.48,2.27,25282.0,10200.0,27384.0,0.71
10,2014_15,Birmingham-Southern College,Birmingham,AL,Bachelor's,NO,53.39,1181.0,560.0,560.0,27.0,1180.0,79.83,11.02,1.95,5.17,45162.0,31708.0,31708.0,0.64
12,2014_15,Concordia College Alabama,Selma,AL,Bachelor's,NO,53.28,942.0,420.0,400.0,21.0,322.0,2.8,87.58,3.73,0.93,17603.0,10320.0,10320.0,0.1
16,2014_15,Faulkner University,Montgomery,AL,Bachelor's,NO,,,,,,2367.0,38.74,51.37,2.58,0.42,30116.0,18750.0,18750.0,0.31
23,2014_15,Huntingdon College,Montgomery,AL,Bachelor's,NO,58.39,1026.0,510.0,490.0,22.0,1149.0,63.88,19.93,2.52,0.78,32370.0,24550.0,24550.0,0.45
24,2014_15,Heritage Christian University,Florence,AL,Bachelor's,NO,100.0,,,,,62.0,74.19,11.29,4.84,0.0,18631.0,9792.0,9792.0,0.5
27,2014_15,Jacksonville State University,Jacksonville,AL,Bachelor's,NO,83.26,1041.0,495.0,485.0,23.0,7060.0,68.34,23.82,1.32,0.55,20830.0,7092.0,13884.0,0.3
31,2014_15,Judson College,Marion,AL,Bachelor's,NO,65.25,,,,,376.0,75.53,16.22,1.6,1.06,28840.0,16258.0,16258.0,0.43
33,2014_15,University of West Alabama,Livingston,AL,Bachelor's,NO,71.99,990.0,,,21.0,1916.0,44.21,40.55,2.24,0.16,17839.0,8018.0,14886.0,0.33
36,2014_15,Miles College,Fairfield,AL,Bachelor's,NO,,,,,,1778.0,1.69,97.19,0.28,0.0,22436.0,11604.0,11604.0,0.2
