,Year,University Name,University City,University State,Most Awarded Degree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
1220,2016_17,Luther College,Decorah,IA,Bachelor's,NO,67.63,1157.0,511.0,553.0,26.0,2121.0,82.41,2.03,4.57,1.56,51165.0,40040.0,40040.0,0.79
1221,2016_17,Maharishi International University,Fairfield,IA,Bachelor's,NO,50.6,,,,,320.0,34.06,7.5,8.44,3.13,38437.0,27530.0,27530.0,0.58
1224,2016_17,Morningside College,Sioux City,IA,Bachelor's,NO,56.93,1070.0,,,23.0,1313.0,78.67,1.52,6.47,1.07,41001.0,29094.0,29094.0,0.54
1225,2016_17,Mount Mercy University,Cedar Rapids,IA,Bachelor's,NO,61.88,990.0,,555.0,21.0,1570.0,79.17,6.62,1.53,1.91,41055.0,29696.0,29696.0,0.58
1226,2016_17,Ashford University,San Diego,CA,Bachelor's,NO,,,,,,35252.0,43.86,36.26,11.32,1.38,22961.0,11032.0,11032.0,0.09
1228,2016_17,University of Northern Iowa,Cedar Falls,IA,Bachelor's,NO,82.56,1050.0,513.0,540.0,23.0,9943.0,82.71,2.71,3.84,1.21,19751.0,8309.0,18851.0,0.65
1229,2016_17,Northwestern College,Orange City,IA,Bachelor's,NO,65.53,1113.0,500.0,543.0,25.0,1076.0,81.78,1.67,4.83,0.74,41707.0,29500.0,29500.0,0.64
1234,2016_17,Palmer College of Chiropractic,Davenport,IA,Bachelor's,NO,,,,,,39.0,87.18,2.56,2.56,7.69,31623.0,8919.0,8919.0,
1236,2016_17,Saint Ambrose University,Davenport,IA,Bachelor's,NO,63.58,1050.0,,,23.0,2387.0,77.88,4.15,7.04,1.26,41774.0,29150.0,29150.0,0.63
1240,2016_17,Simpson College,Indianola,IA,Bachelor's,NO,85.45,1103.0,525.0,551.0,24.0,1525.0,85.38,2.49,4.39,1.44,46428.0,35876.0,35876.0,0.63
1246,2016_17,Upper Iowa University,Fayette,IA,Bachelor's,NO,55.55,968.0,435.0,435.0,21.0,3859.0,65.61,19.69,5.78,1.48,39962.0,28890.0,28890.0,0.44
1247,2016_17,Waldorf University,Forest City,IA,Bachelor's,NO,66.71,960.0,460.0,460.0,21.0,1889.0,62.78,15.67,8.42,2.17,32156.0,21260.0,21260.0,0.23
1248,2016_17,Wartburg College,Waverly,IA,Bachelor's,NO,68.25,1084.0,471.0,515.0,24.0,1449.0,74.88,5.24,3.86,1.24,48469.0,38380.0,38380.0,0.69
1252,2016_17,William Penn University,Oskaloosa,IA,Bachelor's,NO,58.67,889.0,385.0,420.0,19.0,1286.0,58.71,18.35,9.95,1.4,35236.0,24510.0,24510.0,0.33
1254,2016_17,Baker University,Baldwin City,KS,Bachelor's,NO,77.75,1053.0,535.0,545.0,23.0,1581.0,71.6,9.49,7.72,0.82,41824.0,28030.0,28030.0,0.55
1256,2016_17,Benedictine College,Atchison,KS,Bachelor's,NO,97.71,1116.0,528.0,535.0,25.0,1936.0,77.74,3.2,6.15,0.83,40871.0,27480.0,27480.0,0.63
1257,2016_17,Bethany College,Lindsborg,KS,Bachelor's,NO,63.8,960.0,460.0,475.0,21.0,655.0,52.67,17.86,15.88,1.22,40631.0,26660.0,26660.0,0.42
1258,2016_17,Bethel College-North Newton,North Newton,KS,Bachelor's,NO,55.97,,,,,459.0,71.46,14.16,5.45,1.09,38084.0,26920.0,26920.0,0.53
1263,2016_17,Central Christian College of Kansas,McPherson,KS,Bachelor's,NO,53.64,921.0,455.0,450.0,20.0,827.0,54.53,22.61,12.7,1.09,25417.0,16850.0,16850.0,0.3
1270,2016_17,Emporia State University,Emporia,KS,Bachelor's,NO,87.43,1029.0,515.0,455.0,22.0,3578.0,70.1,5.48,6.71,0.87,17347.0,6179.0,19392.0,0.44
1272,2016_17,Fort Hays State University,Hays,KS,Bachelor's,NO,90.73,,,,,11698.0,55.27,3.71,7.51,0.97,16251.0,4884.0,14426.0,0.37
1273,2016_17,Barclay College,Haviland,KS,Bachelor's,NO,66.67,,,,,250.0,74.0,14.0,4.4,0.4,26748.0,15990.0,15990.0,0.6
1274,2016_17,Friends University,Wichita,KS,Bachelor's,NO,55.01,1002.0,460.0,470.0,22.0,1164.0,64.52,11.94,6.7,0.86,34046.0,26865.0,26865.0,0.36
1286,2016_17,Kansas Christian College,Overland Park,KS,Bachelor's,NO,,,,,,99.0,17.17,18.18,3.03,0.0,11617.0,7350.0,7350.0,0.0
1287,2016_17,University of Kansas,Lawrence,KS,Bachelor's,NO,93.01,1185.0,,,26.0,18845.0,71.58,4.2,7.67,4.63,23687.0,11455.0,28239.0,0.63
1288,2016_17,Newman University,Wichita,KS,Bachelor's,NO,57.78,1079.0,471.0,488.0,24.0,1095.0,63.2,5.3,14.61,4.75,33632.0,27556.0,27556.0,0.51
1290,2016_17,Kansas State University,Manhattan,KS,Bachelor's,NO,94.07,,,,,19151.0,77.99,3.59,6.73,1.46,21989.0,9874.0,24775.0,0.63
1291,2016_17,Kansas Wesleyan University,Salina,KS,Bachelor's,NO,54.66,1003.0,495.0,490.0,22.0,678.0,65.93,12.09,15.19,0.59,39742.0,28000.0,28000.0,0.36
1295,2016_17,Manhattan Christian College,Manhattan,KS,Bachelor's,NO,59.51,1022.0,440.0,495.0,22.0,258.0,63.18,4.26,5.81,0.39,26561.0,14986.0,14986.0,0.56
1296,2016_17,McPherson College,McPherson,KS,Bachelor's,NO,57.3,1011.0,520.0,495.0,22.0,678.0,67.85,10.91,12.39,0.74,38359.0,26498.0,26498.0,0.37
1297,2016_17,MidAmerica Nazarene University,Olathe,KS,Bachelor's,NO,51.81,994.0,440.0,445.0,22.0,1224.0,63.4,14.13,1.63,1.47,37482.0,28150.0,28150.0,0.57
