,Year,University Name,University City,University State,Most Awarded Degree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
0,2017_18,Alabama A & M University,Normal,AL,Bachelor's,NO,90.27,929.0,425.0,428.0,18.0,4824.0,2.53,90.73,0.91,0.19,22886.0,9857.0,18236.0,0.24
1,2017_18,University of Alabama at Birmingham,Birmingham,AL,Bachelor's,NO,91.81,1195.0,535.0,645.0,25.0,12866.0,57.84,25.85,3.33,5.88,24129.0,8328.0,19032.0,0.53
2,2017_18,Amridge University,Montgomery,AL,Bachelor's,NO,,,,,,318.0,22.64,72.33,2.2,1.26,15080.0,6900.0,6900.0,0.18
3,2017_18,University of Alabama in Huntsville,Huntsville,AL,Bachelor's,NO,81.23,1322.0,605.0,600.0,28.0,6917.0,74.15,10.73,4.63,4.02,22108.0,10280.0,21480.0,0.49
4,2017_18,Alabama State University,Montgomery,AL,Bachelor's,NO,97.87,935.0,433.0,428.0,18.0,4189.0,1.46,93.79,0.95,0.31,19413.0,11068.0,19396.0,0.28
5,2017_18,The University of Alabama,Tuscaloosa,AL,Bachelor's,NO,53.3,1278.0,585.0,580.0,28.0,32387.0,78.47,10.05,4.71,1.16,28836.0,10780.0,28100.0,0.68
7,2017_18,Athens State University,Athens,AL,Bachelor's,NO,,,,,,2801.0,77.4,12.57,2.68,0.86,,,,
8,2017_18,Auburn University at Montgomery,Montgomery,AL,Bachelor's,NO,82.4,1083.0,529.0,519.0,22.0,4211.0,49.66,38.45,1.35,2.59,19892.0,8020.0,17140.0,0.28
9,2017_18,Auburn University,Auburn,AL,Bachelor's,NO,83.93,1282.0,610.0,610.0,27.0,23391.0,81.8,6.25,3.38,2.4,30458.0,10968.0,29640.0,0.77
10,2017_18,Birmingham-Southern College,Birmingham,AL,Bachelor's,NO,61.86,1231.0,575.0,570.0,26.0,1283.0,79.27,11.85,1.79,5.53,50440.0,35804.0,35804.0,0.66
13,2017_18,South University-Montgomery,Montgomery,AL,Bachelor's,NO,,,,,,369.0,27.64,66.4,2.44,1.08,26613.0,17014.0,17014.0,0.19
16,2017_18,Faulkner University,Montgomery,AL,Bachelor's,NO,51.01,1031.0,525.0,510.0,20.0,2272.0,41.46,49.69,1.98,0.4,31720.0,20970.0,20970.0,0.28
23,2017_18,Huntingdon College,Montgomery,AL,Bachelor's,NO,55.98,1085.0,543.0,540.0,22.0,1099.0,63.79,20.84,5.73,0.45,34675.0,26400.0,26400.0,0.37
24,2017_18,Heritage Christian University,Florence,AL,Bachelor's,NO,100.0,1030.0,,,20.0,59.0,81.36,6.78,3.39,0.0,,11232.0,11232.0,0.25
27,2017_18,Jacksonville State University,Jacksonville,AL,Bachelor's,NO,54.02,1121.0,475.0,470.0,23.0,6622.0,71.94,19.01,1.03,0.72,20890.0,8166.0,15582.0,0.37
31,2017_18,Judson College,Marion,AL,Bachelor's,NO,50.7,1085.0,,,22.0,315.0,71.75,20.0,2.86,1.9,30456.0,17896.0,17896.0,0.32
33,2017_18,University of West Alabama,Livingston,AL,Bachelor's,NO,28.21,1041.0,480.0,460.0,21.0,2106.0,42.31,44.25,1.85,0.19,19671.0,9204.0,16818.0,0.33
36,2017_18,Miles College,Fairfield,AL,Bachelor's,NO,,,,,,1647.0,2.31,95.99,0.73,0.0,22346.0,11794.0,11794.0,0.21
37,2017_18,University of Mobile,Mobile,AL,Bachelor's,NO,47.02,1113.0,510.0,495.0,23.0,1276.0,61.68,18.57,2.12,1.41,35256.0,22210.0,22210.0,0.45
