,Year,University Name,University City,University State,Most Awarded Degree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
38,2017_18,University of Montevallo,Montevallo,AL,Bachelor's,NO,64.45,1143.0,530.0,520.0,23.0,2329.0,68.66,15.97,5.28,0.94,23938.0,12400.0,25030.0,0.5
40,2017_18,University of North Alabama,Florence,AL,Bachelor's,NO,70.22,1104.0,563.0,518.0,22.0,5771.0,73.0,15.21,3.15,0.59,18223.0,8480.0,15128.0,0.45
42,2017_18,Oakwood University,Huntsville,AL,Bachelor's,NO,47.07,1005.0,515.0,480.0,20.0,1623.0,0.49,83.92,3.88,0.43,35547.0,16720.0,16720.0,0.47
46,2017_18,Samford University,Birmingham,AL,Bachelor's,NO,83.19,1230.0,600.0,580.0,26.0,3364.0,84.39,6.93,3.12,0.98,44896.0,30490.0,30490.0,0.76
47,2017_18,Selma University,Selma,AL,Bachelor's,NO,,,,,,311.0,1.93,97.11,0.96,0.0,15022.0,7115.0,7115.0,0.02
50,2017_18,University of South Alabama,Mobile,AL,Bachelor's,NO,82.08,1142.0,560.0,545.0,23.0,10712.0,59.27,22.51,3.34,3.0,19702.0,7812.0,15324.0,0.4
51,2017_18,Spring Hill College,Mobile,AL,Bachelor's,NO,45.68,1156.0,558.0,548.0,24.0,1375.0,68.0,16.07,2.18,1.09,50954.0,37584.0,37584.0,0.53
52,2017_18,Stillman College,Tuscaloosa,AL,Bachelor's,NO,48.12,,,,,633.0,6.95,86.57,2.05,0.0,19803.0,10792.0,10792.0,0.28
53,2017_18,Talladega College,Talladega,AL,Bachelor's,NO,,,,,,782.0,1.92,86.7,4.73,0.0,22314.0,12340.0,12340.0,0.5
55,2017_18,Troy University,Troy,AL,Bachelor's,NO,88.12,1085.0,540.0,535.0,22.0,13634.0,53.5,30.07,3.75,0.87,18585.0,8692.0,16276.0,0.39
56,2017_18,Tuskegee University,Tuskegee,AL,Bachelor's,NO,50.32,1036.0,490.0,470.0,21.0,2833.0,0.67,80.09,0.78,0.71,36673.0,22170.0,22170.0,0.52
57,2017_18,United States Sports Academy,Daphne,AL,Bachelor's,NO,,,,,,88.0,61.36,13.64,10.23,0.0,,,,
59,2017_18,University of Alaska Anchorage,Anchorage,AK,Bachelor's,NO,82.83,,,,,11332.0,55.52,3.35,8.89,9.06,19126.0,6690.0,19494.0,0.24
60,2017_18,Alaska Bible College,Palmer,AK,Bachelor's,NO,,,,,,31.0,77.42,0.0,3.23,3.23,19260.0,9350.0,9350.0,0.57
61,2017_18,University of Alaska Fairbanks,Fairbanks,AK,Bachelor's,NO,76.7,1094.0,575.0,575.0,21.0,4910.0,49.45,2.77,7.27,1.96,17168.0,6262.0,19183.0,0.3
62,2017_18,University of Alaska Southeast,Juneau,AK,Bachelor's,NO,71.05,,,,,1214.0,49.26,1.15,7.25,3.87,17286.0,6828.0,19533.0,0.24
63,2017_18,Alaska Pacific University,Anchorage,AK,Bachelor's,NO,86.0,,,,,247.0,47.77,4.05,5.26,2.02,32489.0,20760.0,20760.0,0.53
77,2017_18,Arizona State University Campus Immersion,Tempe,AZ,Bachelor's,NO,84.15,1235.0,615.0,620.0,26.0,42181.0,50.0,3.77,20.67,7.45,24353.0,10792.0,27372.0,0.63
79,2017_18,University of Arizona,Tucson,AZ,Bachelor's,NO,83.58,,,,,33428.0,50.34,4.01,26.71,5.4,26157.0,11877.0,35307.0,0.63
80,2017_18,Southwest University of Visual Arts-Tucson,Tucson,AZ,Bachelor's,NO,,,,,,125.0,36.0,3.2,44.0,1.6,31146.0,23044.0,23044.0,0.58
90,2017_18,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,Bachelor's,NO,76.52,1245.0,615.0,625.0,26.0,2598.0,62.12,2.16,5.85,5.74,49912.0,34662.0,34662.0,0.6
93,2017_18,Grand Canyon University,Phoenix,AZ,Bachelor's,NO,66.92,,,,,48666.0,48.25,16.69,19.59,3.05,31051.0,17050.0,17050.0,0.41
99,2017_18,Northern Arizona University,Flagstaff,AZ,Bachelor's,NO,80.85,,,,,26974.0,56.88,3.32,23.96,1.96,26314.0,11059.0,24841.0,0.55
101,2017_18,Ottawa University-Phoenix,Phoenix,AZ,Bachelor's,NO,,,,,,329.0,57.75,11.25,21.58,1.82,,,,
107,2017_18,Prescott College,Prescott,AZ,Bachelor's,NO,95.26,1132.0,593.0,530.0,23.0,350.0,61.71,2.0,7.43,0.29,38807.0,30501.0,30501.0,0.44
114,2017_18,Arizona Christian University,Glendale,AZ,Bachelor's,NO,64.44,956.0,485.0,480.0,18.0,696.0,48.13,14.94,22.13,0.72,37675.0,24958.0,24958.0,0.47
116,2017_18,Western International University,Tempe,AZ,Bachelor's,NO,,,,,,597.0,45.39,15.91,16.58,1.51,11330.0,6000.0,6000.0,0.07
119,2017_18,University of Arkansas at Little Rock,Little Rock,AR,Bachelor's,NO,74.63,1105.0,560.0,570.0,22.0,6677.0,50.7,28.64,4.28,1.93,21377.0,8998.0,21208.0,0.32
120,2017_18,University of Arkansas for Medical Sciences,Little Rock,AR,Bachelor's,NO,,,,,,633.0,72.83,11.69,5.21,2.37,,,,
124,2017_18,Lyon College,Batesville,AR,Bachelor's,NO,64.18,1202.0,556.0,576.0,25.0,664.0,70.33,6.93,8.28,2.56,37377.0,27340.0,27340.0,0.52
127,2017_18,University of Arkansas,Fayetteville,AR,Bachelor's,NO,65.96,1239.0,600.0,595.0,26.0,22763.0,76.19,4.46,8.77,2.49,22122.0,9062.0,24308.0,0.62
128,2017_18,University of Arkansas at Pine Bluff,Pine Bluff,AR,Bachelor's,NO,46.69,951.0,497.0,475.0,18.0,2510.0,3.43,92.03,1.59,0.32,16264.0,7408.0,13738.0,0.29
130,2017_18,Arkansas State University,Jonesboro,AR,Bachelor's,NO,66.02,1165.0,557.0,567.0,24.0,8856.0,74.64,13.38,2.81,0.89,20952.0,8478.0,14778.0,0.48
131,2017_18,Arkansas Tech University,Russellville,AR,Bachelor's,NO,94.75,,,,,8247.0,75.19,8.4,6.86,1.25,18143.0,7104.0,12528.0,0.39
136,2017_18,University of Central Arkansas,Conway,AR,Bachelor's,NO,89.95,1175.0,513.0,540.0,24.0,9034.0,65.78,17.04,5.35,2.2,20702.0,8524.0,15047.0,0.41
137,2017_18,Central Baptist College,Conway,AR,Bachelor's,NO,67.55,1027.0,488.0,502.0,20.0,676.0,65.83,23.37,3.85,0.59,24453.0,15750.0,15750.0,0.22
139,2017_18,Crowley's Ridge College,Paragould,AR,Bachelor's,NO,,,,,,192.0,90.63,7.29,1.56,0.0,20416.0,12250.0,12250.0,0.24
146,2017_18,Harding University,Searcy,AR,Bachelor's,NO,72.12,1203.0,590.0,575.0,25.0,4147.0,81.82,4.24,3.33,0.72,28758.0,19385.0,19385.0,0.67
147,2017_18,Henderson State University,Arkadelphia,AR,Bachelor's,NO,79.68,1102.0,517.0,522.0,22.0,2829.0,66.03,21.53,5.2,0.74,20913.0,8530.0,10180.0,0.33
148,2017_18,Hendrix College,Conway,AR,Bachelor's,NO,79.8,1295.0,635.0,620.0,28.0,1233.0,70.24,7.38,5.52,5.19,58040.0,44070.0,44070.0,0.75
151,2017_18,John Brown University,Siloam Springs,AR,Bachelor's,NO,75.79,1256.0,615.0,580.0,27.0,1606.0,74.66,1.99,6.35,1.49,37814.0,26144.0,26144.0,0.73
159,2017_18,Ouachita Baptist University,Arkadelphia,AR,Bachelor's,NO,70.94,1186.0,590.0,550.0,25.0,1513.0,81.56,8.0,4.63,0.46,35685.0,25870.0,25870.0,0.64
162,2017_18,University of the Ozarks,Clarksville,AR,Bachelor's,NO,89.15,1047.0,530.0,525.0,21.0,745.0,53.29,7.79,10.47,0.94,35426.0,23750.0,23750.0,0.51
164,2017_18,Philander Smith College,Little Rock,AR,Bachelor's,NO,,,,,,887.0,0.56,94.93,1.35,0.23,25349.0,12714.0,12714.0,0.3
174,2017_18,Williams Baptist University,Walnut Ridge,AR,Bachelor's,NO,62.41,1030.0,,,20.0,452.0,72.12,13.94,5.97,0.0,28274.0,17320.0,17320.0,0.42
176,2017_18,Southern Arkansas University Main Campus,Magnolia,AR,Bachelor's,NO,69.45,1102.0,515.0,530.0,22.0,3153.0,64.54,27.43,3.55,0.98,21252.0,8346.0,12156.0,0.36
179,2017_18,University of Arkansas-Fort Smith,Fort Smith,AR,Bachelor's,NO,,,,,,5455.0,65.04,4.58,12.5,5.54,16554.0,5577.0,12650.0,0.3
180,2017_18,Academy of Art University,San Francisco,CA,Bachelor's,NO,,,,,,7520.0,18.19,6.68,11.44,6.25,38666.0,21252.0,21252.0,0.4
194,2017_18,Art Center College of Design,Pasadena,CA,Bachelor's,NO,70.36,,,,,1974.0,16.41,1.32,12.51,33.49,62312.0,42008.0,42008.0,0.68
197,2017_18,Azusa Pacific University,Azusa,CA,Bachelor's,NO,60.12,1131.0,545.0,560.0,24.0,5560.0,39.5,5.31,32.32,9.32,49911.0,37506.0,37506.0,0.67
201,2017_18,Bethesda University,Anaheim,CA,Bachelor's,NO,,,,,,257.0,8.17,16.73,20.62,52.53,20343.0,7898.0,7898.0,0.15
202,2017_18,Biola University,La Mirada,CA,Bachelor's,NO,71.98,1186.0,601.0,580.0,25.0,4039.0,46.17,2.35,21.44,17.88,51154.0,38448.0,38448.0,0.73
207,2017_18,California Institute of Integral Studies,San Francisco,CA,Bachelor's,NO,,,,,,50.0,48.0,14.0,14.0,2.0,,,,
209,2017_18,California Baptist University,Riverside,CA,Bachelor's,NO,77.08,1092.0,550.0,535.0,22.0,7397.0,38.52,7.1,35.64,5.18,43158.0,32256.0,32256.0,0.59
210,2017_18,California College of the Arts,San Francisco,CA,Bachelor's,NO,63.69,,,,,1475.0,22.44,5.29,13.02,16.54,61515.0,47266.0,47266.0,0.61
212,2017_18,California Institute of Technology,Pasadena,CA,Bachelor's,NO,7.74,1558.0,770.0,790.0,35.0,961.0,27.78,1.35,11.97,43.29,65874.0,49908.0,49908.0,0.89
213,2017_18,California Lutheran University,Thousand Oaks,CA,Bachelor's,NO,72.75,1158.0,580.0,565.0,24.0,2959.0,44.54,3.65,31.87,5.2,55546.0,41363.0,41363.0,0.71
214,2017_18,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,Bachelor's,NO,34.61,1317.0,640.0,650.0,29.0,21303.0,54.74,0.76,16.85,12.91,25960.0,9432.0,21312.0,0.82
216,2017_18,California State University-Bakersfield,Bakersfield,CA,Bachelor's,NO,61.12,,,,,8705.0,17.81,5.79,56.52,7.05,16832.0,7147.0,19027.0,0.41
217,2017_18,California State University-Stanislaus,Turlock,CA,Bachelor's,NO,77.06,,,,,9054.0,22.07,2.31,52.21,9.77,15732.0,7038.0,18918.0,0.53
218,2017_18,California State University-San Bernardino,San Bernardino,CA,Bachelor's,NO,57.13,991.0,505.0,495.0,19.0,18088.0,12.05,5.19,63.81,5.46,18202.0,6885.0,18765.0,0.54
219,2017_18,California State Polytechnic University-Pomona,Pomona,CA,Bachelor's,NO,55.07,1129.0,555.0,565.0,24.0,24205.0,16.77,3.36,43.49,22.21,21137.0,7339.0,19219.0,0.66
220,2017_18,California State University-Chico,Chico,CA,Bachelor's,NO,67.78,1088.0,545.0,535.0,22.0,16546.0,42.48,2.59,32.88,5.4,22917.0,7348.0,19228.0,0.66
221,2017_18,California State University-Dominguez Hills,Carson,CA,Bachelor's,NO,53.68,,,,,13258.0,6.29,12.16,61.98,8.97,14463.0,6837.0,18717.0,0.43
222,2017_18,California State University-Fresno,Fresno,CA,Bachelor's,NO,59.41,1004.0,510.0,500.0,19.0,21877.0,18.14,2.9,51.68,13.64,16205.0,6585.0,18465.0,0.56
223,2017_18,California State University-Fullerton,Fullerton,CA,Bachelor's,NO,45.72,1096.0,550.0,550.0,22.0,35045.0,19.1,1.86,43.34,21.22,17529.0,6850.0,18730.0,0.66
224,2017_18,California State University-East Bay,Hayward,CA,Bachelor's,NO,74.05,,,,,13433.0,15.29,9.94,33.92,23.45,21267.0,6834.0,18714.0,0.42
225,2017_18,California State University-Long Beach,Long Beach,CA,Bachelor's,NO,27.99,1130.0,560.0,565.0,23.0,31402.0,17.15,3.85,41.83,22.34,18104.0,6730.0,18610.0,0.69
226,2017_18,California State University-Los Angeles,Los Angeles,CA,Bachelor's,NO,46.45,968.0,495.0,490.0,18.0,24780.0,5.98,3.59,65.5,13.57,13612.0,6639.0,18519.0,0.47
227,2017_18,California State University-Northridge,Northridge,CA,Bachelor's,NO,57.65,1014.0,515.0,500.0,20.0,35620.0,21.05,4.77,47.72,10.48,15960.0,6875.0,18755.0,0.51
228,2017_18,California State University-Sacramento,Sacramento,CA,Bachelor's,NO,67.76,1036.0,520.0,520.0,20.0,28410.0,26.05,5.93,30.9,20.72,18989.0,7204.0,19084.0,0.48
229,2017_18,University of California-Berkeley,Berkeley,CA,Bachelor's,NO,17.11,1414.0,675.0,695.0,32.0,30574.0,25.73,1.75,15.47,34.52,35767.0,14170.0,42184.0,0.91
230,2017_18,University of California-Davis,Davis,CA,Bachelor's,NO,43.36,1286.0,610.0,635.0,29.0,30046.0,25.16,2.21,21.43,28.39,34428.0,14419.0,42433.0,0.85
231,2017_18,University of California-Irvine,Irvine,CA,Bachelor's,NO,36.51,1291.0,615.0,645.0,29.0,29295.0,13.96,1.92,26.43,35.68,31976.0,13738.0,41752.0,0.85
232,2017_18,University of California-Los Angeles,Los Angeles,CA,Bachelor's,NO,16.1,1387.0,665.0,670.0,32.0,30994.0,26.71,3.42,22.21,28.1,33751.0,13261.0,41275.0,0.91
233,2017_18,University of California-Riverside,Riverside,CA,Bachelor's,NO,56.5,1215.0,595.0,600.0,26.0,20044.0,11.95,4.08,40.45,34.22,32308.0,13917.0,41931.0,0.75
234,2017_18,University of California-San Diego,La Jolla,CA,Bachelor's,NO,33.99,1343.0,640.0,670.0,30.0,28577.0,19.39,1.54,18.48,34.61,31794.0,14018.0,42032.0,0.85
236,2017_18,University of California-Santa Barbara,Santa Barbara,CA,Bachelor's,NO,32.81,1346.0,640.0,655.0,31.0,22181.0,31.95,2.26,26.56,18.16,34990.0,14451.0,42465.0,0.81
237,2017_18,University of California-Santa Cruz,Santa Cruz,CA,Bachelor's,NO,50.94,1287.0,620.0,630.0,29.0,17577.0,31.43,1.9,28.39,22.15,35315.0,14020.0,42034.0,0.77
238,2017_18,Sofia University,Palo Alto,CA,Bachelor's,NO,,,,,,11.0,0.0,0.0,0.0,0.0,,,,
240,2017_18,California Christian College,Fresno,CA,Bachelor's,NO,100.0,,,,,16.0,31.25,18.75,43.75,0.0,25890.0,9330.0,9330.0,1.0
242,2017_18,California Institute of the Arts,Valencia,CA,Bachelor's,NO,24.06,,,,,973.0,41.52,3.91,15.11,10.48,66475.0,47446.0,47446.0,0.67
243,2017_18,California State University Maritime Academy,Vallejo,CA,Bachelor's,NO,66.35,,,,,1048.0,48.57,2.39,20.32,8.97,22301.0,7056.0,18936.0,0.64
259,2017_18,Chapman University,Orange,CA,Bachelor's,NO,57.24,1293.0,640.0,635.0,28.0,6740.0,54.55,1.74,15.09,11.74,66430.0,50594.0,50594.0,0.79
261,2017_18,Concordia University-Irvine,Irvine,CA,Bachelor's,NO,58.45,1121.0,560.0,545.0,23.0,1821.0,51.4,4.56,22.57,8.02,46935.0,34100.0,34100.0,0.65
262,2017_18,San Diego Christian College,Santee,CA,Bachelor's,NO,62.35,945.0,465.0,450.0,19.0,657.0,39.12,11.42,29.07,2.59,43515.0,30438.0,30438.0,0.57
268,2017_18,Claremont McKenna College,Claremont,CA,Bachelor's,NO,10.36,1452.0,700.0,725.0,32.0,1334.0,41.23,4.05,14.84,11.39,69385.0,52825.0,52825.0,0.9
272,2017_18,Cogswell University of Silicon Valley,San Jose,CA,Bachelor's,NO,64.04,,,,,603.0,35.49,4.81,20.4,21.56,32122.0,19648.0,19648.0,0.37
273,2017_18,Coleman University,San Diego,CA,Bachelor's,NO,,,,,,222.0,39.19,9.91,22.07,16.67,34460.0,20725.0,20725.0,0.48
277,2017_18,Columbia College Hollywood,Tarzana,CA,Bachelor's,NO,49.53,,,,,453.0,47.9,11.92,18.54,4.64,30863.0,24495.0,24495.0,0.5
289,2017_18,Design Institute of San Diego,San Diego,CA,Bachelor's,NO,50.0,,,,,126.0,56.35,7.14,17.46,10.32,31825.0,22510.0,22510.0,0.5
291,2017_18,Dominican University of California,San Rafael,CA,Bachelor's,NO,88.43,1127.0,575.0,553.0,23.0,1284.0,31.54,5.14,20.72,26.17,61248.0,44690.0,44690.0,0.72
312,2017_18,Fresno Pacific University,Fresno,CA,Bachelor's,NO,72.39,1050.0,537.0,523.0,20.0,2791.0,28.91,5.27,49.12,4.08,38420.0,30458.0,30458.0,0.65
319,2017_18,Golden Gate University-San Francisco,San Francisco,CA,Bachelor's,NO,,,,,,415.0,27.23,12.05,16.14,12.05,,16095.0,16095.0,
325,2017_18,Harvey Mudd College,Claremont,CA,Bachelor's,NO,15.42,1527.0,745.0,775.0,34.0,844.0,33.89,3.79,17.54,17.42,71917.0,54636.0,54636.0,0.96
327,2017_18,Holy Names University,Oakland,CA,Bachelor's,NO,52.56,857.0,305.0,495.0,20.0,589.0,18.17,18.51,43.46,8.66,53125.0,38188.0,38188.0,0.43
329,2017_18,Humboldt State University,Arcata,CA,Bachelor's,NO,81.83,1062.0,540.0,520.0,21.0,7846.0,42.21,3.57,34.81,2.92,23661.0,7493.0,19373.0,0.47
330,2017_18,Humphreys University-Stockton and Modesto Campuses,Stockton,CA,Bachelor's,NO,,,,,,319.0,20.69,10.34,43.57,15.05,25575.0,14004.0,14004.0,0.41
337,2017_18,John F. Kennedy University,Pleasant Hill,CA,Bachelor's,NO,,,,,,96.0,30.21,12.5,14.58,12.5,,,,
338,2017_18,American Jewish University,Los Angeles,CA,Bachelor's,NO,82.93,,,,,63.0,25.4,0.0,0.0,1.59,51803.0,30938.0,30938.0,0.29
340,2017_18,Life Pacific University,San Dimas,CA,Bachelor's,NO,96.69,1002.0,529.0,484.0,19.0,489.0,41.31,4.7,35.17,3.07,26502.0,14884.0,14884.0,0.48
341,2017_18,Argosy University-The Art Institute of California-San Diego,San Diego,CA,Bachelor's,NO,,,,,,846.0,30.26,12.29,38.89,6.97,32152.0,18742.0,18742.0,0.47
342,2017_18,University of La Verne,La Verne,CA,Bachelor's,NO,47.54,1106.0,555.0,552.0,22.0,5120.0,20.8,5.88,52.15,5.06,52724.0,41450.0,41450.0,0.66
343,2017_18,Laguna College of Art and Design,Laguna Beach,CA,Bachelor's,NO,33.46,,,,,637.0,48.98,1.88,18.52,18.84,45105.0,29800.0,29800.0,0.52
349,2017_18,Lincoln University,Oakland,CA,Bachelor's,NO,,,,,,105.0,19.05,12.38,4.76,11.43,21195.0,10830.0,10830.0,0.83
350,2017_18,Southern California Seminary,El Cajon,CA,Bachelor's,NO,,,,,,51.0,56.86,11.76,13.73,3.92,32970.0,15600.0,15600.0,
351,2017_18,La Sierra University,Riverside,CA,Bachelor's,NO,48.21,994.0,521.0,475.0,19.0,1929.0,13.69,7.05,48.37,14.77,43320.0,32130.0,32130.0,0.47
352,2017_18,Loma Linda University,Loma Linda,CA,Bachelor's,NO,,,,,,1050.0,30.29,3.9,32.86,26.1,,,,
360,2017_18,The Master's University and Seminary,Santa Clarita,CA,Bachelor's,NO,65.8,1116.0,580.0,555.0,22.0,1171.0,66.35,2.31,11.36,4.87,45045.0,33020.0,33020.0,0.55
365,2017_18,Argosy University-The Art Institute of California-San Francisco,San Francisco,CA,Bachelor's,NO,,,,,,472.0,11.23,7.84,31.57,8.26,31211.0,18742.0,18742.0,0.33
366,2017_18,Loyola Marymount University,Los Angeles,CA,Bachelor's,NO,52.48,1307.0,640.0,630.0,29.0,6257.0,44.37,6.81,21.29,10.1,62119.0,46386.0,46386.0,0.79
377,2017_18,Marymount California University,Rancho Palos Verdes,CA,Bachelor's,NO,,,,,,929.0,19.59,7.64,40.47,5.17,50098.0,35884.0,35884.0,0.35
379,2017_18,Menlo College,Atherton,CA,Bachelor's,NO,42.99,1086.0,542.0,545.0,22.0,726.0,23.83,7.85,24.66,8.82,57159.0,41350.0,41350.0,0.53
382,2017_18,Mills College,Oakland,CA,Bachelor's,NO,87.1,,,,,757.0,41.48,9.38,28.4,9.51,61838.0,46236.0,46236.0,0.69
389,2017_18,Middlebury Institute of International Studies at Monterey,Monterey,CA,Bachelor's,NO,,,,,,13.0,38.46,0.0,30.77,7.69,,,,
393,2017_18,Mount Saint Mary's University,Los Angeles,CA,Bachelor's,NO,81.21,1013.0,520.0,500.0,19.0,2575.0,7.57,6.6,64.58,15.11,52180.0,39608.0,39608.0,0.66
398,2017_18,National University,La Jolla,CA,Bachelor's,NO,,,,,,7360.0,35.34,9.71,26.11,8.82,27247.0,13016.0,13016.0,0.42
400,2017_18,Newschool of Architecture and Design,San Diego,CA,Bachelor's,NO,99.12,,,,,432.0,23.38,1.85,30.56,6.71,41660.0,26463.0,26463.0,0.39
406,2017_18,Notre Dame de Namur University,Belmont,CA,Bachelor's,NO,93.62,995.0,510.0,500.0,19.0,924.0,21.97,5.74,43.4,11.04,51716.0,34196.0,34196.0,0.48
407,2017_18,Occidental College,Los Angeles,CA,Bachelor's,NO,41.79,1370.0,685.0,675.0,30.0,1958.0,50.72,4.8,14.1,13.89,69442.0,52838.0,52838.0,0.84
410,2017_18,Otis College of Art and Design,Los Angeles,CA,Bachelor's,NO,91.25,,,,,1056.0,27.27,4.55,4.26,23.58,60426.0,45620.0,45620.0,0.55
412,2017_18,Hope International University,Fullerton,CA,Bachelor's,NO,28.37,1019.0,500.0,505.0,22.0,727.0,38.93,7.29,28.75,3.71,42742.0,31800.0,31800.0,0.48
414,2017_18,Palo Alto University,Palo Alto,CA,Bachelor's,NO,,,,,,125.0,12.8,1.6,12.0,10.4,,,,
415,2017_18,Pacific Oaks College,Pasadena,CA,Bachelor's,NO,,,,,,467.0,18.63,6.42,59.74,3.0,,,,
417,2017_18,Pacific States University,Los Angeles,CA,Bachelor's,NO,,,,,,8.0,0.0,0.0,0.0,0.0,,16005.0,16005.0,0.0
418,2017_18,Pacific Union College,Angwin,CA,Bachelor's,NO,50.21,1055.0,535.0,515.0,21.0,1181.0,21.59,7.62,26.08,18.63,41331.0,29469.0,29469.0,0.52
419,2017_18,University of the Pacific,Stockton,CA,Bachelor's,NO,64.87,1220.0,595.0,605.0,26.0,3542.0,23.29,3.33,19.76,36.19,58718.0,46346.0,46346.0,0.7
423,2017_18,Pepperdine University,Malibu,CA,Bachelor's,NO,39.85,1319.0,645.0,650.0,29.0,3594.0,50.61,4.48,13.72,10.07,68352.0,51992.0,51992.0,0.85
424,2017_18,Pitzer College,Claremont,CA,Bachelor's,NO,16.2,,,,,1074.0,46.74,6.05,15.36,8.75,68192.0,52236.0,52236.0,0.83
426,2017_18,Point Loma Nazarene University,San Diego,CA,Bachelor's,NO,76.29,1211.0,605.0,590.0,26.0,3092.0,53.3,2.13,26.36,6.66,48040.0,34600.0,34600.0,0.74
427,2017_18,Pomona College,Claremont,CA,Bachelor's,NO,8.36,1461.0,725.0,725.0,32.0,1567.0,35.8,9.44,16.15,14.68,67357.0,51075.0,51075.0,0.93
433,2017_18,University of Redlands,Redlands,CA,Bachelor's,NO,74.96,1182.0,585.0,575.0,26.0,3042.0,43.85,3.98,31.62,5.88,63170.0,48072.0,48072.0,0.77
439,2017_18,Argosy University-San Francisco Bay Area,Alameda,CA,Bachelor's,NO,,,,,,90.0,18.89,38.89,23.33,8.89,29296.0,13438.0,13438.0,0.0
444,2017_18,Samuel Merritt University,Oakland,CA,Bachelor's,NO,,,,,,821.0,33.01,5.97,21.68,23.39,,,,
