,Year,University Name,University City,University State,Most Awarded Decree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
0,2018_19,Alabama A & M University,Normal,AL,Bachelor's,NO,89.86,957.0,475.0,465.0,18.0,4990.0,1.86,91.2,0.88,0.18,22489.0,9744.0,18354.0,0.27
1,2018_19,University of Alabama at Birmingham,Birmingham,AL,Bachelor's,NO,92.11,1220.0,555.0,555.0,25.0,13186.0,57.17,25.53,3.34,6.33,24347.0,8568.0,19704.0,0.58
2,2018_19,Amridge University,Montgomery,AL,Bachelor's,NO,,,,,,351.0,23.93,71.51,1.71,0.57,17680.0,6900.0,6900.0,0.4
3,2018_19,University of Alabama in Huntsville,Huntsville,AL,Bachelor's,NO,80.87,1314.0,630.0,565.0,28.0,7458.0,71.67,9.69,5.28,3.81,23441.0,10714.0,22362.0,0.52
4,2018_19,Alabama State University,Montgomery,AL,Bachelor's,NO,97.74,972.0,480.0,465.0,18.0,3903.0,1.67,93.52,0.95,0.41,21476.0,11068.0,19396.0,0.3
5,2018_19,The University of Alabama,Tuscaloosa,AL,Bachelor's,NO,59.06,1252.0,590.0,580.0,27.0,32177.0,77.74,9.99,4.99,1.16,29424.0,10780.0,29230.0,0.72
6,2018_19,Central Alabama Community College,Alexander City,AL,Certificate,NO,,,,,,1211.0,72.5,23.37,2.39,0.41,8824.0,4740.0,8610.0,
7,2018_19,Athens State University,Athens,AL,Bachelor's,NO,,,,,,2732.0,76.57,12.7,3.11,0.73,,,,
8,2018_19,Auburn University at Montgomery,Montgomery,AL,Bachelor's,NO,92.81,1084.0,540.0,525.0,21.0,4529.0,45.2,41.31,1.17,2.21,18291.0,8404.0,17812.0,0.34
9,2018_19,Auburn University,Auburn,AL,Bachelor's,NO,75.43,1289.0,615.0,615.0,28.0,24147.0,80.78,5.5,3.42,2.36,31282.0,11276.0,30524.0,0.78
10,2018_19,Birmingham-Southern College,Birmingham,AL,Bachelor's,NO,56.66,1232.0,570.0,560.0,26.0,1265.0,78.58,13.91,2.13,2.53,52176.0,17650.0,17650.0,0.68
11,2018_19,Chattahoochee Valley Community College,Phenix City,AL,Associate's,NO,,,,,,1446.0,45.92,41.01,5.95,1.04,8750.0,4738.0,8608.0,
12,2018_19,South University-Montgomery,Montgomery,AL,Bachelor's,NO,,,,,,321.0,28.35,66.04,1.87,0.93,29309.0,17014.0,17014.0,0.09
13,2018_19,Enterprise State Community College,Enterprise,AL,Associate's,NO,,,,,,1269.0,63.99,23.25,5.83,1.5,9262.0,4740.0,8610.0,
14,2018_19,Coastal Alabama Community College,Bay Minette,AL,Associate's,NO,,,,,,5494.0,65.65,23.97,3.46,1.13,12008.0,4740.0,8610.0,
15,2018_19,Faulkner University,Montgomery,AL,Bachelor's,NO,52.27,1069.0,530.0,575.0,21.0,2079.0,42.38,48.1,1.78,0.53,33944.0,21690.0,21690.0,0.28
16,2018_19,Gadsden State Community College,Gadsden,AL,Associate's,NO,,,,,,4147.0,70.56,19.05,3.88,0.63,10098.0,3840.0,7056.0,
17,2018_19,New Beginning College of Cosmetology,Albertville,AL,Certificate,NO,,,,,,83.0,78.31,6.02,15.66,0.0,,,,
18,2018_19,George C Wallace Community College-Dothan,Dothan,AL,Associate's,NO,,,,,,3746.0,61.88,30.57,3.6,1.12,9564.0,4680.0,8550.0,
19,2018_19,George C Wallace State Community College-Hanceville,Hanceville,AL,Associate's,NO,,,,,,4569.0,83.45,5.84,5.12,0.55,10252.0,4740.0,8610.0,
20,2018_19,George C Wallace State Community College-Selma,Selma,AL,Associate's,NO,,,,,,1104.0,20.65,75.0,0.63,0.63,13788.0,4440.0,8310.0,
21,2018_19,Herzing University-Birmingham,Birmingham,AL,Certificate,NO,95.0,,,,,544.0,28.13,59.56,1.84,0.18,26128.0,14000.0,14000.0,0.5
22,2018_19,Huntingdon College,Montgomery,AL,Bachelor's,NO,58.41,1100.0,540.0,534.0,22.0,1078.0,65.03,21.71,5.57,0.93,35685.0,27400.0,27400.0,0.43
23,2018_19,Heritage Christian University,Florence,AL,Bachelor's,NO,,,,,,49.0,75.51,8.16,8.16,2.04,,11232.0,11232.0,0.5
24,2018_19,J. F. Drake State Community and Technical College,Huntsville,AL,Certificate,NO,,,,,,678.0,34.51,53.83,2.36,0.88,11123.0,4710.0,8580.0,
25,2018_19,J F Ingram State Technical College,Deatsville,AL,Certificate,NO,,,,,,443.0,43.12,54.63,1.35,0.0,5580.0,5328.0,5328.0,
26,2018_19,Jacksonville State University,Jacksonville,AL,Bachelor's,NO,54.3,1135.0,445.0,475.0,23.0,6394.0,71.83,18.66,0.84,0.67,20050.0,8760.0,16536.0,0.42
27,2018_19,Jefferson State Community College,Birmingham,AL,Associate's,NO,,,,,,6937.0,63.53,23.37,5.29,1.74,13284.0,4800.0,8670.0,
28,2018_19,John C Calhoun State Community College,Tanner,AL,Associate's,NO,,,,,,8270.0,65.33,17.79,6.43,2.01,9848.0,4820.0,8690.0,
29,2018_19,Judson College,Marion,AL,Bachelor's,NO,48.2,1054.0,568.0,530.0,20.0,259.0,69.88,20.08,2.32,0.39,31735.0,18510.0,18510.0,0.35
30,2018_19,Lawson State Community College,Birmingham,AL,Certificate,NO,,,,,,2959.0,14.9,79.89,2.1,0.71,13735.0,4740.0,8610.0,
31,2018_19,University of West Alabama,Livingston,AL,Bachelor's,NO,39.66,1059.0,480.0,460.0,21.0,2152.0,43.26,43.12,1.91,0.33,20692.0,10040.0,18490.0,0.31
32,2018_19,Lurleen B Wallace Community College,Andalusia,AL,Certificate,NO,,,,,,1267.0,68.51,25.18,1.34,0.55,14136.0,4740.0,8610.0,
33,2018_19,Marion Military Institute,Marion,AL,Associate's,NO,56.46,1155.0,590.0,595.0,23.0,392.0,63.01,17.09,9.18,2.55,18568.0,9418.0,15418.0,
34,2018_19,Miles College,Fairfield,AL,Bachelor's,NO,,,,,,1546.0,3.3,94.83,0.78,0.0,22828.0,12132.0,12132.0,0.24
35,2018_19,University of Mobile,Mobile,AL,Bachelor's,NO,47.04,1094.0,495.0,494.0,22.0,1294.0,57.96,25.19,1.93,1.62,35463.0,23230.0,23230.0,0.5
36,2018_19,University of Montevallo,Montevallo,AL,Bachelor's,NO,48.48,1170.0,,,24.0,2251.0,67.26,16.66,5.42,1.07,24411.0,12760.0,25780.0,0.49
37,2018_19,Northwest-Shoals Community College,Muscle Shoals,AL,Certificate,NO,,,,,,2590.0,76.18,11.66,6.76,0.54,12255.0,4711.0,8581.0,
38,2018_19,University of North Alabama,Florence,AL,Bachelor's,NO,64.34,1134.0,560.0,540.0,23.0,5741.0,73.4,14.41,3.05,0.64,18712.0,10142.0,18452.0,0.46
39,2018_19,Northeast Alabama Community College,Rainsville,AL,Associate's,NO,,,,,,1982.0,81.48,1.87,11.45,0.35,8840.0,4740.0,8610.0,
40,2018_19,Oakwood University,Huntsville,AL,Bachelor's,NO,65.89,999.0,425.0,551.0,19.0,1569.0,0.57,82.79,5.1,0.38,36361.0,19732.0,19732.0,0.48
41,2018_19,Reid State Technical College,Evergreen,AL,Certificate,NO,,,,,,261.0,39.85,57.47,0.38,0.38,8958.0,4800.0,8670.0,
42,2018_19,Bishop State Community College,Mobile,AL,Certificate,NO,,,,,,2440.0,24.18,66.35,2.46,2.46,10155.0,4740.0,8610.0,
43,2018_19,Samford University,Birmingham,AL,Bachelor's,NO,82.08,1228.0,601.0,570.0,26.0,3524.0,85.1,6.38,3.29,1.05,46474.0,31650.0,31650.0,0.76
44,2018_19,Selma University,Selma,AL,Bachelor's,NO,,,,,,304.0,1.97,97.04,0.99,0.0,15822.0,7410.0,7410.0,0.02
45,2018_19,Shelton State Community College,Tuscaloosa,AL,Associate's,NO,,,,,,3829.0,55.03,37.48,0.16,0.65,12070.0,4467.0,8907.0,
46,2018_19,Snead State Community College,Boaz,AL,Associate's,NO,,,,,,1872.0,70.35,8.97,14.48,0.96,11073.0,4800.0,8670.0,
47,2018_19,University of South Alabama,Mobile,AL,Bachelor's,NO,79.31,1186.0,580.0,560.0,24.0,10035.0,60.58,22.98,3.67,3.11,19835.0,8396.0,16292.0,0.44
48,2018_19,Spring Hill College,Mobile,AL,Bachelor's,NO,65.77,1130.0,550.0,550.0,23.0,1252.0,66.37,15.58,3.19,1.12,51969.0,39464.0,39464.0,0.59
49,2018_19,Stillman College,Tuscaloosa,AL,Bachelor's,NO,38.59,,,,,689.0,5.66,84.62,0.29,0.0,21314.0,11092.0,11092.0,0.29
50,2018_19,Talladega College,Talladega,AL,Bachelor's,NO,,,,,,1208.0,2.81,85.1,4.06,0.25,22514.0,13571.0,13571.0,0.24
51,2018_19,H Councill Trenholm State Community College,Montgomery,AL,Certificate,NO,,,,,,1567.0,30.06,65.67,2.43,0.96,12383.0,4650.0,8520.0,
52,2018_19,Troy University,Troy,AL,Bachelor's,NO,87.67,1082.0,535.0,518.0,21.0,13147.0,52.47,31.22,3.74,0.75,19180.0,8908.0,16708.0,0.43
53,2018_19,Tuskegee University,Tuskegee,AL,Bachelor's,NO,51.82,1119.0,490.0,470.0,22.0,2529.0,0.4,84.54,0.87,0.71,39383.0,22170.0,22170.0,0.42
54,2018_19,United States Sports Academy,Daphne,AL,Bachelor's,NO,,,,,,266.0,61.65,18.8,6.02,4.51,,,,
55,2018_19,Bevill State Community College,Jasper,AL,Certificate,NO,,,,,,2825.0,78.69,16.57,2.12,0.42,13681.0,5086.0,9214.0,
56,2018_19,University of Alaska Anchorage,Anchorage,AK,Bachelor's,NO,81.15,,,,,10482.0,53.75,3.42,9.26,8.2,19942.0,8580.0,24762.0,0.3
57,2018_19,Alaska Bible College,Palmer,AK,Bachelor's,NO,,,,,,37.0,89.19,2.7,2.7,2.7,24759.0,9600.0,9600.0,0.38
58,2018_19,University of Alaska Fairbanks,Fairbanks,AK,Bachelor's,NO,76.11,1128.0,585.0,575.0,22.0,4657.0,53.21,3.26,7.82,1.95,18510.0,6657.0,20218.0,0.32
59,2018_19,University of Alaska Southeast,Juneau,AK,Certificate,NO,63.33,,,,,1216.0,53.95,1.15,8.31,2.96,16853.0,7092.0,19856.0,0.36
60,2018_19,Alaska Pacific University,Anchorage,AK,Bachelor's,NO,84.25,,,,,283.0,45.58,1.77,6.36,1.41,34990.0,20760.0,20760.0,0.56
61,2018_19,Alaska Vocational Technical Center,Seward,AK,Certificate,NO,,,,,,855.0,49.24,0.7,3.51,1.17,,,,
62,2018_19,Charter College,Vancouver,WA,Certificate,NO,100.0,,,,,2853.0,38.49,6.55,24.75,0.25,35613.0,22655.0,22655.0,0.5
63,2018_19,Alaska Career College,Anchorage,AK,Certificate,NO,,,,,,415.0,36.63,10.6,8.92,20.48,,,,
64,2018_19,Empire Beauty School-Tucson,Tucson,AZ,Certificate,NO,,,,,,102.0,23.53,6.86,59.8,0.0,,,,
65,2018_19,Carrington College-Phoenix North,Phoenix,AZ,Certificate,NO,89.51,,,,,475.0,34.95,5.26,27.79,1.26,,,,
66,2018_19,Carrington College-Mesa,Mesa,AZ,Certificate,NO,,,,,,541.0,43.07,8.13,14.05,3.7,,,,
67,2018_19,Carrington College-Tucson,Tucson,AZ,Certificate,NO,87.36,,,,,227.0,37.0,6.61,28.63,0.0,,,,
68,2018_19,CollegeAmerica-Flagstaff,Flagstaff,AZ,Associate's,NO,,,,,,62.0,9.68,0.0,14.52,0.0,32164.0,16972.0,16972.0,0.3
69,2018_19,Arizona Academy of Beauty-East,Tucson,AZ,Certificate,NO,,,,,,57.0,26.32,5.26,47.37,1.75,,,,
70,2018_19,Platt College-Arizona Automotive Institute Arizona,Glendale,AZ,Certificate,NO,,,,,,713.0,34.36,9.54,31.42,1.12,,,,
71,2018_19,Brookline College-Phoenix,Phoenix,AZ,Certificate,NO,,,,,,1230.0,33.33,20.08,31.46,3.98,,,,0.47
72,2018_19,Arizona State University Campus Immersion,Tempe,AZ,Bachelor's,NO,84.78,1240.0,620.0,625.0,26.0,42529.0,50.08,3.72,21.5,8.0,25621.0,10822.0,28336.0,0.69
73,2018_19,Arizona Western College,Yuma,AZ,Certificate,NO,,,,,,6673.0,14.21,2.71,74.0,0.94,15407.0,2720.0,9710.0,
74,2018_19,University of Arizona,Tucson,AZ,Bachelor's,NO,84.42,1198.0,595.0,595.0,25.0,33509.0,50.09,3.94,26.89,5.26,26712.0,12467.0,36366.0,0.64
75,2018_19,Southwest University of Visual Arts-Tucson,Tucson,AZ,Bachelor's,NO,,,,,,124.0,33.06,3.23,48.39,2.42,35552.0,23069.0,23069.0,0.83
76,2018_19,Central Arizona College,Coolidge,AZ,Certificate,NO,,,,,,4976.0,39.57,6.49,30.71,1.87,10680.0,2580.0,11100.0,
77,2018_19,Charles of Italy Beauty College,Lake Havasu City,AZ,Certificate,NO,,,,,,43.0,65.12,2.33,11.63,4.65,,,,
78,2018_19,Cochise County Community College District,Sierra Vista,AZ,Associate's,NO,,,,,,3404.0,39.86,4.88,44.83,1.82,11589.0,2040.0,6240.0,
79,2018_19,Empire Beauty School-Flagstaff,Flagstaff,AZ,Certificate,NO,,,,,,37.0,56.76,0.0,13.51,0.0,,,,
80,2018_19,Empire Beauty School-Chandler,Chandler,AZ,Certificate,NO,,,,,,48.0,39.58,37.5,10.42,0.0,,,,
81,2018_19,Cortiva Institute-Tucson,Tucson,AZ,Certificate,NO,,,,,,99.0,46.46,8.08,33.33,2.02,,,,
82,2018_19,Avalon School of Cosmetology-Mesa,Mesa,AZ,Certificate,NO,,,,,,356.0,48.03,9.27,27.81,2.25,,,,
83,2018_19,Eastern Arizona College,Thatcher,AZ,Certificate,NO,,,,,,4291.0,61.01,4.12,20.39,0.54,12647.0,2700.0,11400.0,
84,2018_19,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,Bachelor's,NO,67.23,,,,,2712.0,62.5,1.59,12.94,5.9,51036.0,35654.0,35654.0,0.65
85,2018_19,The School of Architecture,Paradise Valley,AZ,Graduate,NO,,,,,,,,,,,,,,
86,2018_19,Glendale Community College,Glendale,AZ,Certificate,NO,,,,,,13588.0,38.31,6.8,40.06,4.55,11843.0,2070.0,7854.0,
87,2018_19,Grand Canyon University,Phoenix,AZ,Bachelor's,NO,73.2,,,,,53209.0,47.91,16.33,20.65,3.1,31248.0,17050.0,17050.0,0.37
88,2018_19,GateWay Community College,Phoenix,AZ,Certificate,NO,,,,,,4188.0,29.61,11.89,45.27,3.51,12180.0,2070.0,7854.0,
89,2018_19,Mesa Community College,Mesa,AZ,Certificate,NO,,,,,,15775.0,45.24,6.43,30.02,3.99,12362.0,2070.0,7854.0,
90,2018_19,Mohave Community College,Kingman,AZ,Associate's,NO,,,,,,2778.0,66.38,1.08,24.51,1.55,12854.0,2112.0,6972.0,
91,2018_19,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,Certificate,NO,,,,,,952.0,67.44,3.99,12.08,0.42,,,,
92,2018_19,Dine College,Tsaile,AZ,Associate's,NO,,,,,,1399.0,0.29,0.07,0.14,0.0,11550.0,1410.0,1410.0,0.17
93,2018_19,Northern Arizona University,Flagstaff,AZ,Bachelor's,NO,82.62,,,,,26647.0,55.83,3.31,24.75,2.02,26748.0,11564.0,25828.0,0.52
94,2018_19,Northland Pioneer College,Holbrook,AZ,Certificate,NO,,,,,,1235.0,42.67,0.81,12.47,0.97,13819.0,1866.0,8610.0,
95,2018_19,Ottawa University-Phoenix,Phoenix,AZ,Bachelor's,NO,,,,,,340.0,55.88,9.12,22.94,2.06,,,,
96,2018_19,Phoenix College,Phoenix,AZ,Certificate,NO,,,,,,8472.0,20.99,9.84,55.59,2.96,12075.0,2070.0,7854.0,
97,2018_19,Cortiva Institute-Scottsdale,Scottsdale,AZ,Certificate,NO,,,,,,69.0,57.97,5.8,13.04,4.35,,,,
98,2018_19,Pima Community College,Tucson,AZ,Certificate,NO,,,,,,17246.0,36.59,4.88,47.74,2.82,8853.0,2142.0,7458.0,
99,2018_19,Pima Medical Institute-Tucson,Tucson,AZ,Certificate,NO,,,,,,1851.0,39.01,5.67,38.09,4.86,,,,0.67
100,2018_19,Pima Medical Institute-Albuquerque,Albuquerque,NM,Certificate,NO,,,,,,565.0,21.42,2.3,53.98,1.59,,,,
101,2018_19,Prescott College,Prescott,AZ,Bachelor's,NO,95.16,,,,,394.0,59.9,2.79,8.38,0.51,41957.0,31485.0,31485.0,0.39
102,2018_19,Refrigeration School Inc,Phoenix,AZ,Certificate,NO,,,,,,912.0,41.12,8.66,29.28,1.1,,,,
103,2018_19,Rio Salado College,Tempe,AZ,Certificate,NO,,,,,,6066.0,48.68,10.5,26.59,2.97,10942.0,2070.0,7854.0,
104,2018_19,Roberto-Venn School of Luthiery,Phoenix,AZ,Certificate,NO,,,,,,20.0,100.0,0.0,0.0,0.0,,,,
105,2018_19,Scottsdale Community College,Scottsdale,AZ,Associate's,NO,,,,,,5660.0,54.61,4.89,22.74,2.69,12661.0,2070.0,7854.0,
106,2018_19,South Mountain Community College,Phoenix,AZ,Associate's,NO,,,,,,2933.0,12.55,16.09,58.0,2.35,11975.0,2070.0,7854.0,
107,2018_19,Arizona Christian University,Glendale,AZ,Bachelor's,NO,56.44,1032.0,510.0,518.0,20.0,705.0,47.8,12.77,21.13,1.13,37562.0,26796.0,26796.0,0.45
108,2018_19,Universal Technical Institute of Arizona Inc,Avondale,AZ,Associate's,NO,,,,,,1869.0,42.0,2.94,29.75,2.57,,,,
109,2018_19,Empire Beauty School-NW Phoenix,Phoenix,AZ,Certificate,NO,,,,,,87.0,1.15,11.49,13.79,0.0,,,,
110,2018_19,Yavapai College,Prescott,AZ,Certificate,NO,,,,,,4598.0,56.26,0.89,19.73,0.89,11961.0,2360.0,8998.0,
111,2018_19,University of Arkansas at Little Rock,Little Rock,AR,Bachelor's,NO,79.33,1099.0,540.0,530.0,22.0,6328.0,49.13,28.18,4.66,2.32,21301.0,9544.0,21754.0,0.39
112,2018_19,University of Arkansas for Medical Sciences,Little Rock,AR,Bachelor's,NO,,,,,,601.0,70.72,10.65,7.32,1.83,,,,
113,2018_19,Arkansas Baptist College,Little Rock,AR,Associate's,NO,,,,,,525.0,5.71,89.9,2.48,0.38,22502.0,8760.0,8760.0,0.2
114,2018_19,Arkansas Beauty School-Little Rock,Little Rock,AR,Certificate,NO,,,,,,125.0,10.4,86.4,1.6,1.6,,,,
115,2018_19,Arkansas Beauty College,Russellville,AR,Certificate,NO,,,,,,15.0,80.0,6.67,13.33,0.0,,,,
116,2018_19,Lyon College,Batesville,AR,Bachelor's,NO,49.86,1195.0,564.0,550.0,25.0,655.0,65.8,9.31,6.87,3.82,38173.0,28790.0,28790.0,0.49
117,2018_19,Arkansas College of Barbering and Hair Design,North Little Rock,AR,Certificate,NO,,,,,,128.0,4.69,89.84,2.34,0.0,,,,
118,2018_19,Arthur's Beauty College,Fort Smith,AR,Certificate,NO,,,,,,31.0,74.19,9.68,6.45,0.0,,,,
119,2018_19,University of Arkansas,Fayetteville,AR,Bachelor's,NO,77.47,1238.0,605.0,590.0,26.0,23121.0,75.97,4.13,8.98,2.5,22750.0,9130.0,25168.0,0.66
120,2018_19,University of Arkansas at Pine Bluff,Pine Bluff,AR,Bachelor's,NO,44.35,978.0,490.0,475.0,18.0,2467.0,3.45,90.92,1.86,0.28,17689.0,8038.0,14398.0,0.29
121,2018_19,Arkansas State University-Beebe,Beebe,AR,Certificate,NO,,,,,,2473.0,80.19,7.64,6.07,0.89,12491.0,2880.0,4608.0,
122,2018_19,Arkansas State University,Jonesboro,AR,Bachelor's,NO,77.21,1189.0,549.0,564.0,24.0,8623.0,74.78,13.09,3.24,0.89,21375.0,8607.0,15297.0,0.48
123,2018_19,Arkansas Tech University,Russellville,AR,Bachelor's,NO,90.24,,,,,7896.0,75.32,7.42,7.37,1.34,18627.0,7254.0,12678.0,0.41
124,2018_19,University of Arkansas at Monticello,Monticello,AR,Certificate,NO,,,,,,2412.0,58.79,30.76,4.15,0.21,17653.0,7462.0,13312.0,0.26
125,2018_19,Arthur's Beauty College,Jacksonville,AR,Certificate,NO,,,,,,36.0,75.0,13.89,5.56,5.56,,,,
126,2018_19,Baptist Health College Little Rock,Little Rock,AR,Associate's,NO,66.67,1015.0,,,19.0,648.0,70.68,21.91,3.09,1.23,24473.0,10439.0,10439.0,
127,2018_19,Black River Technical College,Pocahontas,AR,Certificate,NO,,,,,,1270.0,93.07,3.54,1.89,0.24,12045.0,3168.0,5448.0,
128,2018_19,University of Central Arkansas,Conway,AR,Bachelor's,NO,91.1,1186.0,530.0,540.0,24.0,8906.0,65.83,16.95,5.65,2.08,21350.0,8752.0,15275.0,0.41
129,2018_19,Central Baptist College,Conway,AR,Bachelor's,NO,60.74,1004.0,495.0,460.0,19.0,663.0,67.57,18.7,4.83,0.3,25303.0,16200.0,16200.0,0.34
130,2018_19,Cossatot Community College of the University of Arkansas,De Queen,AR,Certificate,NO,,,,,,903.0,55.04,11.96,27.13,0.22,10512.0,3450.0,4290.0,
131,2018_19,Crowley's Ridge College,Paragould,AR,Bachelor's,NO,,,,,,178.0,86.52,9.55,1.69,1.12,20912.0,13600.0,13600.0,0.44
132,2018_19,Crowley's Ridge Technical Institute,Forrest City,AR,Certificate,NO,,,,,,168.0,36.31,60.71,2.38,0.0,9219.0,1350.0,1350.0,
133,2018_19,East Arkansas Community College,Forrest City,AR,Certificate,NO,,,,,,683.0,48.02,47.0,1.76,0.73,11372.0,2880.0,3720.0,
134,2018_19,Eastern College of Health Vocations-Little Rock,Little Rock,AR,Certificate,NO,,,,,,121.0,18.18,77.69,4.13,0.0,,,,
135,2018_19,Paul Mitchell the School-Little Rock,North Little Rock,AR,Certificate,NO,,,,,,382.0,58.9,28.53,8.38,0.79,,,,
136,2018_19,National Park College,Hot Springs,AR,Certificate,NO,,,,,,1869.0,74.37,13.27,8.4,1.39,13072.0,3750.0,5300.0,
137,2018_19,University of Arkansas Community College-Batesville,Batesville,AR,Certificate,NO,,,,,,921.0,84.91,3.91,5.54,0.65,12896.0,2482.0,3274.0,
138,2018_19,Harding University,Searcy,AR,Bachelor's,NO,74.62,1222.0,600.0,580.0,26.0,3953.0,81.33,4.43,3.77,0.81,29827.0,19845.0,19845.0,0.67
139,2018_19,Henderson State University,Arkadelphia,AR,Bachelor's,NO,90.55,1116.0,529.0,525.0,22.0,2996.0,65.85,20.76,5.34,0.73,20572.0,8530.0,10180.0,0.35
140,2018_19,Hendrix College,Conway,AR,Bachelor's,NO,72.17,1346.0,650.0,625.0,30.0,1192.0,69.8,7.63,5.62,4.95,59901.0,45790.0,45790.0,0.71
141,2018_19,Hot Springs Beauty College,Hot Springs,AR,Certificate,NO,,,,,,28.0,78.57,0.0,21.43,0.0,,,,
142,2018_19,Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,Associate's,NO,,,,,,70.0,75.71,21.43,1.43,1.43,,,,
143,2018_19,John Brown University,Siloam Springs,AR,Bachelor's,NO,77.15,1257.0,638.0,600.0,27.0,1575.0,73.78,2.54,6.98,1.27,38834.0,26928.0,26928.0,0.66
144,2018_19,Career Academy of Hair Design,Springdale,AR,Certificate,NO,,,,,,211.0,63.98,6.64,19.43,3.32,,,,
145,2018_19,Academy of Salon and Spa,Fort Smith,AR,Certificate,NO,,,,,,53.0,64.15,7.55,13.21,1.89,,,,
146,2018_19,Arkansas State University Mid-South,West Memphis,AR,Certificate,NO,,,,,,657.0,33.33,56.01,5.33,0.91,14384.0,2674.0,4114.0,
147,2018_19,Arkansas Northeastern College,Blytheville,AR,Certificate,NO,,,,,,881.0,63.79,29.97,4.54,0.68,10480.0,2318.0,3998.0,
148,2018_19,New Tyler Barber College Inc,North Little Rock,AR,Certificate,NO,,,,,,38.0,0.0,100.0,0.0,0.0,,,,
149,2018_19,North Arkansas College,Harrison,AR,Certificate,NO,,,,,,1393.0,83.85,0.65,7.9,0.93,10089.0,2280.0,4632.0,
150,2018_19,Northwest Technical Institute,Springdale,AR,Certificate,NO,,,,,,237.0,80.17,1.69,14.77,0.84,8201.0,2326.0,2326.0,
151,2018_19,Ouachita Baptist University,Arkadelphia,AR,Bachelor's,NO,63.6,1193.0,575.0,570.0,25.0,1546.0,80.92,7.96,5.24,0.45,37349.0,26790.0,26790.0,0.64
152,2018_19,Arkansas State University Three Rivers,Malvern,AR,Certificate,NO,,,,,,567.0,69.66,20.46,4.94,0.35,12338.0,3890.0,6800.0,
153,2018_19,Ozarka College,Melbourne,AR,Certificate,NO,,,,,,761.0,95.14,1.71,1.71,0.53,12416.0,3004.0,5356.0,
154,2018_19,University of the Ozarks,Clarksville,AR,Bachelor's,NO,52.32,1079.0,515.0,535.0,21.0,862.0,47.68,8.12,12.88,0.81,35136.0,24230.0,24230.0,0.5
155,2018_19,University of Arkansas Community College-Morrilton,Morrilton,AR,Certificate,NO,74.15,,,,,1720.0,74.13,8.08,7.97,0.64,10389.0,3140.0,4076.0,
156,2018_19,Philander Smith College,Little Rock,AR,Bachelor's,NO,,,,,,1000.0,0.2,93.5,1.8,0.1,25290.0,13014.0,13014.0,0.41
157,2018_19,Phillips Community College of the University of Arkansas,Helena,AR,Certificate,NO,,,,,,710.0,43.24,53.94,1.55,0.14,10501.0,2930.0,4760.0,
158,2018_19,Southeast Arkansas College,Pine Bluff,AR,Certificate,NO,,,,,,947.0,37.06,58.5,2.11,1.16,12149.0,3855.0,6735.0,
159,2018_19,Professional Cosmetology Education Center,El Dorado,AR,Certificate,NO,,,,,,30.0,53.33,43.33,3.33,0.0,,,,
160,2018_19,University of Arkansas-Pulaski Technical College,North Little Rock,AR,Associate's,NO,,,,,,4599.0,41.07,43.71,4.28,1.37,16796.0,5252.0,6447.0,
161,2018_19,University of Arkansas Hope-Texarkana,Hope,AR,Certificate,NO,,,,,,1542.0,59.6,30.54,7.13,0.97,13574.0,2830.0,4090.0,
162,2018_19,University of Arkansas Community College Rich Mountain,Mena,AR,Certificate,NO,,,,,,449.0,84.86,0.67,5.79,1.78,11854.0,2880.0,3936.0,
163,2018_19,Paul Mitchell the School-Arkansas,Fayetteville,AR,Certificate,NO,,,,,,95.0,82.11,5.26,9.47,1.05,,,,
164,2018_19,Searcy Beauty College,Searcy,AR,Certificate,NO,,,,,,75.0,81.33,9.33,6.67,0.0,,,,
165,2018_19,Shorter College,N Little Rock,AR,Associate's,NO,,,,,,569.0,37.79,56.59,3.69,0.18,21618.0,5500.0,5500.0,
166,2018_19,Williams Baptist University,Walnut Ridge,AR,Bachelor's,NO,56.39,1034.0,510.0,510.0,20.0,460.0,72.17,12.83,5.22,1.09,28424.0,17320.0,17320.0,0.38
167,2018_19,South Arkansas Community College,El Dorado,AR,Certificate,NO,,,,,,1143.0,53.28,37.1,5.42,0.79,12743.0,2700.0,4812.0,
168,2018_19,Southern Arkansas University Main Campus,Magnolia,AR,Bachelor's,NO,68.78,1105.0,565.0,545.0,22.0,3203.0,64.97,25.13,4.56,0.84,22116.0,8756.0,12866.0,0.41
169,2018_19,Southern Arkansas University Tech,Camden,AR,Certificate,NO,,,,,,733.0,52.39,36.02,3.96,0.41,18368.0,4977.0,6417.0,
170,2018_19,Velvatex College of Beauty Culture,Little Rock,AR,Certificate,NO,,,,,,16.0,0.0,100.0,0.0,0.0,,,,
171,2018_19,University of Arkansas-Fort Smith,Fort Smith,AR,Bachelor's,NO,,,,,,5235.0,65.14,4.11,12.97,5.52,16434.0,5593.0,12666.0,0.32
172,2018_19,Academy of Art University,San Francisco,CA,Bachelor's,NO,,,,,,6898.0,16.99,5.99,11.32,5.97,39735.0,22308.0,22308.0,0.4
