"Color","University.Name","Completion.Rate..4.year.institutions","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","Year"
"Normal","University of La Verne",73,4516,58014,"2019_20"
"Normal","Laguna College of Art and Design",57,784,49066,"2019_20"
"Normal","Southern California Seminary",0,43,36213,"2019_20"
"Normal","La Sierra University",47,1592,46672,"2019_20"
"Normal","The Master's University and Seminary",70,1134,40402,"2019_20"
"Normal","Loyola Marymount University",80,6638,67017,"2019_20"
"Normal","Marymount California University",33,602,53206,"2019_20"
"Normal","Menlo College",58,833,59469,"2019_20"
"Normal","Mills College",57,699,46493,"2019_20"
"Normal","Mount Saint Mary's University",65,2227,56275,"2019_20"
"Normal","Newschool of Architecture and Design",43,394,48724,"2019_20"
"Normal","Notre Dame de Namur University",52,795,55099,"2019_20"
"Normal","Occidental College",86,1970,74132,"2019_20"
"Normal","Otis College of Art and Design",66,1120,64291,"2019_20"
"Normal","Hope International University",54,633,43853,"2019_20"
"Normal","Pacific Union College",57,889,43382,"2019_20"
"Normal","University of the Pacific",71,3585,63482,"2019_20"
"Normal","Pepperdine University",86,3581,73002,"2019_20"
"Normal","Pitzer College",85,1086,73300,"2019_20"
"Normal","Point Loma Nazarene University",75,3195,50979,"2019_20"
"Normal","Pomona College",93,1610,71906,"2019_20"
"Normal","University of Redlands",76,2965,66962,"2019_20"
"Normal","San Diego State University",73,30347,23054,"2019_20"
"Normal","University of San Diego",81,5820,66818,"2019_20"
"Normal","San Francisco Art Institute",46,210,71486,"2019_20"
"Normal","San Francisco Conservatory of Music",61,233,66900,"2019_20"
"Normal","San Francisco State University",57,25126,24839,"2019_20"
"Normal","University of San Francisco",75,6510,67416,"2019_20"
"Normal","William Jessup University",64,1246,48426,"2019_20"
"Normal","San Jose State University",64,27723,24649,"2019_20"
"Normal","Santa Clara University",91,5676,71335,"2019_20"
"Normal","Scripps College",90,1083,73756,"2019_20"
"Normal","Shasta Bible College and Graduate School",67,29,24575,"2019_20"
"Normal","Simpson University",45,701,43693,"2019_20"
"Normal","Saint Mary's College of California",78,2632,66976,"2019_20"
"Normal","Sonoma State University",62,8119,25554,"2019_20"
"Normal","Vanguard University of Southern California",59,1914,46807,"2019_20"
"Normal","Southern California Institute of Architecture",94,237,69240,"2019_20"
"Normal","University of Southern California",92,19908,74738,"2019_20"
"Normal","Thomas Aquinas College",84,439,36738,"2019_20"
"Normal","Epic Bible College",14,109,13535,"2019_20"
"Normal","Westmont College",79,1314,62578,"2019_20"
"Normal","Whittier College",72,1770,58569,"2019_20"
"Normal","Woodbury University",54,1108,52391,"2019_20"
"Normal","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary",49,138,25281,"2019_20"
"Normal","Adams State University",30,1727,22426,"2019_20"
"Normal","University of Colorado Denver/Anschutz Medical Campus",52,11670,22467,"2019_20"
"Normal","University of Colorado Colorado Springs",45,10221,22772,"2019_20"
"Normal","University of Colorado Boulder",69,30630,31044,"2019_20"
"Normal","Colorado Christian University",55,4671,45525,"2019_20"
"Normal","Colorado College",83,2089,71561,"2019_20"
"Normal","Colorado School of Mines",83,5103,34932,"2019_20"
"Normal","Colorado State University-Fort Collins",70,24373,26742,"2019_20"
"Normal","Colorado Technical University-Colorado Springs",26,23197,22246,"2019_20"
"Normal","University of Denver",77,5755,66983,"2019_20"
"Normal","Fort Lewis College",41,3080,23701,"2019_20"
"Normal","Colorado Mesa University",34,8260,21588,"2019_20"
"Normal","Metropolitan State University of Denver",28,18378,19730,"2019_20"
"Normal","Naropa University",35,371,50810,"2019_20"
"Normal","University of Northern Colorado",52,8448,24165,"2019_20"
"Normal","Regis University",64,3392,50403,"2019_20"
"Normal","Rocky Mountain College of Art and Design",43,1449,29696,"2019_20"
"Normal","Colorado State University Pueblo",36,3447,22718,"2019_20"
"Normal","Western Colorado University",51,1815,23911,"2019_20"
"Normal","Albertus Magnus College",61,1108,49229,"2019_20"
"Normal","University of Bridgeport",45,3233,50556,"2019_20"
"Normal","Central Connecticut State University",57,8817,22007,"2019_20"
"Normal","Connecticut College",84,1820,71970,"2019_20"
"Normal","University of Connecticut",84,18585,32016,"2019_20"
"Normal","Eastern Connecticut State University",57,4425,26310,"2019_20"
"Normal","Fairfield University",83,4250,65234,"2019_20"
"Normal","University of Hartford",59,4553,55078,"2019_20"
"Normal","Mitchell College",43,597,47450,"2019_20"
"Normal","University of New Haven",62,4863,56527,"2019_20"
"Normal","Paier College of Art Inc",61,84,22320,"2019_20"
"Normal","Post University",17,9634,28930,"2019_20"
"Normal","Quinnipiac University",77,6816,64618,"2019_20"
"Normal","Sacred Heart University",73,6066,59679,"2019_20"
"Normal","University of Saint Joseph",55,871,47812,"2019_20"
"Normal","Southern Connecticut State University",52,7694,24698,"2019_20"
"Normal","Trinity College",83,2167,74042,"2019_20"
"Normal","Wesleyan University",92,2933,72639,"2019_20"
"Normal","Western Connecticut State University",52,4752,23153,"2019_20"
"Normal","Yale University",97,6089,73900,"2019_20"
"Normal","Delaware State University",42,3932,22297,"2019_20"
"Normal","University of Delaware",81,19047,26960,"2019_20"
"Normal","Goldey-Beacom College",58,726,38041,"2019_20"
"Normal","Wesley College",29,997,40474,"2019_20"
"Normal","Wilmington University",21,8472,18123,"2019_20"
"Normal","American University",79,7659,66022,"2019_20"
"Normal","The Catholic University of America",72,3245,63639,"2019_20"
"Normal","University of the District of Columbia",13,3603,22452,"2019_20"
"Normal","Gallaudet University",51,1058,38084,"2019_20"
"Normal","George Washington University",82,12031,71702,"2019_20"
"Single","Georgetown University",95,7141,73840,"2019_20"
"Normal","Howard University",65,6461,44651,"2019_20"
"Normal","Strayer University-District of Columbia",50,651,28149,"2019_20"
"Normal","Trinity Washington University",38,1344,31616,"2019_20"
"Normal","The Baptist College of Florida",47,298,18260,"2019_20"
"Normal","Barry University",35,3472,43741,"2019_20"
"Normal","Bethune-Cookman University",33,2778,28618,"2019_20"
"Normal","Lynn University",51,2401,54854,"2019_20"
"Normal","Albizu University-Miami",33,118,25500,"2019_20"
"Normal","Johnson University Florida",32,182,26345,"2019_20"
"Normal","University of Central Florida",72,58940,21402,"2019_20"
"Normal","South University-West Palm Beach",15,510,28960,"2019_20"
"Normal","Eckerd College",66,1989,61499,"2019_20"
"Normal","Edward Waters College",26,932,24539,"2019_20"
"Normal","Embry-Riddle Aeronautical University-Daytona Beach",62,6355,53250,"2019_20"
"Normal","Florida Agricultural and Mechanical University",53,7514,23029,"2019_20"
"Normal","Florida Atlantic University",50,23423,20693,"2019_20"
"Normal","Flagler College",53,2863,34495,"2019_20"
"Normal","Florida College",51,537,29673,"2019_20"
"Normal","AdventHealth University",41,1061,24683,"2019_20"
"Normal","Florida Institute of Technology",59,3293,58726,"2019_20"
"Normal","Florida International University",63,41843,19409,"2019_20"
