"Color","University.Name","Completion.Rate..4.year.institutions","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","Year"
"Normal","University of Louisville",59,14303,27604,"2019_20"
"Normal","Midway University",44,1117,40606,"2019_20"
"Normal","Morehead State University",46,5877,21987,"2019_20"
"Normal","Murray State University",55,6796,20742,"2019_20"
"Normal","Northern Kentucky University",46,9882,17888,"2019_20"
"Normal","University of Pikeville",28,1104,36311,"2019_20"
"Normal","Spalding University",40,874,37193,"2019_20"
"Normal","Thomas More University",54,1539,40650,"2019_20"
"Normal","Transylvania University",70,946,52078,"2019_20"
"Normal","Union College",39,930,38488,"2019_20"
"Normal","Western Kentucky University",48,13139,20497,"2019_20"
"Normal","Centenary College of Louisiana",59,543,54202,"2019_20"
"Normal","Dillard University",51,1215,31625,"2019_20"
"Normal","Grambling State University",35,4153,25754,"2019_20"
"Normal","Louisiana State University-Alexandria",28,2893,14608,"2019_20"
"Normal","Louisiana State University and Agricultural & Mechanical College",68,23706,30234,"2019_20"
"Normal","Louisiana State University-Shreveport",31,2293,18612,"2019_20"
"Normal","Louisiana College",37,934,26813,"2019_20"
"Normal","Louisiana Tech University",60,8141,22727,"2019_20"
"Normal","Loyola University New Orleans",62,3043,53278,"2019_20"
"Normal","McNeese State University",47,5774,19917,"2019_20"
"Normal","University of New Orleans",42,5798,20778,"2019_20"
"Normal","Nicholls State University",49,5615,20462,"2019_20"
"Normal","University of Louisiana at Monroe",47,5723,20649,"2019_20"
"Normal","Northwestern State University of Louisiana",44,8191,22342,"2019_20"
"Normal","University of Holy Cross",40,700,23327,"2019_20"
"Normal","Franciscan Missionaries of Our Lady University",29,967,26287,"2019_20"
"Normal","Saint Joseph Seminary College",64,127,36347,"2019_20"
"Normal","Southeastern Louisiana University",39,11061,20623,"2019_20"
"Normal","Southern University and A & M College",41,5829,23123,"2019_20"
"Normal","Southern University at New Orleans",21,1690,13201,"2019_20"
"Normal","University of Louisiana at Lafayette",51,13639,22107,"2019_20"
"Normal","Tulane University of Louisiana",86,7980,73112,"2019_20"
"Normal","Xavier University of Louisiana",51,2498,35636,"2019_20"
"Normal","College of the Atlantic",52,350,54918,"2019_20"
"Normal","Bates College",91,1820,71168,"2019_20"
"Normal","Bowdoin College",95,1832,70710,"2019_20"
"Normal","Colby College",89,2003,71202,"2019_20"
"Normal","University of Maine at Augusta",13,3227,16722,"2019_20"
"Normal","University of Maine at Farmington",58,1567,22241,"2019_20"
"Normal","University of Maine at Fort Kent",36,885,18081,"2019_20"
"Normal","University of Maine at Machias",30,434,17601,"2019_20"
"Normal","University of Maine",57,8832,24335,"2019_20"
"Normal","Maine Maritime Academy",71,991,27487,"2019_20"
"Normal","University of Maine at Presque Isle",38,807,17394,"2019_20"
"Normal","University of New England",68,2449,55340,"2019_20"
"Normal","Maine College of Art",54,427,49833,"2019_20"
"Normal","Saint Joseph's College of Maine",67,1276,51089,"2019_20"
"Normal","University of Southern Maine",40,5255,19913,"2019_20"
"Normal","Thomas College",52,750,39143,"2019_20"
"Normal","Unity College",58,784,41246,"2019_20"
"Normal","University of Baltimore",41,2038,28916,"2019_20"
"Normal","Bowie State University",43,5085,22338,"2019_20"
"Normal","Capitol Technology University",52,391,37079,"2019_20"
"Normal","Washington Adventist University",41,819,32262,"2019_20"
"Normal","Coppin State University",26,2344,19577,"2019_20"
"Normal","Frostburg State University",49,4092,23810,"2019_20"
"Normal","Goucher College",66,1439,61294,"2019_20"
"Normal","Hood College",65,1106,55039,"2019_20"
"Normal","Johns Hopkins University",93,5729,71901,"2019_20"
"Normal","Loyola University Maryland",83,3902,65832,"2019_20"
"Normal","University of Maryland Global Campus",15,42888,19052,"2019_20"
"Normal","University of Maryland-Baltimore County",71,10955,24881,"2019_20"
"Normal","University of Maryland-College Park",87,29905,26481,"2019_20"
"Normal","Maryland Institute College of Art",72,1740,64329,"2019_20"
"Normal","University of Maryland Eastern Shore",41,2270,23983,"2019_20"
"Normal","Morgan State University",43,6449,23867,"2019_20"
"Normal","Mount St. Mary's University",69,1831,56451,"2019_20"
"Normal","Ner Israel Rabbinical College",48,290,23250,"2019_20"
"Normal","Notre Dame of Maryland University",63,778,50060,"2019_20"
"Normal","Salisbury University",70,7459,25106,"2019_20"
"Normal","St. Mary's College of Maryland",76,1466,30238,"2019_20"
"Normal","St. John's College",69,494,67325,"2019_20"
"Normal","Towson University",71,19458,25180,"2019_20"
"Normal","Stevenson University",60,3073,51239,"2019_20"
"Normal","Washington College",73,1267,64542,"2019_20"
"Normal","McDaniel College",69,1668,57031,"2019_20"
"Normal","American International College",44,1336,49776,"2019_20"
"Normal","Amherst College",95,1839,73966,"2019_20"
"Normal","Anna Maria College",46,1107,51796,"2019_20"
"Normal","Assumption University",70,2017,55068,"2019_20"
"Normal","Babson College",93,2324,70428,"2019_20"
"Normal","Boston Baptist College",36,44,25578,"2019_20"
"Normal","Bay Path University",54,1800,46516,"2019_20"
"Normal","Bay State College",33,588,42145,"2019_20"
"Normal","Becker College",46,1591,54918,"2019_20"
"Normal","Bentley University",90,4157,68577,"2019_20"
"Normal","Berklee College of Music",65,6338,64436,"2019_20"
"Normal","Boston Architectural College",13,306,38155,"2019_20"
"Normal","Boston College",94,9637,73053,"2019_20"
"Normal","Boston University",88,16891,72517,"2019_20"
"Normal","Brandeis University",87,3678,73266,"2019_20"
"Normal","Bridgewater State University",61,9195,23172,"2019_20"
"Normal","Cambridge College",8,698,30088,"2019_20"
"Normal","Clark University",78,2283,56361,"2019_20"
"Normal","Curry College",52,2285,56057,"2019_20"
"Normal","Dean College",44,1310,57543,"2019_20"
"Normal","Eastern Nazarene College",40,607,40524,"2019_20"
"Normal","Emerson College",82,3871,68350,"2019_20"
"Normal","Emmanuel College",66,2001,56554,"2019_20"
"Normal","Endicott College",74,2996,51460,"2019_20"
"Normal","Fisher College",33,1216,46444,"2019_20"
"Normal","Fitchburg State University",58,3818,21864,"2019_20"
"Normal","Framingham State University",61,3745,26217,"2019_20"
"Normal","Gordon College",69,1478,50446,"2019_20"
"Normal","Hampshire College",63,745,67030,"2019_20"
"Normal","Harvard University",97,7547,73485,"2019_20"
"Normal","Hellenic College-Holy Cross Greek Orthodox School of Theology",62,49,41282,"2019_20"
"Normal","College of the Holy Cross",90,2931,69093,"2019_20"
"Normal","Lasell University",59,1629,53646,"2019_20"
"Normal","Lesley University",60,2031,47630,"2019_20"
"Normal","University of Massachusetts-Lowell",66,13601,28785,"2019_20"
"Normal","University of Massachusetts-Amherst",82,23907,30843,"2019_20"
"Normal","University of Massachusetts-Boston",49,12192,28783,"2019_20"
"Normal","MCPHS University",74,4004,53266,"2019_20"
"Normal","Massachusetts College of Art and Design",71,1846,29210,"2019_20"
"Normal","Massachusetts Institute of Technology",95,4516,70240,"2019_20"
"Normal","Massachusetts Maritime Academy",76,1654,27858,"2019_20"
"Normal","Merrimack College",75,3956,57794,"2019_20"
"Normal","Montserrat College of Art",58,366,48691,"2019_20"
"Normal","Mount Holyoke College",83,2175,66419,"2019_20"
"Normal","The New England Conservatory of Music",81,475,67650,"2019_20"
"Normal","Nichols College",59,1308,51706,"2019_20"
"Normal","Massachusetts College of Liberal Arts",61,1278,24205,"2019_20"
"Normal","Northeastern University",89,14034,70565,"2019_20"
"Normal","College of Our Lady of the Elms",73,1106,48910,"2019_20"
"Normal","Pine Manor College",38,250,45427,"2019_20"
"Normal","Regis College",67,1328,59360,"2019_20"
"Normal","Salem State University",57,5844,25612,"2019_20"
"Normal","Simmons University",81,1735,58539,"2019_20"
"Normal","Smith College",89,2526,72701,"2019_20"
"Normal","Springfield College",74,2152,52815,"2019_20"
"Normal","University of Massachusetts-Dartmouth",59,6226,27808,"2019_20"
"Normal","Stonehill College",82,2444,60479,"2019_20"
"Normal","Suffolk University",58,4820,55385,"2019_20"
"Normal","Tufts University",94,5828,73466,"2019_20"
"Normal","Wellesley College",91,2391,72199,"2019_20"
"Normal","Wentworth Institute of Technology",73,4226,52339,"2019_20"
"Normal","Western New England University",65,2675,51607,"2019_20"
"Normal","Westfield State University",61,4791,23767,"2019_20"
"Normal","Wheaton College",75,1762,67765,"2019_20"
"Normal","Williams College",95,2028,73200,"2019_20"
"Normal","Worcester Polytechnic Institute",89,4655,67106,"2019_20"
"Normal","Worcester State University",58,4919,21857,"2019_20"
"Normal","Adrian College",50,1727,53128,"2019_20"
"Normal","Albion College",70,1451,59400,"2019_20"
"Normal","Alma College",67,1412,54024,"2019_20"
"Normal","Andrews University",59,1436,39459,"2019_20"
"Normal","Aquinas College",60,1334,42982,"2019_20"
"Normal","Baker College",18,6343,20781,"2019_20"
"Normal","Calvin University",76,3382,48357,"2019_20"
"Normal","Central Michigan University",61,14409,24656,"2019_20"
"Normal","Cleary University",44,462,29135,"2019_20"
"Normal","Concordia University-Ann Arbor",39,895,43828,"2019_20"
"Normal","College for Creative Studies",70,1414,57543,"2019_20"
"Normal","Davenport University",49,4616,29082,"2019_20"
"Normal","University of Detroit Mercy",67,2559,37747,"2019_20"
"Normal","Eastern Michigan University",46,14381,24620,"2019_20"
"Normal","Ferris State University",47,10398,22852,"2019_20"
"Normal","Kettering University",63,1763,60427,"2019_20"
"Normal","Grace Christian University",44,915,22810,"2019_20"
"Normal","Cornerstone University",60,1440,34565,"2019_20"
"Normal","Grand Valley State University",67,21019,24075,"2019_20"
"Normal","Great Lakes Christian College",22,171,26415,"2019_20"
"Normal","Hope College",81,2966,46870,"2019_20"
"Normal","Kalamazoo College",86,1265,61531,"2019_20"
"Normal","Lake Superior State University",51,1738,22796,"2019_20"
"Normal","Lawrence Technological University",60,1941,47562,"2019_20"
"Normal","Madonna University",60,2343,31408,"2019_20"
"Normal","Rochester University",52,845,30725,"2019_20"
"Normal","University of Michigan-Ann Arbor",93,31046,30202,"2019_20"
"Normal","Michigan State University",81,38950,28402,"2019_20"
"Normal","Michigan Technological University",70,5678,29126,"2019_20"
"Normal","University of Michigan-Dearborn",56,6728,20353,"2019_20"
"Normal","University of Michigan-Flint",40,5127,20790,"2019_20"
"Normal","Northern Michigan University",48,6756,23069,"2019_20"
"Normal","Northwood University",54,2554,41229,"2019_20"
"Normal","Oakland University",57,15236,22252,"2019_20"
"Normal","Olivet College",44,1001,41256,"2019_20"
"Normal","Kuyper College",51,137,30178,"2019_20"
"Normal","Saginaw Valley State University",44,7209,21300,"2019_20"
"Normal","Siena Heights University",47,1974,39036,"2019_20"
"Normal","Spring Arbor University",59,1469,40583,"2019_20"
"Normal","Finlandia University",37,389,33408,"2019_20"
"Normal","Wayne State University",48,17219,24231,"2019_20"
"Normal","Western Michigan University",57,16801,25591,"2019_20"
"Normal","Augsburg University",57,2475,52598,"2019_20"
"Normal","Bemidji State University",48,4016,20457,"2019_20"
"Normal","Bethany Lutheran College",54,592,38006,"2019_20"
"Normal","Bethel University",73,2660,51155,"2019_20"
"Normal","Carleton College",92,2065,71325,"2019_20"
"Normal","Concordia College at Moorhead",72,1933,51569,"2019_20"
"Normal","Concordia University-Saint Paul",51,2745,31684,"2019_20"
"Normal","Martin Luther College",69,777,26590,"2019_20"
"Normal","Gustavus Adolphus College",78,2220,57305,"2019_20"
"Normal","Hamline University",70,2048,50516,"2019_20"
"Normal","Macalester College",91,2079,68627,"2019_20"
"Normal","Minnesota State University-Mankato",50,11541,19992,"2019_20"
"Normal","Metropolitan State University",34,6540,21975,"2019_20"
"Normal","University of Minnesota-Twin Cities",83,31367,26846,"2019_20"
"Normal","University of Minnesota-Crookston",50,1839,23290,"2019_20"
"Normal","Minneapolis College of Art and Design",64,698,51586,"2019_20"
"Normal","Herzing University-Minneapolis",50,514,27064,"2019_20"
"Normal","University of Minnesota-Duluth",62,8841,24436,"2019_20"
"Normal","University of Minnesota-Morris",58,1400,24181,"2019_20"
"Normal","Minnesota State University Moorhead",53,4420,21525,"2019_20"
"Normal","North Central University",51,955,36349,"2019_20"
"Normal","University of Northwestern-St Paul",68,1778,43480,"2019_20"
"Normal","Oak Hills Christian College",32,82,29327,"2019_20"
"Normal","College of Saint Benedict",80,1736,58962,"2019_20"
"Normal","Saint Cloud State University",48,8075,19721,"2019_20"
"Normal","Saint Johns University",75,1615,58170,"2019_20"
"Normal","Saint Mary's University of Minnesota",64,1448,47190,"2019_20"
"Normal","St Olaf College",86,3033,60590,"2019_20"
"Normal","Crown College",50,768,40567,"2019_20"
"Normal","The College of Saint Scholastica",69,2444,49391,"2019_20"
"Normal","University of St Thomas",76,6312,54814,"2019_20"
"Normal","St Catherine University",58,3107,49735,"2019_20"
"Normal","Southwest Minnesota State University",50,1927,20621,"2019_20"
"Normal","Winona State University",59,6800,21782,"2019_20"
"Normal","Alcorn State University",41,2880,24116,"2019_20"
"Normal","Belhaven University",50,2240,35031,"2019_20"
"Normal","Blue Mountain College",48,637,22587,"2019_20"
"Normal","Delta State University",39,2238,19770,"2019_20"
"Normal","Jackson State University",38,5138,23612,"2019_20"
"Normal","Millsaps College",72,770,56331,"2019_20"
"Normal","University of Mississippi",66,16932,25223,"2019_20"
"Normal","Mississippi University for Women",40,2234,19631,"2019_20"
"Normal","Mississippi Valley State University",32,1546,20714,"2019_20"
"Normal","Mississippi College",57,2718,33840,"2019_20"
"Normal","Mississippi State University",61,18388,24837,"2019_20"
"Normal","Rust College",28,738,16664,"2019_20"
"Normal","Southeastern Baptist College",29,61,10525,"2019_20"
"Normal","University of Southern Mississippi",49,11521,23434,"2019_20"
"Normal","Tougaloo College",50,703,22594,"2019_20"
"Normal","William Carey University",47,2063,22367,"2019_20"
"Normal","Avila University",55,1135,29505,"2019_20"
"Normal","Baptist Bible College",33,215,25627,"2019_20"
"Normal","Cox College",0,727,26996,"2019_20"
"Normal","Calvary University",36,289,19967,"2019_20"
"Normal","Central Christian College of the Bible",39,197,24765,"2019_20"
"Normal","Central Methodist University-College of Liberal Arts and Sciences",47,1144,38456,"2019_20"
"Normal","University of Central Missouri",51,7536,19023,"2019_20"
"Normal","Columbia College",28,8939,36336,"2019_20"
"Normal","Conception Seminary College",58,43,38200,"2019_20"
"Normal","Culver-Stockton College",52,925,39519,"2019_20"
"Normal","Drury University",58,1477,39965,"2019_20"
"Normal","Evangel University",56,1748,37374,"2019_20"
"Normal","Fontbonne University",54,857,40585,"2019_20"
"Normal","Hannibal-LaGrange University",41,605,34441,"2019_20"
"Normal","Harris-Stowe State University",17,1617,17602,"2019_20"
"Normal","Kansas City Art Institute",61,697,53443,"2019_20"
"Normal","Lincoln University",27,1733,17552,"2019_20"
"Normal","Lindenwood University",50,5521,30211,"2019_20"
"Normal","Maryville University of Saint Louis",71,4351,48070,"2019_20"
"Normal","Midwestern Baptist Theological Seminary",79,668,23624,"2019_20"
"Normal","Missouri Baptist University",45,1764,38781,"2019_20"
"Normal","Missouri Southern State University",32,4739,15600,"2019_20"
"Normal","Missouri Valley College",23,1373,33941,"2019_20"
"Normal","Missouri Western State University",38,4104,18434,"2019_20"
"Normal","University of Missouri-Columbia",71,21933,26337,"2019_20"
"Normal","University of Missouri-Kansas City",50,7425,21129,"2019_20"
"Normal","Missouri University of Science and Technology",66,6396,22211,"2019_20"
"Normal","University of Missouri-St Louis",52,6703,23142,"2019_20"
"Normal","Truman State University",75,4384,20954,"2019_20"
"Normal","Northwest Missouri State University",52,5265,19751,"2019_20"
"Normal","Ozark Christian College",54,661,21933,"2019_20"
"Normal","College of the Ozarks",71,1525,30193,"2019_20"
"Normal","Park University",62,9133,22443,"2019_20"
"Normal","Stevens-The Institute of Business & Arts",100,121,22033,"2019_20"
"Normal","Rockhurst University",76,1493,51633,"2019_20"
"Normal","Saint Louis University",79,7127,60092,"2019_20"
"Normal","Saint Louis Christian College",40,79,20910,"2019_20"
"Normal","University of Health Sciences and Pharmacy in St. Louis",82,326,46470,"2019_20"
"Normal","Southwest Baptist University",46,2068,34692,"2019_20"
"Normal","Stephens College",46,480,45290,"2019_20"
"Normal","Southeast Missouri State University",50,8000,19521,"2019_20"
"Normal","Missouri State University-Springfield",56,15868,21782,"2019_20"
"Normal","Washington University in St Louis",95,7404,74361,"2019_20"
"Normal","Webster University",58,2746,43609,"2019_20"
"Normal","Westminster College",59,650,41856,"2019_20"
"Normal","William Jewell College",63,734,48938,"2019_20"
"Normal","William Woods University",58,829,40142,"2019_20"
"Normal","Carroll College",63,1165,49638,"2019_20"
"Normal","Montana State University Billings",24,3211,16707,"2019_20"
"Normal","University of Providence",38,785,38474,"2019_20"
"Normal","Montana Technological University",54,1484,20728,"2019_20"
"Normal","Montana State University",57,14402,21840,"2019_20"
"Normal","The University of Montana",45,7515,19616,"2019_20"
"Normal","Montana State University-Northern",31,922,16397,"2019_20"
"Normal","Rocky Mountain College",49,840,39645,"2019_20"
"Normal","Bellevue University",24,8204,21568,"2019_20"
"Normal","Clarkson College",38,593,24442,"2019_20"
"Normal","Bryan College of Health Sciences",56,590,29236,"2019_20"
"Normal","Chadron State College",45,1694,21068,"2019_20"
"Normal","Concordia University-Nebraska",64,1214,43830,"2019_20"
"Normal","Creighton University",81,4431,54561,"2019_20"
"Normal","Doane University",54,1346,48570,"2019_20"
"Normal","Hastings College",59,964,44019,"2019_20"
"Normal","University of Nebraska at Kearney",56,4287,22806,"2019_20"
"Normal","Nebraska Methodist College of Nursing & Allied Health",69,766,31321,"2019_20"
"Normal","Midland University",40,1141,44218,"2019_20"
"Normal","Nebraska Christian College of Hope International University",40,110,32521,"2019_20"
"Normal","University of Nebraska at Omaha",50,12063,19906,"2019_20"
"Normal","Nebraska Wesleyan University",65,1825,46746,"2019_20"
"Normal","University of Nebraska-Lincoln",66,20252,23703,"2019_20"
"Normal","Peru State College",34,1312,19721,"2019_20"
"Normal","Summit Christian College",67,21,12018,"2019_20"
"Normal","College of Saint Mary",57,800,30181,"2019_20"
"Normal","Union College",46,640,35787,"2019_20"
"Normal","Wayne State College",51,2829,19038,"2019_20"
"Normal","York College",47,417,29385,"2019_20"
"Normal","University of Nevada-Las Vegas",45,25236,18102,"2019_20"
"Normal","University of Nevada-Reno",61,16917,22731,"2019_20"
"Normal","Sierra Nevada University",45,350,48956,"2019_20"
"Normal","Colby-Sawyer College",62,837,59436,"2019_20"
"Normal","Dartmouth College",95,4365,74359,"2019_20"
"Normal","Franklin Pierce University",49,1595,53745,"2019_20"
"Normal","Magdalen College",94,82,34756,"2019_20"
"Normal","New England College",29,1849,54197,"2019_20"
"Normal","Southern New Hampshire University",44,90196,49805,"2019_20"
"Normal","University of New Hampshire-Main Campus",76,12101,33248,"2019_20"
"Normal","Keene State College",63,3314,27250,"2019_20"
"Normal","University of New Hampshire at Manchester",48,708,21110,"2019_20"
"Normal","Plymouth State University",54,3779,27572,"2019_20"
"Normal","Rivier University",46,1349,45805,"2019_20"
"Normal","Saint Anselm College",78,2030,58963,"2019_20"
"Normal","Granite State College",19,1627,17723,"2019_20"
"Normal","Thomas More College of Liberal Arts",64,88,33111,"2019_20"
"Normal","Berkeley College-Woodland Park",44,2674,32846,"2019_20"
"Normal","Bloomfield College",35,1609,42504,"2019_20"
"Normal","Caldwell University",69,1688,48106,"2019_20"
"Normal","Centenary University",54,1183,48080,"2019_20"
"Normal","Drew University",69,1577,56387,"2019_20"
"Normal","Fairleigh Dickinson University-Metropolitan Campus",49,3045,50490,"2019_20"
"Normal","Felician University",47,1818,47414,"2019_20"
"Normal","Fairleigh Dickinson University-Florham Campus",63,2604,57951,"2019_20"
"Normal","Georgian Court University",54,1550,44722,"2019_20"
"Normal","Rowan University",72,15751,32833,"2019_20"
"Normal","New Jersey City University",41,5962,24875,"2019_20"
"Normal","Kean University",47,11947,25809,"2019_20"
"Normal","Monmouth University",73,4429,54747,"2019_20"
"Normal","Montclair State University",67,16477,26695,"2019_20"
"Normal","New Jersey Institute of Technology",67,8126,31388,"2019_20"
"Normal","Princeton University",98,5308,70900,"2019_20"
"Normal","Rabbinical College of America",12,216,23210,"2019_20"
"Normal","Ramapo College of New Jersey",72,5239,28375,"2019_20"
"Normal","Rider University",67,3694,59199,"2019_20"
"Normal","Rutgers University-Camden",65,5626,27676,"2019_20"
"Normal","Rutgers University-New Brunswick",84,35760,30954,"2019_20"
"Normal","Rutgers University-Newark",69,9037,26310,"2019_20"
"Normal","Saint Peter's University",59,2316,47383,"2019_20"
"Normal","Seton Hall University",73,5910,57634,"2019_20"
"Normal","Saint Elizabeth University",53,779,50217,"2019_20"
"Normal","Stevens Institute of Technology",85,3641,68734,"2019_20"
"Normal","Stockton University",77,8873,28851,"2019_20"
"Normal","Talmudical Academy-New Jersey",6,60,20700,"2019_20"
"Normal","The College of New Jersey",86,6747,34427,"2019_20"
"Normal","William Paterson University of New Jersey",55,8463,24539,"2019_20"
"Normal","Eastern New Mexico University-Main Campus",36,3292,17612,"2019_20"
"Normal","Institute of American Indian and Alaska Native Culture and Arts Development",31,355,21011,"2019_20"
"Normal","New Mexico Highlands University",22,1684,17652,"2019_20"
"Normal","New Mexico Institute of Mining and Technology",50,1241,22050,"2019_20"
"Normal","University of New Mexico-Main Campus",54,16170,19286,"2019_20"
"Normal","New Mexico State University-Main Campus",48,11153,18703,"2019_20"
"Normal","University of the Southwest",32,329,25850,"2019_20"
"Normal","Western New Mexico University",34,1620,18758,"2019_20"
"Normal","Adelphi University",73,5275,50628,"2019_20"
"Normal","Albany College of Pharmacy and Health Sciences",70,788,48545,"2019_20"
"Normal","Alfred University",57,1668,44856,"2019_20"
"Normal","Bard College",77,1844,72789,"2019_20"
"Normal","Barnard College",92,2622,74777,"2019_20"
"Normal","Berkeley College-New York",36,2810,33707,"2019_20"
"Normal","Beth Hamedrash Shaarei Yosher Institute",6,80,15150,"2019_20"
"Normal","Boricua College",79,630,20732,"2019_20"
"Normal","Canisius College",73,2138,38896,"2019_20"
"Normal","Cazenovia College",58,806,50533,"2019_20"
"Normal","Central Yeshiva Tomchei Tmimim Lubavitz",7,609,22425,"2019_20"
"Normal","Clarkson University",78,2982,67441,"2019_20"
"Normal","Colgate University",91,2964,72275,"2019_20"
"Normal","Metropolitan College of New York",22,626,25474,"2019_20"
"Normal","Columbia University in the City of New York",95,8221,76907,"2019_20"
"Normal","Concordia College",46,1250,41489,"2019_20"
"Normal","Cooper Union for the Advancement of Science and Art",91,844,62111,"2019_20"
"Normal","Cornell University",95,14976,73879,"2019_20"
"Normal","CUNY Bernard M Baruch College",70,15066,14517,"2019_20"
"Normal","CUNY Brooklyn College",54,13953,13277,"2019_20"
"Normal","College of Staten Island CUNY",32,11288,13817,"2019_20"
"Normal","CUNY City College",56,12359,13355,"2019_20"
"Normal","CUNY Hunter College",57,16081,13000,"2019_20"
"Normal","CUNY John Jay College of Criminal Justice",52,13290,13396,"2019_20"
"Normal","CUNY Lehman College",53,11797,13245,"2019_20"
"Normal","CUNY New York City College of Technology",18,15893,13158,"2019_20"
"Normal","CUNY Queens College",56,15907,13382,"2019_20"
"Normal","CUNY York College",35,6910,13171,"2019_20"
"Normal","D'Youville College",63,1533,37316,"2019_20"
"Normal","Daemen College",62,1679,39348,"2019_20"
"Normal","Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary",17,36,22250,"2019_20"
"Normal","Dominican College of Blauvelt",47,1361,42833,"2019_20"
"Normal","Elmira College",68,778,54265,"2019_20"
"Normal","Five Towns College",47,617,31341,"2019_20"
"Normal","Fordham University",83,9422,69118,"2019_20"
"Normal","Hamilton College",93,1998,69990,"2019_20"
"Normal","Hartwick College",65,1181,59031,"2019_20"
"Normal","Hilbert College",51,711,28589,"2019_20"
"Normal","Hobart William Smith Colleges",77,2036,72040,"2019_20"
"Normal","Hofstra University",65,6400,60296,"2019_20"
"Normal","Houghton College",75,921,43970,"2019_20"
"Normal","Iona College",64,2743,51313,"2019_20"
"Normal","Ithaca College",74,5803,62668,"2019_20"
"Normal","Jewish Theological Seminary of America",91,143,75041,"2019_20"
"Normal","The Juilliard School",96,486,67498,"2019_20"
"Normal","Kehilath Yakov Rabbinical Seminary",43,150,14225,"2019_20"
"Normal","Keuka College",56,1525,48976,"2019_20"
"Normal","LIM College",54,1450,45526,"2019_20"
"Normal","Le Moyne College",74,2642,48188,"2019_20"
"Normal","Long Island University",46,6164,49964,"2019_20"
"Normal","Machzikei Hadath Rabbinical College",26,138,18397,"2019_20"
"Normal","Manhattan College",71,3543,55655,"2019_20"
"Normal","Manhattan School of Music",88,518,68686,"2019_20"
"Normal","Manhattanville College",60,1504,51842,"2019_20"
"Normal","Marist College",84,5460,57358,"2019_20"
"Normal","Marymount Manhattan College",53,1843,56343,"2019_20"
"Normal","Medaille College",38,1438,37124,"2019_20"
"Normal","Mercy College",44,7213,29324,"2019_20"
"Normal","Mesivta Torah Vodaath Rabbinical Seminary",29,257,19860,"2019_20"
"Normal","Mesivtha Tifereth Jerusalem of America",50,44,16500,"2019_20"
"Normal","Molloy College",74,3426,45672,"2019_20"
"Normal","Mount Saint Mary College",62,1870,45762,"2019_20"
"Normal","College of Mount Saint Vincent",50,1841,48313,"2019_20"
"Normal","Nazareth College",71,2263,49359,"2019_20"
"Normal","The New School",70,7284,69260,"2019_20"
"Normal","New York University",85,26613,71467,"2019_20"
"Normal","Niagara University",73,2747,47709,"2019_20"
"Normal","New York Institute of Technology",53,3642,48924,"2019_20"
"Normal","Nyack College",36,1014,38689,"2019_20"
"Normal","Pace University",57,8233,62268,"2019_20"
"Normal","Paul Smiths College of Arts and Science",48,712,45710,"2019_20"
"Normal","Davis College",57,57,27393,"2019_20"
"Normal","Pratt Institute-Main",70,3638,67703,"2019_20"
"Normal","Rabbinical Academy Mesivta Rabbi Chaim Berlin",32,157,19450,"2019_20"
"Normal","Rabbinical College Bobover Yeshiva Bnei Zion",89,369,15027,"2019_20"
"Normal","Rabbinical College Beth Shraga",36,40,23250,"2019_20"
"Normal","Rabbinical Seminary of America",38,268,19100,"2019_20"
"Normal","Rensselaer Polytechnic Institute",85,6203,71998,"2019_20"
"Normal","Roberts Wesleyan College",62,1255,44599,"2019_20"
"Normal","Rochester Institute of Technology",67,12623,56977,"2019_20"
"Normal","University of Rochester",87,6521,72721,"2019_20"
"Normal","Russell Sage College",71,1311,45078,"2019_20"
"Normal","St Bonaventure University",74,1787,48956,"2019_20"
"Normal","St Francis College",58,2495,31266,"2019_20"
"Normal","St Lawrence University",84,2360,70630,"2019_20"
"Normal","The College of Saint Rose",61,2409,48093,"2019_20"
"Normal","St. Thomas Aquinas College",58,1148,45850,"2019_20"
"Normal","Sarah Lawrence College",78,1364,72469,"2019_20"
"Normal","Siena College",80,3146,55706,"2019_20"
"Normal","Skidmore College",88,2649,71730,"2019_20"
"Normal","St. Joseph's College-New York",62,953,34303,"2019_20"
"Normal","St. Joseph's College-Long Island",72,2996,33716,"2019_20"
"Normal","Saint John Fisher College",75,2639,48077,"2019_20"
"Normal","St. John's University-New York",63,11689,54012,"2019_20"
"Normal","SUNY College of Technology at Canton",47,3141,22610,"2019_20"
"Normal","SUNY College of Agriculture and Technology at Cobleskill",44,2198,24891,"2019_20"
"Normal","Farmingdale State College",52,9400,16113,"2019_20"
"Normal","SUNY at Albany",63,13153,26090,"2019_20"
"Normal","Binghamton University",82,14156,26712,"2019_20"
"Normal","University at Buffalo",75,21760,26035,"2019_20"
"Normal","Stony Brook University",76,17767,25177,"2019_20"
"Normal","SUNY College of Environmental Science and Forestry",76,1810,27820,"2019_20"
"Normal","SUNY Polytechnic Institute",57,2077,22001,"2019_20"
"Normal","SUNY Brockport",64,6624,23256,"2019_20"
"Normal","SUNY Buffalo State",46,7501,21764,"2019_20"
"Normal","SUNY Cortland",71,6281,25026,"2019_20"
"Normal","SUNY at Fredonia",64,4194,23420,"2019_20"
"Normal","SUNY College at Geneseo",80,5269,25612,"2019_20"
"Normal","State University of New York at New Paltz",77,6672,25247,"2019_20"
